time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15
0,1526.417,2206.031,2142.854,1952.701,1387.898,2393.986,1859.848,2543.092,2098.625,1615.695,1021.107,3870.381,3758.759,4555.965,1635.091
1,1617.849,2209.674,2195.398,1904.414,1382.504,2449.534,1965.424,2608.485,2110.105,1640.49,992.387,3808.619,3856.272,4523.304,1624.958
2,1617.945,2182.63,2164.091,1886.568,1335.23,2420.835,1944.248,2550.202,2037.977,1593.706,892.812,3970.235,3856.921,4602.066,1691.297
3,1570.547,1957.544,2068.221,1724.312,1309.964,2381.168,1756.54,2327.973,1810.957,1301.378,575.912,3404.372,3573.196,3621.775,1411.145
4,1329.292,1507.883,1798.078,1480.768,1031.843,2137.156,1394.491,2043.871,1576.117,1051.375,574.074,3406.57,3371.782,2892.424,1077.434
5,1285.93,1404.99,1693.419,1464.995,1012.254,2227.36,1303.31,1902.501,1491.78,1010.586,655.359,3250.401,3410.924,2720.228,1009.358
6,1211.333,1386.047,1616.766,1405.203,972.995,2235.494,1309.502,1792.661,1394.439,991.922,676.957,3182.264,3467.804,2521.025,950.169
7,1264.927,1353.193,1531.021,1371.763,940.644,2143.74,1279.746,1705.93,1360.68,958.911,669.366,3146.782,3360.93,2467.579,929.807
8,1250.365,1258.839,1548.18,1351.94,1009.819,2228.565,1281.605,1627.828,1319.232,965.32,654.23,3185.702,3408.94,2421.823,941.455
9,1217.927,1177.099,1477.234,1329.417,977.005,2260.109,1257.136,1531.456,1248.876,944.07,703.477,3153.195,3335.006,2233.741,929.309
10,1190.781,1144.964,1363.706,1290.008,934.069,2161.397,1227.498,1439.998,1206.94,978.852,679.596,3124.461,3262.215,2127.579,910.39
11,1187.711,1121.107,1304.562,1219.557,916.903,2147.373,1179.848,1409.258,1127.483,917.107,628.753,3157.074,3295.551,2268.544,938.26
12,1169.01,1105.091,1305.167,1205.029,904.014,2130.938,1216.848,1349.348,1115.941,906.773,673.28,3114.246,3256.886,2387.611,952.082
13,1191.164,1067.266,1188.867,1197.674,932.66,2217.738,1209.161,1335.151,1091.764,918.987,692.798,3133.805,3231.959,2295.775,946.306
14,1176.417,1014.891,1292.898,1200.271,943.349,2186.48,1174.621,1338.519,1081.798,958.232,670.665,3116.639,3223.725,2310.582,956.392
15,1111.693,969.326,1214.719,1123.089,821.684,2108.12,1172.406,1259.366,1053.226,921.602,665.074,3027.06,3316.459,2380.937,1002.286
16,1094.661,923.263,1145.315,1094.206,805.067,2032.165,1160.114,1271.82,1076.335,951.927,674.34,2963.195,3298.165,2205.652,960.978
17,1109.76,906.797,1153.227,1109.638,850.359,1969.27,1100.768,1172.204,1020.901,873.049,654.097,3103.968,3349.655,2320.222,1012.751
18,1073.651,866.552,1061.401,1089.008,803.159,1953.844,1049.094,1225.2,1060.272,964.956,729.658,3081.218,3417.06,2395.728,1062.701
19,1081.901,883.029,1094.133,1042.883,834.867,1921.078,1062.355,1195.912,1014.287,917.164,711.076,3151.186,3532.256,2277.592,1020.33
20,1068.87,893.51,1040.57,1072.664,837.29,1951.964,1052.752,1233.914,1097.307,981.57,723.986,3196.639,3536.421,2373.285,1086.705
21,1135.969,860.253,1043.404,1065.318,775.606,1920.315,1039.205,1206.44,1086.264,953.529,651.202,2794.991,3301.699,2125.892,1008.598
22,1079.016,801.625,1032.003,1060.227,755.178,1919.612,1040.806,1223.826,1076.677,1021.076,626.249,3092.679,3874.614,2272.12,1068.061
23,1095.365,815.247,1028.992,1099.128,820.708,1877.957,1052.676,1253.808,1072.73,1013.969,646.261,3070.441,3886.627,2234.82,1076.845
24,1102.875,815.984,1023.055,1069.917,800.648,1854.352,1063.942,1255.311,1145.991,1017.125,611.501,3210.135,4068.877,2339.415,1124.715
25,1139.635,782.424,998.422,1033.232,800.223,1864.184,1074.402,1195.489,1076.023,972.326,533.062,3235.585,3881.744,2260.646,1053.073
26,1140.893,814.458,1017.109,1096.307,819.321,1842.425,1085.246,1245.162,1126.255,1042.966,538.905,3362.235,3920.212,2391.797,1102.334
27,1143.117,869.211,1010.776,1067.784,811.226,1798.494,1066.047,1246.8,1134.025,1063.005,574.81,3349.372,3873.098,2418.655,1138.434
28,1131.797,833.422,987.641,1019.336,828.304,1718.945,1044.879,1291.037,1150.549,1055.029,554.014,3361.814,3870.703,2365.677,1096.772
29,1121.583,853.758,963.708,1008.471,807.202,1807.731,1107.223,1325.832,1116.04,1069.604,544.159,3336.791,3902.288,2223.873,1079.291
30,1155.742,829.708,980.328,992.122,802.005,1809.856,1113.489,1373.155,1143.765,1072.263,606.197,3271.123,3946.535,2299.513,1120.049
31,1155.286,834.539,983.833,981.349,820.995,1832.79,1150.824,1403.194,1145.146,1074.818,588.708,3309.052,3966.187,2231.044,1078.321
32,1159.867,796.029,1018.612,925.159,871.033,1903.776,1145.176,1401.693,1200.523,1118.578,618.033,3336.779,4025.965,2348.927,1089.176
33,1214.221,858.417,1004.138,901.531,823.717,1879.886,1186.219,1417.728,1245.836,1109.279,561.088,3331.312,4022.218,2397.275,1081.624
34,1161.229,747.909,934.385,923.656,834.933,1855.924,1071.759,1428.084,1243.009,1123.284,567.382,3222.734,4025.013,2391.652,1048.497
35,1193.557,768.68,967.096,998.43,850.762,1796.643,1136.179,1379.728,1215.921,1070.214,529.437,3219.04,3902.63,2389.519,1086.08
36,1242.188,748.076,936.089,952.734,923.853,1803.345,1161.714,1343.769,1216.826,1070.932,516.96,3335.86,3918.715,2368.614,1093.186
37,1185.003,806.424,974.391,946.336,826.069,1771.468,1111.688,1315.012,1221.777,1116.573,471.007,3306.413,3925.535,2295.139,1100.267
38,1189.789,751,959.128,955.549,870.527,1760.731,1056.603,1368.556,1248.013,1111.344,473.99,3309.688,3988.171,2395.487,1097.258
39,1210.146,750.508,960.089,974.477,920.064,1819.938,1082.569,1381.845,1326.136,1176.435,482.076,3376.702,3986.943,2377.313,1149.652
40,1113.758,666.891,924.529,942.63,848.72,1705.563,1019.444,1374.716,1267.502,1153.596,448.219,3318.172,3902.851,2437.509,1148.355
41,1154.062,721.807,940.469,947.049,904.62,1645.884,1096.533,1379.599,1373.607,1152.482,442.109,3190.808,3921.278,2327.411,1170.92
42,1162.487,745.997,979.143,994.878,926.335,1782.409,1144.252,1394.845,1319.2,1197.06,416.546,3275.88,4004.304,2373.222,1173.799
43,1124.352,634.833,888.073,874.146,860.154,1664.794,1048.344,1475.025,1361.985,1200.891,458.494,3261.596,4026.484,2392.63,1152.68
44,1192.297,740.151,957.674,948.771,907.762,1832.558,1161,1370.096,1335.673,1214.911,429.793,3204.648,3912.715,2411.155,1170.978
45,1164.198,727.961,987.935,981.656,916.39,1793.884,1107.373,1385.297,1326.364,1185.464,474.884,3257.009,3856.636,2418.813,1201.11
46,1140.552,692.609,938.94,954.302,928.518,1842.293,1114.598,1456.168,1314.052,1256.013,501.606,3263.195,3895.734,2492.532,1210.135
47,1175.12,740.107,1016.26,919.992,968.827,1805.53,1143.049,1509.521,1308.259,1225.565,475.886,3397.963,3883.699,2495.142,1232.131
48,1117.875,683.583,978.885,937.823,937.119,1815.142,1073.768,1544.685,1325.686,1215.32,488.836,3284.656,3857.335,2523.171,1219.378
49,1197.794,717.078,970.339,1004.385,926.095,1702.761,1145.252,1604.299,1301.991,1247.701,480.603,3355.544,3946.127,2522.028,1226.862
50,1130.414,753.719,1011.615,905.411,1011.059,1748.891,1129.607,1521.699,1350.82,1282.385,490.836,3448.951,3963.722,2694.585,1238.666
51,1158.32,794.625,983.005,987.016,1005.777,1798.331,1131.748,1606.164,1313.067,1235.737,523.247,3434.361,3792.69,2568.177,1229.187
52,1181.352,820.742,969.865,947.073,1011.537,1795.438,1070.509,1617.734,1295.784,1216.68,553.774,3548.768,3690.962,2486.797,1218.486
53,1136.646,832.193,1021.872,963.633,992.561,1831.797,1152.234,1675.524,1347.549,1218.359,492.772,3579.146,3822.81,2618.661,1270.848
54,1117.99,810.357,1009.497,935.596,1027.002,1833.101,1152.013,1594.865,1338.542,1270.32,527.154,3461.943,3690.905,2612.345,1215.765
