time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16
0,2166.997,1269.063,2578.2,1431.573,2021.413,1743.124,1818.152,2210.338,1544.186,1782.192,2204.448,2369.018,2332.63,3228.423,4537.227,1732.679
1,2168.246,1223.298,2538.331,1429.258,1970.511,1814.596,1877.461,2181.513,1590.496,1772.138,2239.865,2357.771,2343.755,3110.427,4413.282,1689.998
2,2210.017,1239.155,2572.642,1449.298,1997.443,1752.338,1881.398,2260.702,1623.653,1756.828,2192.474,2371.374,2388.716,3131.601,4568.46,1706.81
3,2152.814,1267.261,2466.186,1456.819,2073.676,1806.356,1758.083,2043.731,1576.112,1748.026,2165.636,2277.532,2205.902,3037.172,3916.538,1730.271
4,1772.946,1183.321,2096.965,1087.49,1850.413,1651.773,1450.066,1645.464,1466.991,1480.252,1882.278,2107.693,2084.403,2803.141,3353.493,1488.577
5,1612.811,1086.436,2014.939,871.487,1784.094,1575.462,1285.877,1488.275,1381.364,1277.063,1916.939,2069.074,1993.362,2767.609,3050.131,1404.653
6,1520.659,1028.08,1952.755,814.513,1703.944,1581.533,1307.1,1433.315,1380.917,1277.504,1892.262,2080.599,1928.225,2730.36,2907.188,1371.644
7,1468.034,1003,1903.245,803.072,1676.985,1562.333,1240.444,1315.934,1328.957,1198.702,1843.215,2024.497,1778.198,2625.327,2698.787,1302.219
8,1497.716,962.871,1815.511,774.696,1633.715,1476.262,1241.292,1313.453,1352.9,1137.123,1755.423,1975.204,1763.241,2581.843,2552.873,1316.639
9,1553.499,968.771,1768.442,754.645,1610.339,1502.716,1205.375,1191.679,1234.926,1100.997,1801.151,1955.419,1704.462,2602.71,2375.785,1313.306
10,1490.544,985.607,1747.949,697.742,1620.293,1509.031,1219.33,1142.312,1261.719,1008.688,1754.871,1918.09,1697.258,2467.552,2340.481,1332.879
11,1495.639,946.421,1700.613,702.246,1616.494,1502.502,1139.074,1139.983,1239.977,1017.215,1673.401,1935.521,1588.219,2410.798,2272.376,1343.28
12,1486.1,976.364,1698.413,649.739,1604.181,1438.773,1140.696,1085.808,1301.777,999.885,1617.243,1884.636,1559.393,2329.022,2191.192,1241.211
13,1416.152,928.327,1566.149,663.645,1551.744,1415.733,1032.158,1023.65,1244.722,884.88,1559.301,1842.708,1445.894,2303.172,2087.65,1222.226
14,1348.241,946.903,1456.724,628.802,1498.441,1313.72,1030.711,998.544,1211.636,940.249,1517.364,1843.286,1436.681,2320.022,2018.663,1306.48
15,1425.751,939.352,1441.924,619.754,1502.693,1346.404,1036.201,999.963,1259.501,954.484,1450.288,1788.922,1397.409,2361.546,1879.08,1281.568
16,1383.648,987.034,1403.941,689.711,1503.035,1275.049,1035.289,1010.401,1163.264,933.751,1423.581,1832.084,1331.321,2300.133,1869.857,1273.853
17,1398.676,934.309,1340.219,623.9,1504.067,1215.791,930.742,893.951,1123.501,913.596,1385.202,1823.646,1319.824,2309.17,1814.399,1226.781
18,1438.401,944.665,1369.07,615.966,1394.263,1183.164,961.719,935.997,1098.628,844.289,1327.2,1728.076,1282.1,2196.575,1728.133,1232.107
19,1381.49,1000.201,1338.266,640.415,1435.867,1195.262,1025.178,900.602,1103.636,858.181,1338.806,1801.102,1302.916,2213.429,1735.955,1253.634
20,1416.903,910.616,1314.902,591.948,1440.291,1184.267,1014.378,927.842,1041.57,850.258,1284.147,1677.984,1342.102,2196.186,1689.489,1284.359
21,1417.324,960.937,1263.276,613.04,1437.081,1026.378,976.754,874.424,1024.092,829.564,1298.763,1710.585,1344.438,2176.558,1678.855,1295.672
22,1408.748,958.232,1288.847,612.092,1412.661,1067.596,992.602,936.719,1012.235,848.493,1200.337,1758.679,1282.137,2212.423,1666.605,1280.048
23,1442.321,873.65,1238.188,626.991,1375.893,1120.151,1051.88,893.481,1025.696,779.905,1241.769,1687.671,1317.73,2197.967,1566.552,1289.078
24,1384.977,902.347,1244.845,587.203,1399.043,1010.351,1065.65,894.421,1039.822,763.169,1190.401,1671.27,1286.479,2223.703,1623.468,1351.036
25,1469.719,885.335,1249.45,599,1347.285,1018.178,1057.034,865.358,1038.112,779.441,1200.249,1643.785,1256.123,2209.481,1516.436,1326.468
26,1355.797,885.576,1250.873,574.619,1364.548,1016.271,1109.1,827.814,1003.372,820.871,1163.245,1636.613,1309.464,2247.272,1496.628,1326.777
27,1391.281,846.625,1266.996,597.593,1308.07,997.662,1020.206,844.825,951.375,842.052,1218.356,1672.898,1345.327,2228.961,1518.012,1278.273
28,1393.47,863.797,1286.458,601.384,1296.074,1050.862,1002.049,774.02,944.375,798.865,1195.683,1695.706,1318.35,2180.16,1520.667,1243.722
29,1413.49,822.599,1244.796,605.106,1242.133,1080.364,1004.61,797.837,959.45,820.307,1197.53,1676.818,1208.407,2103.593,1509.305,1290.789
30,1414.249,866.777,1349.141,635.67,1210.619,1040.422,978.943,778.404,991.642,748.593,1212.282,1597.74,1205.601,2206.816,1521.973,1291.639
31,1410.375,863.192,1212.62,573.367,1221.085,1081.72,969.344,760.539,951.135,725.203,1162.573,1648.376,1170.209,2206.971,1486.591,1243.525
32,1397.215,838.398,1279.569,623.645,1176.165,1141.956,968.169,742.799,907.702,745.771,1171.93,1665.006,1210.957,2184.288,1501.254,1283.074
33,1445.052,817.533,1202.135,568.284,1218.957,1091.831,943.309,711.539,932.023,741.484,1144.188,1682.701,1214.873,2290.348,1521.724,1335.929
34,1516.08,827.026,1280.587,624.748,1211.567,1135.773,939.642,736.977,938.877,801.246,1230.963,1711.26,1334.734,2153.861,1487.076,1419.081
35,1444.885,825.705,1216.742,569.84,1256.493,1189.564,939.264,735.771,894.347,755.043,1120.164,1747.127,1272.168,2196.689,1521.239,1323.354
36,1397.668,852.693,1282.297,602.289,1309.974,1080.098,921.149,734.287,927.192,894.232,1109.687,1666.382,1328.56,2237.405,1512.192,1379.86
37,1394.854,860.636,1176.892,530.304,1262.863,1063.551,909.33,744.321,1023.897,1028.533,1162.384,1675.918,1320.321,2274.274,1520.81,1369.052
38,1469.011,850.84,1215.243,581.814,1293.157,1113.142,872.244,758.149,1006.802,902.318,1114.661,1619.798,1375.896,2250.967,1482.092,1350.34
39,1418.943,904.244,1237.329,565.427,1303.524,1048.773,925.888,778.61,1052.785,957.501,1076.462,1664.209,1379.646,2263.796,1522.382,1352.99
40,1406.352,856.086,1261.869,611.063,1282.559,1120.578,979.453,770.006,1111.877,1013.685,1125.223,1641.172,1444.748,2296.2,1497.012,1361.691
41,1407.848,902.713,1215.307,592.673,1254.893,1145.004,966.307,762.659,1146.877,992.384,1158.579,1611.622,1454.982,2300.086,1468.391,1321.876
42,1457.513,953.123,1197.753,559.138,1299.256,1108.129,974.616,748.777,1124.097,1003.519,1139.677,1719.613,1436.581,2322.855,1495.708,1320.485
43,1435.138,911.415,1217.941,576.688,1280.315,1149.88,1016.854,797.98,1075.946,971.458,1125.274,1719.951,1412.521,2316.16,1505.143,1365.853
