time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15
0,3851.344,5549.344,5084.011,3001.774,1768.611,2406.074,3371.958,5427.656,1653.125,1711.628,3415.607,3835.99,2584.84,2465.976,1374.931
1,3906.676,5541.195,4980.481,3113.716,1793.874,2403.961,3305.997,5164.611,1739.806,1638.935,3493.118,3694.337,2613.071,2394.531,1375.195
2,3894.711,5556.261,5007.169,3146.851,1880.593,2520.22,3218.926,5368.635,1669.068,1696.626,3696.203,3712.936,2632.497,2441.607,1481.01
3,3572.639,4796.894,4891.92,2892.293,1551.819,2073.483,2839.845,4667.538,1396.021,1344.287,3041.815,2502.941,2078.503,1827.463,868.938
4,2976.943,4062.315,4392.146,2764.918,1376.811,1797.75,2550.642,3845.092,1217.911,1147.626,2868.92,2031.074,1861.839,1595.701,795.083
5,2769.63,3638.616,4003.622,2728.673,1349.452,1675.733,2329.72,3523.672,1277.207,1178.709,2639.536,1869.306,1674.528,1457.707,806.268
6,2703.799,3335.691,3875.418,2649.663,1260.07,1601.974,2216.158,3338.707,1264.316,1151.878,2567.128,1819.667,1631.883,1414.419,868.665
7,2651.948,3048.181,3744.092,2545.635,1180.278,1625.452,2257.723,3160.678,1199.763,1170.461,2447.125,1776.525,1678.556,1418.95,748.836
8,2568.662,2951.458,3660.94,2474.832,1212.452,1635.067,2371.185,3123.726,1246.582,1184.846,2389.17,1819.247,1716.532,1479.897,763.069
9,2418.948,2819.759,3540.587,2541.995,1214.122,1574.704,2388.865,3086.352,1270.561,1161.915,2403.468,1874.76,1817.559,1521.426,750.967
10,2301.977,2751.212,3590.731,2629.832,1237.657,1623.694,2821.48,2976.011,1398.568,1139.974,2419.808,1866.409,1865.712,1529.28,725.271
11,2253.762,2754.077,4008.049,2700.808,1320.194,1553.335,2632.42,2937.797,1469.222,1108.617,2393.113,1893.777,1973.248,1639.774,931.962
12,2140.63,2629.759,3959.453,2729.577,1460.494,1576.576,2202.307,3018.024,1423.762,1095.567,2299.033,1790.401,2023.492,1682.467,863.663
13,2072.731,2658.59,3761.252,2797.793,1582.415,1526.004,2084.143,3017.734,1226.14,1221.587,2222.317,1813.71,2138.949,1646.391,954.375
14,2061.143,2618.456,3942.877,2684.779,1455.656,1578.954,2014.009,2884.553,1090.413,1243.678,2152.61,1846.77,2097.25,1614.479,967.917
15,2062.499,2598.095,3719.831,2565.413,1440.831,1536.296,1928.045,2931.23,1121.053,1275.413,2155.003,1828.732,2092.352,1723.744,957.425
16,2007.923,2711.037,3673.318,2634.087,1357.041,1539.411,1864.573,2971.391,1017.95,1319.352,2176.09,1789.273,2152.138,1676.412,883.625
17,2046.716,2691.438,3665.911,2729.567,1392.506,1553.209,1948.462,3292.002,1020.649,1337.589,2162.272,1816.549,2240.033,1702.356,898.891
18,1885.805,2669.009,3482.504,2666.351,1386.085,1540.054,1925.096,3354.974,1054.522,1392.183,2184.042,1794.394,2198.116,1671.575,832.518
19,1941.67,2702.014,3596.112,2667.49,1295.985,1502.424,1914.517,3336.598,1031.943,1301.737,2184.4,1736.299,2253.331,1682.208,838.43
20,1957.88,2868,3506.55,2492.558,1335.444,1496.811,1895.896,3221.077,1117.125,1318.778,2144.809,1813.14,2254.204,1639.708,889.425
21,2074.192,2730.751,3502.074,2568.639,1361.893,1579.509,1902.94,3285.477,1110.509,1390.378,2084.421,1798.017,2140.131,1678.492,782.238
22,2062.991,2758.152,3437.785,2451.976,1231.737,1564.33,1874.451,3269.818,1091.683,1390.9,2202.7,1814.323,2172.344,1643.771,836.993
