time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8
0,4293.996,6196.708,1855.668,5948.382,1733.717,3845.362,2212.26,2798.81
1,4393.865,6214.234,1889.443,5970.598,1828.658,3812.446,2165.031,2701.974
2,4460.156,6131.904,1915.211,5928.264,1836.585,3851.567,2178.232,2641.47
3,4287.526,5646.684,1447.805,5547.264,1689.543,3657.629,2125.781,2614.613
4,3920.527,5138.682,1214.493,5116.259,1598.393,3304.993,1946.682,2605.99
5,3763.474,4928.718,1155.315,4848.963,1481.935,3085.011,2089.263,2435.855
6,3552.372,4921.135,1144.672,4516.45,1462.522,2981.433,1731.237,2514.266
7,3403.594,4997.553,1092.619,4381.662,1433.239,2988.897,1683.552,2394.133
8,3363.68,4948.696,1026.033,4243.7,1408.925,2875.996,1816.049,2543.1
9,3111.844,5001.836,1037.668,4136.724,1411.557,2748.547,1784.453,2490.382
10,2971.499,4989.111,1098.566,4061.515,1441.758,2614.446,1900.69,2493.603
11,2846.211,5049.084,1083.354,4182.837,1377.183,2640.598,1760.021,2580.444
12,3116.004,5088.379,1109.587,4185.116,1381.28,2839.598,1791.599,2434.791
13,3150.025,5090.644,1086.943,4257.948,1262.011,2904.513,1728.63,2491.907
14,3259.168,5042.828,1009.545,4055.833,1226.833,2898.435,1668.659,2400.869
15,3233.884,5004.33,1039.044,4232.167,1262.498,2825.321,1480.26,2343.589
16,3441.949,5018.283,1033.68,4308.924,1230.678,2820.917,1571.839,2300.722
17,3399.617,5088.953,1023.307,4386.198,1144.841,2796.328,1607.701,2186.556
18,3359.475,4945.76,1066.94,4561.418,1127.971,2979.596,1688.815,2168.428
19,3340.802,4932.004,972.029,4421.314,1059.395,2906.263,1734.557,2103.622
20,3327.845,5015.166,1028.487,4650.697,1099.427,2904.266,2029.589,2124.672
21,3582.856,4968.055,1075.458,4823.386,1103.881,2847.188,2047.286,2105.572
22,3582.172,5021.857,1059.726,4861.826,1102.617,2789.444,2196.312,2126.15
23,3839.232,5113.526,1040.509,4913.071,1080.85,2838.08,2192.695,2061.667
24,3753.27,5137.015,1012.399,5131.648,1089.103,2723.902,2188.544,2083.653
25,3783.879,5179.107,1022.802,5160.393,1022.316,2719.23,2067.859,2100.024
26,3692.652,5205.431,1029.919,5004.299,1074.794,2677.339,1967.831,2048.917
27,3670.421,5250.517,1045.988,5222.618,1060.238,2700.098,1871.099,2148.439
28,3738.491,5320.768,1019.167,5231.947,1055.757,2622.748,2050.885,2132.544
29,3704.692,5326.904,992.268,5168.446,1067.378,2643.926,1910.299,2175.867
30,3602.426,5324.263,1056.154,5156.916,1039.103,2628.808,1378.576,2186.112
31,3936.889,5395.433,1041.737,5135.443,1077.368,2556.636,1709.062,2243.926
32,3801.232,5502.793,1049.417,5249.559,1082.381,2479.228,1907.406,2256.639
33,3661.681,5401.117,974.45,5317.634,1011.272,2391.915,1829.492,2232.615
34,3621.85,5591.299,975.931,5296.395,1024.381,2371.717,1718.654,2223.064
35,3730.13,5480.334,1000.598,5288.913,1037.953,2380.944,1483.448,2239.387
36,3788.356,5535.681,1004.105,5237.927,1110.527,2369.089,1991.047,2158.803
37,3682.111,5583.891,1046.73,5142.773,1085.977,2375.424,1656.065,2172.242
38,3780.24,5587.339,1020.418,5172.397,1119.385,2343.109,2023.008,2254.297
39,3809.14,5545.636,1037.427,5416.127,1094.792,2379.929,1715.857,2237.682
40,3775.927,5593.788,1068.02,5431.292,1171.021,2397.161,1611.628,2278.169
41,3647.458,5661.854,1061.457,5317.358,1154.76,2321.565,1797.893,2267.841
42,3633.338,5740.846,1077.641,5237.969,1132.551,2257.978,1812.344,2302.038
43,3528.132,5734.318,1072.363,5216.781,1104.559,2253.621,1751.958,2319.61
