time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18,cell 19,cell 20
0,4546.445,1625.701,2863.423,3607.591,1248.87,1958.785,1967.832,1776.375,1842.859,1990.645,2911.696,1882.725,2508.851,2082.305,4761.369,1186.99,2757.205,2900.08,4460.613,1808.923
40,4751.315,1657.5,2906.596,3610.803,1275.913,2192.176,2113.965,1611.043,1600.613,1748.738,3105.819,2085.481,2917.9,1690.523,3830.43,1101.887,2333.589,2575.857,4390.527,1710.226
80,4849.716,1750.216,3085.63,3790.683,1333.577,2667.207,2551.676,2008.812,2095.809,2219.281,3809.51,2498.347,3572.43,1962.746,4733.638,1102.34,2704.839,3121.205,4350.404,1747.069
120,4314.773,1404.74,2256.572,2973.764,753.784,2050.598,1679.461,1486.871,1360.633,1315.453,3322.564,1741.066,2517.745,1633.527,4457.416,833.907,2045.25,2366.607,3481.427,1135.736
160,4215.786,1360.747,2049.428,2859.99,676.077,2055.094,1553.91,1355.547,1367.348,1353.078,3260.754,1684.716,2304.734,1508.848,4426.724,781.052,1962.536,2366.027,3377.599,909.991
200,4166.141,1313.242,1916.01,2613.567,702.938,2030.445,1478.129,1270.664,1245.684,1349.531,3144.011,1661.132,2101.862,1453.215,4408.703,894.165,1880.098,2205.812,3316.516,848.312
240,4142.055,1335.833,1892.178,2522.712,756.375,1999.867,1478.172,1217.18,1265.891,1329.262,3003.272,1576.232,1999.45,1484.105,4347.454,900.608,1819.446,2149.036,3084.387,842.797
280,3970.383,1278.971,1889.139,2512.149,724.38,2022.703,1426.012,1235.707,1233.613,1405.461,2934.249,1464.298,1909.372,1415.984,4218.638,857.742,1673.643,2138.286,3019.08,824.799
320,3920.49,1239.729,1869.995,2331.861,766.029,1938.309,1483.301,1247.016,1138.879,1383.941,2874.456,1421.218,1804.255,1451.457,4209.311,906.381,1672.554,1950.446,2958.418,798.903
360,3778.208,1257.466,1709.894,2330.663,708.808,1962.504,1391.039,1138.508,1093.715,1303.348,2770.112,1367.077,1745.817,1402.586,4074.908,926.928,1561.58,1848.464,2808.851,806.054
400,3794.146,1227.052,1776.139,2314.183,710.471,1927.961,1405.137,1206.086,1118.996,1343.938,2722.811,1396.725,1812.401,1334.875,3907.096,867.66,1458.679,1878.67,2794.63,815.699
440,3587.344,1291.586,1753.106,2291.341,708.923,1903.555,1317.754,1125.434,1059.48,1404.641,2707.504,1338.688,1709.372,1393.375,3860.078,769.742,1520.536,1709.714,2634.788,725.745
480,3542.656,1269.172,1779,2206.236,713.356,1920.77,1302.004,1103.012,1077.586,1294.383,2616.542,1284.043,1638.788,1340.609,3690.696,726.99,1393.67,1819.625,2515.481,741.444
520,3400.521,1226.003,1723.481,2170.404,643.385,1861.453,1192.898,1101.395,974.43,1281.715,2504.183,1212.126,1543.08,1352.266,3545.444,777.216,1366.732,1727.152,2430.117,795.49
560,3282.109,1224.026,1680.615,2055.481,603.548,1776.68,1192.898,1010.844,946.293,1270.48,2384.845,1134.155,1467.309,1335.816,3504.532,803.732,1297.107,1636.5,2366.433,755.94
600,3099.75,1214.565,1632.74,1932.74,648.476,1764.93,1181.742,1006.691,936.402,1229.641,2329.476,1085.16,1420.536,1360.125,3416.659,772.155,1272.411,1565.696,2200.372,745.364
640,3078.109,1170.367,1491.389,1849.433,573.12,1684.711,1047.473,994.258,965.238,1238.523,2253.37,1006.487,1416.765,1369.465,3338.601,796.268,1201.607,1651.482,2175.054,709.367
680,2977.911,1194.768,1396.587,1678.202,551.697,1650.879,1082.016,1003.066,880.633,1204.199,2188.774,1004.946,1353.57,1307.918,3244.215,712.649,1154.688,1445.902,2173.209,649.229
720,2810.669,1178.904,1356.173,1684.062,535.731,1549.359,961.492,901.281,881.031,1223.438,2120.444,971.404,1300.897,1300.562,3105.819,584.907,1129.589,1457.625,2158.848,703.487
760,2871.258,1144.875,1338.038,1623.356,578.332,1593.441,1022.703,929.547,888.551,1196.859,2121.948,893.421,1286.519,1362.293,3134.618,603.247,1193.125,1462.393,2109.479,686.006
800,2811.885,1082.826,1313.837,1536.255,458.197,1574.703,978.66,934.77,824.484,1185.477,2080.258,928.768,1250.596,1266.602,2966.355,601.897,1214.464,1506.723,2169.049,698.648
840,2717.688,1055.945,1302.298,1572.562,491.067,1627.508,996.652,940.691,808.633,1206.262,2134.278,854.289,1306.748,1197.906,2955.283,586.711,1135.562,1490.438,2126.628,680.138
880,2778.648,1038.878,1160.788,1524.591,487.764,1604.941,887.742,872.938,770.105,1152.637,2033.596,917.244,1198.986,1255.133,2926.713,561.041,1105.196,1380.848,2045.378,677.441
920,2795.076,1004.859,1211.736,1447.625,480.043,1507.441,954.875,835.027,829.641,1153.852,2010.235,905.493,1250.046,1145.008,2897.055,572.866,1169.705,1400.571,1976.808,665.249
960,2714.328,889.388,1168.399,1470.115,481.029,1512.73,923.77,790.777,802.738,1099.586,1986.172,941.946,1294.307,1173.414,2881.416,630.918,1141.098,1383.071,1928.897,640.315
1000,2698.862,988.961,1056.038,1308.082,488.87,1513.523,955.539,928.52,902.613,1177.922,1927.238,925.261,1231.355,1114.176,2815.645,650.443,1140.473,1358.473,1949.527,656.215
1040,2678.622,895.453,989.837,1414.923,421.361,1523.527,932.371,802.367,815.348,1193.906,1911.08,959.885,1177.923,1141.559,2749.256,682.381,1036.902,1328.295,1902.693,647.181
