time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16
0,4098.575,4473.19,3017.293,3791.391,1923.698,3440.655,2698.996,2275.499,2668.654,1587.219,3257.535,3902.637,2740.565,3323.622,2846.746,3094.334
40,4113.497,4463.025,3035.045,3840.832,1935.269,3461.984,2734.716,2231.912,2790.63,1629.029,3232.516,3961.537,2780.599,3354.823,2859.886,3041.71
80,4118.654,4423.949,3005.849,3802.986,1887.275,3361.741,2659.689,2193.403,2684.624,1605.674,3175.399,3903.977,2738.799,3306.372,2876.301,3093.777
120,3790.115,4104.636,2916.879,3423.214,1579.391,2902.168,2013.879,1871.81,2074.401,1299.521,2849.054,3591.805,2447.599,2983.701,2514.236,2509.469
160,3649.907,3845.616,2952.195,3245.433,1404.418,2617.864,1883.155,1731.826,1852.605,1271.102,2724.829,3541.195,2344.854,2765.328,2450.489,2391.817
200,3649.364,3712.795,2869.662,3183.863,1378.946,2466.842,1808.671,1678.838,1739.679,1206.294,2730.563,3505.562,2282.047,2739.984,2434.609,2295.182
240,3589.109,3693.442,2739.647,3169.095,1346.102,2418.225,1831.712,1625.883,1737.624,1164.786,2670.943,3479.481,2238.729,2697.273,2372.192,2273.856
280,3580.515,3414.949,2695.517,3085.218,1313.847,2294.478,1744.632,1625.254,1689.575,1139.857,2666.816,3432.985,2252.292,2648.763,2370.081,2182.424
320,3497.304,3388.819,2737.675,3053.602,1320.684,2233.456,1688.748,1542.157,1615.174,1149.745,2631.073,3332.088,2263.599,2631.81,2360.326,2226.009
360,3422.244,3196.627,2685.381,2948.544,1343.144,2221.728,1716.474,1589.35,1600.485,1088.599,2617.196,3307.332,2188.703,2590.404,2311.507,2194.22
400,3366.244,3014.812,2651.368,2888.852,1393.713,2199.943,1709.078,1562.002,1544.08,1136.542,2513.43,3248.668,2172.635,2569.119,2266.91,2117.594
440,3296.093,2879.603,2668.206,2776.871,1398.955,2255.627,1604.278,1578.661,1517.28,1118.82,2444.535,3210.579,2164.44,2503.979,2232.301,2150.94
480,3263.336,2857.576,2599.544,2722.132,1361.051,2130.978,1617.086,1522.115,1536.89,1050.779,2500.778,3259.989,2156.06,2535.953,2260.749,2179.941
520,3137.093,2740.208,2619.329,2691.969,1358.901,2146.354,1499.333,1539.507,1426.419,1064.617,2385.222,3239.599,2124.312,2509.744,2210.519,2136.764
560,3113.919,2661.763,2609.527,2623.879,1328.093,2147.981,1539.951,1476.329,1426.832,1020.534,2310.642,3179.494,2142.94,2465.537,2148.504,2160.645
600,3049.521,2640.94,2550.228,2570.131,1354.2,2072.085,1523.44,1487.051,1372.481,1047.951,2288.946,3112.473,2122.026,2473.054,2159.746,2086.687
640,3074.101,2595.54,2529.042,2472.692,1347.913,2045.522,1450.117,1394,1329.288,947.635,2321.547,3093.258,2077.594,2398.088,2133.083,2117.606
680,2995.713,2546.241,2556.74,2420.75,1352.138,1934.661,1445.301,1467.063,1315.583,984.096,2278.538,3070.764,2069.268,2377.843,2138.633,2130.37
720,3001.343,2391.196,2482.388,2367.459,1334.191,1929.712,1374.828,1419.321,1312.18,920.005,2285.668,3076.489,2109.854,2390.758,2115.414,2076.862
760,3050.612,2439.54,2455.367,2436.195,1303.665,1886.57,1351.601,1368.121,1233.577,935.359,2279.636,2938.969,2015.919,2343.995,2060.226,2064.382
800,3013.881,2376.871,2501.774,2393.787,1268.051,1805.177,1334.207,1326.613,1211.468,935.305,2272.661,2950.921,1938.164,2283.003,2040.032,2028.908
840,3087.461,2371.714,2449.369,2382.398,1256.785,1829.661,1347.961,1347.918,1196.984,973.12,2246.329,3001.71,1967.526,2282.703,2033.411,2064.191
880,3094.096,2345.605,2473.941,2378.419,1251.886,1772.133,1372.006,1386.975,1198.728,891.06,2207.234,2914.975,1994.234,2253.859,2028.311,2023.728
920,2996.526,2326.777,2431.28,2359.46,1245.668,1806.016,1315.834,1344.971,1182.233,883.987,2174.788,2914.509,1936.677,2183.774,1962.576,2025.865
960,3008.584,2264.884,2369.969,2327.907,1229.06,1771.472,1266.483,1279.374,1173.397,908.193,2222.987,2912.881,1897.161,2116.524,1969.092,2010.444
1000,3031.706,2233.328,2335.852,2369.182,1204.227,1777.699,1214.01,1274.562,1205.084,893.654,2198.275,2865.099,1948.38,2131.167,1940.256,2024.323
1040,3020.411,2291.926,2408.251,2366.997,1205.266,1743.418,1192.808,1281.333,1197.123,872.156,2209.639,2916.044,1888.445,2147.695,1953.726,1974.77
1080,3038.619,2262.728,2358.751,2310.108,1202.821,1737.177,1100.072,1286.855,1163.286,874.016,2206.665,2850.431,1939.422,2125.56,1962.198,1982.093
1120,2976.112,2219.165,2358.806,2354.168,1225.54,1692.506,1188.509,1286.258,1147.796,914.383,2140.37,2824.999,1970.495,2085.222,1903.171,1963.735
1160,2991.393,2240.857,2367.843,2298.517,1242.408,1709.668,1144.751,1272.636,1165.366,841.201,2108.785,2742.502,1898.831,2022.719,1846.847,1897.499
1200,2890.612,2204.424,2334.978,2288.567,1183.289,1679.19,1125.998,1257.329,1128.888,885.49,2153.095,2813.067,1885.898,2066.683,1872.647,1977.233
1240,2919.844,2107.301,2264.623,2281.678,1207.374,1591.108,1110.99,1244.117,1118.436,854.995,2126.661,2753.805,1826.107,2013.227,1822.259,1918.047
1280,2928.295,2189.971,2277.357,2256.866,1156.862,1603.934,1088.838,1178.671,1101.902,818.839,2029.896,2771.507,1839.969,2027.528,1858.086,1931.922
1320,2907.265,2114.237,2267.617,2303.618,1189.514,1606.177,1089.474,1153.591,1121.464,842.807,2059.883,2718.29,1874.919,1992.636,1876.176,1913.027
