time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18,cell 19,cell 20,cell 21,cell 22,cell 23,cell 24
0,2087.699,2680.692,2664.455,1787.199,2681.898,2463.712,4023.328,2476.854,3624.115,2923.391,3261.066,3386.566,3574.777,3206.902,3606.348,6340.867,2677.968,4478.318,4728.111,5491.954,4723.027,3950.778,5055.18,2393.604
40,2023.724,2648.897,2578.84,1722.071,2514.401,2437.243,4003.876,2542.146,3723.785,2786.934,3327.672,3775.734,3523.418,3208.223,3584.125,6509.902,2720.474,4702.923,4825.282,5468.817,4633.744,4063.232,4884.487,2316.484
80,1930.026,2631.859,2584.25,1703.596,2568.017,2413.949,3988.409,2507.679,3614.585,2808.598,3269.785,3711.121,3515.926,3219.141,3545.629,6633.898,2672.776,4670.885,4694.294,5416.751,4743.471,4048.659,4837.271,2341.583
120,1984.449,2659.282,2495.635,1740.077,2651.644,2491.497,3853.117,2529.234,3491.352,2718.434,3268.105,3662.387,3527.59,3200.945,3495.246,6556.332,2666.372,4679.673,4646.161,5371.788,4586.747,3976.922,4730.633,2289.672
160,1619.5,2086.34,2202.962,1602.519,2007.825,2056.266,3241.146,1863.365,2750.387,1432.828,2544.293,2781.332,2319.223,2070.266,2720.801,4785.566,1456.91,3802.639,3406.187,4451.433,3626.945,3134.427,4307.206,1887.938
200,1435.391,2002.276,2020.603,1538.045,1885.994,2103.311,2911.934,1574.277,2638.805,1265.551,2403.641,2428.645,1971.918,1712.992,2499.305,4059.828,1272.686,3714.963,2982.68,4253.074,3561.444,2968.577,4229.693,1727.849
240,1460.333,1943.301,2045.564,1550.705,1852.271,2049.667,2858.431,1454.073,2503.868,1343.562,2368.887,2193.246,1898.949,1790.141,2567.234,3528.215,1315.596,3575.547,2686.364,4094.112,3533.945,2912.809,4105.82,1620.427
280,1420.199,1924.295,2042.077,1492.603,1859.542,2011.729,2631.277,1442.445,2426.539,1401.082,2345.367,2132.488,1832.285,1738.25,2482.016,3451.719,1313.372,3616.713,2705.892,4045.582,3590.85,2860.894,4053.818,1612.901
320,1374.577,2046.827,1974.032,1542.814,1799.599,2099.768,2549.226,1362.044,2401.516,1427.719,2312.211,2099.406,1849.336,1792.766,2474.578,3398.129,1268.224,3456.493,2682.358,3891.883,3493.338,2844.642,4015.078,1538.492
360,1358.66,1957.128,1957.256,1465.647,1840.113,2086.944,2482.854,1552.022,2307.957,1426.539,2331.215,2111.121,1754.961,1750.969,2468.918,3380.578,1319.929,3443.372,2584.146,3871.868,3450.973,2728.491,4044.651,1534.828
400,1358.66,1957.128,1957.256,1465.647,1840.113,2086.944,2482.854,1552.022,2307.957,1426.539,2331.215,2111.121,1754.961,1750.969,2468.918,3380.578,1319.929,3443.372,2584.146,3871.868,3450.973,2728.491,4044.651,1534.828
440,1355.346,2006.34,1925.929,1457.429,1688.633,1962.644,2488.723,1662.766,2214.292,1439.742,2319.117,2019.02,1655.539,1636.031,2417.266,3461.457,1343.058,3373.292,2536.731,3810.034,3416.358,2778.959,3872.141,1576.023
480,1311.583,2092.038,1885.872,1440.327,1707.576,1999.927,2639.869,1770.701,2112.782,1313.758,2265.758,1972.488,1609,1678.461,2371.125,3325.531,1417.231,3337.521,2565.073,3716.115,3358.645,2785.133,3873.638,1535.169
520,1279.731,2018.808,1845.756,1427.032,1738.333,1947.237,2578.08,1746.613,2106.014,1304.812,2215.371,1877.742,1663.707,1593.629,2385.309,3160.34,1338.372,3228.722,2503.693,3688.034,3311.761,2827.024,3866.346,1514.984
560,1358.75,1967.378,1881.455,1480.372,1690.023,2016.401,2662.109,1717.511,2168.198,1359.34,2224.066,1865.633,1685,1582.797,2345.117,3112.75,1317.929,3170.857,2514.326,3538.052,3262.416,2820.273,3761.953,1505.25
600,1243.596,1954.09,1826.827,1436.968,1655.768,1969.124,2633.898,1686.577,2111.029,1365.754,2185.75,1828.523,1708.258,1533.527,2255.977,3088.871,1312.321,3096.14,2457.522,3383.579,3369.355,2759.915,3717.518,1551.721
640,1262.308,1834.782,1788.25,1463.615,1652.661,1966.299,2609.504,1650.35,2052.587,1354.141,2138.328,1896.516,1584.68,1545.27,2264.441,3254.172,1298.692,3069.788,2346.5,3370.808,3369.352,2700.601,3693.909,1554.698
680,1215.609,1958.25,1856.859,1521.814,1631.904,1910.011,2587.62,1749.854,2035.47,1357.715,2086.32,1875.504,1547.598,1478.73,2257.168,3203.461,1294.673,3085.728,2370.206,3405.527,3468.85,2692.338,3634.195,1592.839
720,1333.808,1883.442,1832.173,1438.179,1630.237,1886.599,2498.912,1826.124,2074.281,1330.473,2085.234,1778.844,1567.812,1419.496,2305.059,3185.266,1319.327,2979.175,2326.655,3372.424,3552.911,2640.215,3623.859,1583.083
