time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18
0,5833.642,5539.789,6699.637,2341.515,3371.01,2486.469,4404.922,3115.409,3649.373,5039.984,2350.313,3225,6184.761,3760.827,2763.1,1991.237,2590.623,2972.797
40,5667.695,5504.098,6550.33,2227.708,3361.859,2397.859,4329.88,3010.105,3347.449,5000.971,2311.456,3232.818,6233.292,3724.806,2762.758,2010.25,2533.054,2955.791
80,5774.714,5498.832,6643.226,2278.758,3242.076,2356.422,4380.922,3055.038,3437.742,5096.039,2399.816,3113.854,6159.12,3686.424,2778.636,1969.491,2559.136,2925.984
120,4741.652,4799.427,5662.658,1716.335,2649.833,1813.615,2906.828,1973.385,2710.124,3915.651,1524.057,2471.14,3718.873,2115.495,1948.93,1154.595,2254.348,2034.37
160,4564.243,4842.374,5586.933,1679.696,2696.69,1850.648,2715.354,1993.862,2635.231,3699.729,1549.352,2391.494,3174.117,1915.361,1943.437,1196.052,2229.991,2074.193
200,4498.988,4785.544,5555.746,1688.791,2681.786,1871.508,2607.503,1919.781,2665.013,3573.756,1658.198,2404.065,2938.224,1887.324,1946.408,1238.889,2169.228,2123.627
240,4532.585,4769.642,5673.551,1760.677,2704.82,1873.401,2618.948,2044.561,2636.876,3509.567,1682.724,2452.227,2921.471,1960.432,1973.521,1322.605,2129.041,2137.044
280,4414.816,4842.119,5624.468,1742.145,2725.542,1877.846,2641.06,1973.166,2644.631,3518.234,1756.542,2378.662,2829.948,1904.865,1869.858,1273.135,2077.848,2042.943
320,4497.053,4823.211,5424.409,1745.468,2831.971,1836.716,2611.164,1885.841,2566.644,3386.032,1742.569,2381.627,2853.635,1950.805,1860.307,1301.854,2122.218,1909.272
360,4489.928,4921.738,5335.933,1760.337,2817.409,1840.669,2544.185,1873.971,2639.982,3351.847,1729.661,2351.883,2822.281,1934.473,1870.76,1325.28,2064.38,1827.582
400,4448.771,4677.744,5201.682,1710.684,2815.492,1828.37,2510.091,1785.404,2564.809,3267.302,1705.524,2297.615,2730.515,1840.251,1847.545,1261.085,1968.633,1777.231
440,4396.178,4807.065,5217.786,1713.399,2785.206,1778.927,2443.576,1746.789,2596.52,3186.039,1668.362,2331.067,2706.149,1763.08,1783.521,1239.775,1946.946,1684.633
480,4480.751,4687.317,4979.867,1708.055,2706.539,1784.276,2488.534,1741.675,2551.836,3134.005,1690.182,2279.209,2722.539,1736.476,1846.967,1191.54,1941.402,1649.354
520,4272.62,4676.086,4806.385,1670.14,2646.138,1757.211,2427.271,1634.347,2527.507,2960.558,1628.661,2277.073,2716.011,1693.259,1806.775,1210.42,1862.62,1584.038
560,4332.538,4765.888,4783.15,1704.411,2795.43,1809.786,2498.417,1641.637,2616.973,2960.825,1564.145,2300.089,2721.17,1726.926,1811.017,1266.094,1910.69,1573.991
600,4198.127,4510.239,4663.879,1609.499,2701.505,1723.109,2445.516,1607.295,2527.542,2804.888,1620.908,2248.352,2775.854,1676.992,1793.891,1257.343,1858.497,1508.845
640,4158.765,4574.413,4648.964,1662.185,2710.729,1671.63,2424.167,1566.285,2461.951,2719.886,1620.728,2294.203,2820.985,1674.441,1772.949,1282.712,1836.639,1562.858
680,4113.947,4491.221,4644.145,1639.162,2650.253,1612.576,2358.721,1567.204,2358.244,2671.909,1609.057,2288.808,2787.716,1632.537,1737.617,1299.443,1821.652,1454.114
720,4164.016,4549.798,4596.632,1659.715,2692.336,1654.977,2349.419,1595.615,2317.996,2613.041,1587.037,2268.956,2885.677,1670.573,1719.674,1314.893,1844.345,1493.066
760,4123,4620.366,4613.112,1632.518,2669.695,1570.115,2349.497,1636.872,2271.311,2593.347,1638.685,2284.963,2986.727,1677.743,1733.441,1311.758,1864.449,1553.756
800,4060.767,4672.685,4545.119,1710.831,2680.073,1585.776,2411.961,1723.808,2223.396,2577.524,1642.505,2297.247,3054.573,1658.228,1710.958,1334.634,1869.712,1532.095
840,3935.239,4580.096,4480.233,1615.1,2621.932,1501.177,2330.477,1813.002,2139.516,2518.601,1581.247,2242.489,2965.75,1646.057,1640.217,1289.425,1811.816,1518.652
880,4114.098,4719.789,4582.335,1641.176,2783.005,1549.74,2434.216,1842.808,2228.769,2565.214,1654.601,2400.92,3073.459,1648.434,1705.194,1310.882,1777.636,1520.174
920,4019.855,4613.843,4534.812,1640.059,2700.273,1614.341,2428.018,1777.52,2202.738,2524.932,1567.961,2327.745,3144.347,1659.85,1763.841,1328.362,1778.332,1548.155
960,3980.108,4542.254,4577.34,1592.808,2746.13,1585.19,2463.63,1772.411,2120.098,2418.562,1539.928,2313.971,3109.289,1693.077,1743.617,1309.704,1724.358,1526.601
1000,3929.526,4491.233,4513.534,1567.316,2703.857,1624.737,2465.214,1725.736,2060.382,2381.771,1501.634,2201.492,3151.494,1703.375,1734.734,1344.172,1808.978,1523.079
1040,4019.276,4640.834,4545.088,1618.979,2979.562,1640.781,2484.544,1784.401,2056.413,2430.612,1561.104,2306.195,3177.732,1726.317,1777.185,1373.922,1835.93,1579.174
1080,3987.716,4569.387,4575.439,1617.181,2935.013,1579.195,2541.885,1767.603,2156.671,2491.831,1520.016,2185.177,3141.365,1661.875,1805.121,1350.253,1751.12,1456.566
1120,3957.272,4587.354,4631.276,1587.219,2961.125,1628.383,2511.576,1757.392,2059.004,2474.622,1518.953,2233.13,3221,1704.813,1810.231,1342.79,1753.649,1507.544
1160,3927.485,4685.192,4627.848,1591.684,2975.88,1628.849,2532.122,1730.656,2072.929,2537.508,1533.35,2224.497,3246.664,1712.538,1780.603,1344.825,1814.722,1572.877
1200,3879.855,4621.712,4527.499,1538.461,2855.786,1525.906,2441.651,1751.409,2027.409,2476.544,1483.231,2370.958,3209.731,1713.149,1724.942,1329.897,1782.858,1548.797
1240,3961.067,4637.89,4514.639,1552.549,2927.88,1576.25,2504.224,1757.347,2045.031,2442.912,1499.564,2270.857,3192.468,1691.769,1747.53,1281.506,1798.114,1531.551
1280,3988.861,4681.188,4498.363,1568.556,2882.573,1605.367,2503.081,1760.948,2080.52,2384.407,1464.329,2208.057,3268.381,1660.41,1779.274,1314.149,1745.421,1506.297
1320,3950.505,4605.509,4435.656,1577.936,2826.109,1566.544,2481.266,1703.513,1974.178,2389.674,1415.229,2186.644,3272.485,1701.686,1753.049,1315.206,1785.741,1468.722
1360,3936.072,4745.26,4523.589,1578.812,2906.456,1544.365,2501.143,1705.518,2018.489,2480.062,1421.718,2228.003,3315.945,1676.764,1774.626,1288.542,1763.693,1512.475
1400,3912.953,4677.17,4553.639,1581.444,2901.794,1519.87,2488.5,1692.154,1991.556,2400.677,1422.237,2240.287,3367.847,1736.448,1747.23,1313.741,1792.582,1467.642
1440,3858.323,4716.391,4553.24,1559.211,2876.346,1503.427,2480.542,1726.518,2039.898,2454.341,1406.472,2263.519,3369.372,1735.592,1753.976,1315.056,1755.187,1519.655
1480,3859.137,4638.16,4464.9,1591.138,2936.245,1497.716,2517.966,1711.069,2044.636,2511.201,1404.656,2269.641,3437.838,1751.192,1731.173,1300.992,1784.535,1508.396
1520,3909.918,4685.757,4501.354,1570.976,2939.935,1508.492,2502.492,1717.917,2064.649,2516.633,1384.47,2308.075,3385.435,1697.318,1760.163,1349.84,1805.759,1530.519
1560,3887.297,4790.252,4510.993,1561.477,2965.568,1563.146,2511.596,1693.285,1993.289,2511.247,1412.476,2293.109,3426.979,1707.918,1768.734,1360.031,1734.025,1541.351
1600,3950.714,4691.847,4621.675,1552.159,2969.797,1517.854,2483.826,1666.432,2016.253,2522.705,1433.577,2273.593,3441.149,1732.689,1765.282,1379.72,1739.241,1499.63
1640,3823.258,4604.274,4569.356,1552.401,2937.878,1434.635,2471.909,1580.287,1960.253,2434.799,1380.149,2178.943,3382.528,1666.681,1739.674,1311.273,1711.139,1484.177
1680,3851.789,4654.231,4490.169,1570.515,2871.646,1442.206,2536.388,1601.181,1946.418,2455.745,1388.207,2264.894,3420.719,1668.656,1778.67,1328.056,1750.054,1558.222
1720,3831.658,4581.282,4548.34,1590.247,2847.055,1464.758,2452.201,1685.252,2045.591,2485.804,1424.329,2319.711,3463.244,1688.527,1847.094,1326.541,1746.703,1509.63
1760,3842.497,4601.358,4595.874,1609.986,2860.768,1396.555,2467.182,1661.922,2023.351,2424.425,1412.941,2305.916,3513.172,1659.607,1783.965,1325.246,1636.339,1490.915
1800,3796.221,4679.953,4538.268,1593.969,2915.839,1453.266,2497.245,1650.862,2027.862,2446.187,1421.129,2240.68,3491.716,1684.439,1823.053,1322.775,1651.832,1464.332
1840,3845.701,4665.589,4433.758,1584.131,2882.122,1448.716,2454.62,1647.798,2044.093,2448.742,1423.599,2292.606,3578.373,1718.769,1826.122,1362.463,1697.247,1456.535
1880,3886.918,4668.98,4475.475,1596.38,2944.997,1426.544,2489.307,1678.988,2028.991,2437.526,1415.573,2211.172,3624.221,1728.143,1817.693,1354.708,1642,1501.782
