time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17
0,1482.518,3677.32,4110.391,4402.876,3483.968,4537.997,4006.028,1747.667,3214.176,6730.505,3182.413,2814.976,2834.481,4813.719,3802.044,2203.224,3381.014
40,1395.279,3723.911,3976.138,4462.454,3366.078,4521.126,3766.889,1782.424,3239.355,6588.635,3121.427,2707.625,2788.372,4679.411,3889.832,2261.724,3323.911
80,1421.4,3687.56,3979.493,4397.774,3286.338,4526.955,3863.342,1731.141,3324.957,6626.208,3140.095,2724.102,2782.104,4645.13,4066.467,2220.885,3331.418
120,1284.509,3362.636,3678.178,4150.567,3177.849,4412.43,3584.288,1576.294,3093.895,6098.137,2949.885,2270.433,2712.957,4247.504,3323.467,2099.955,3104.16
160,1246.239,3317.533,3675.951,3963.115,3010.756,4417.556,3384.152,1594.107,2959.891,5826.706,2844.438,2157.126,2804.604,4068.924,3237.876,1926.154,3068.135
200,1189.283,3061.502,3620.116,3854.406,2818.809,4446.476,3251.013,1337.492,2814.523,5576.041,2716.301,2077.314,2791.289,3970.633,3165.883,1924.192,2982.252
240,1169.393,3030.787,3472.142,3747.176,2902.955,4453.316,3135.544,1393.469,2776.363,5396.287,2690.479,2056.826,2825.457,3882.519,3165.015,1879.308,2862.504
280,1167.319,2924.311,3510.933,3598.381,2949.031,4428.06,2985.263,1340.452,2706.152,5183.567,2737.937,1963.928,2702.052,3795.389,3209.19,1814.173,2791.244
320,1165.194,2742.858,3523.453,3418.289,3042.649,4378.138,2901.804,1264.955,2707.367,5003.495,2654.049,1847.942,2666.433,3713.081,3313.774,1745.333,2602.246
360,1163.853,2591.698,3376.124,3426.017,3026.951,4423.225,2791.842,1326.661,2692.367,4706.614,2699.407,1876.113,2518.567,3647.57,3326.467,1752.154,2569.37
400,1075.098,2377.649,3275.436,3290.998,2924.289,4396.369,2673.484,1175.927,2626.375,4520.205,2658.292,1747.983,2341.604,3424.428,3049.891,1632.949,2376.355
440,1139.319,2343.182,3253.227,3296.261,2886.23,4409.689,2651.788,1120.136,2648.066,4290.945,2545.765,1657.068,2214.359,3373.93,2999.81,1612.532,2389.673
480,1148.964,2243.729,3194.569,3163.404,2867.708,4397.709,2538.513,1097.514,2595.938,4094.788,2542.043,1626.123,2144.244,3234.241,2718.328,1571.91,2381.622
520,1208.413,2213.524,3211.48,3100.135,2836.75,4341.547,2504.462,1136.045,2571.031,3908.857,2556.659,1537.024,2038.509,3119.859,2821.474,1520.436,2247.074
560,1166.138,2051.533,3114.102,3100.202,2665.131,4242.784,2454.851,997.706,2556.426,3806.358,2508.874,1519.884,1970.693,2981.322,2767.219,1476.494,2170.567
600,1153.92,1976.702,3110.84,3046.989,2620.039,4168.796,2396.601,989.808,2514.082,3760.184,2507.057,1454.983,1899.924,2923.726,2745.336,1402.596,2145.421
640,1193.232,1919.164,2944.138,3069.513,2560.183,4186.849,2316.218,994.418,2540.191,3585.935,2547.398,1449.201,1907.906,2905.559,2769.285,1434.019,2185.837
680,1157.129,1912.124,2965.956,3003.017,2542.497,4245.603,2210.661,994.316,2419.75,3514.451,2479.02,1406.198,1778.107,2877.394,2664.343,1433.064,2109.831
720,1171.904,1892.338,2815.369,3049.689,2489.827,4109.034,2165.541,1008.175,2510.508,3521.123,2432.513,1357.283,1735.563,2873.541,2726.927,1445.641,2019.968
760,1124.092,1772.173,2765.933,3007.631,2440.45,4171.782,2137.718,1047.311,2426.242,3492.652,2394.034,1323.437,1698.846,2792.287,2649.803,1385.538,1947.476
800,1136.933,1730.924,2688.436,2952.293,2457.127,4158.127,2085.753,936.034,2444.375,3439.546,2348.146,1239.693,1695.631,2793.902,2750.46,1444.865,1925.017
840,1129.819,1673.449,2617.502,2902.389,2420.547,4130.466,2051.525,1032.028,2385.492,3367.358,2225.92,1227.218,1686.135,2795.826,2853.182,1382.731,1960.404
880,1144.775,1707.667,2557.116,2941.463,2352.17,4044.017,1980.915,962.062,2387.492,3180.563,2147.819,1207.741,1680.748,2800.317,2809.394,1206.333,1928.352
920,1129.107,1780.782,2534.796,2990.081,2380.779,4115.596,1946.994,991.446,2337.75,3132.645,2205.229,1274.075,1644.535,2807.013,2785.504,1343.686,1993.407
960,1191.239,1826.062,2521.804,2972.224,2358.387,4126.028,1911.715,978.373,2489.258,3193.655,2267.599,1264.205,1655.93,2686.169,2882.409,1296.833,1872.885
1000,1168.246,1806.871,2467.982,3024.004,2313.545,4176.528,1960.816,986.277,2445.84,3110.447,2151.516,1352.355,1610.256,2671.906,2960.226,1220.865,1878.226
1040,1181.174,1849.853,2485.987,2983.152,2295.605,4139.926,1911.282,1006.559,2412.824,3046.567,2226.728,1390.215,1677.081,2646.337,2810.328,1268.455,1847.527
1080,1159.844,1808.338,2423.453,2981.783,2197.792,4044.236,1967.016,975.441,2510.473,3021.495,2211.622,1378.321,1632.231,2605.481,2858.971,1263,1785.304
1120,1133.761,1774.498,2355.773,2967.609,2288.959,4052.418,1946.399,1050.655,2487.047,3058.775,2220.639,1298.952,1667.769,2641.826,2700.599,1286.481,1774
1160,1121.618,1725.418,2440.92,2951.361,2227.49,4000.383,1977.199,953.582,2563.242,2929.724,2337.152,1295.58,1685.767,2598.093,2768.46,1295.609,1758.963
1200,1176.5,1823.151,2494.004,2985.372,2255.575,3910.592,1960.259,953.051,2615.348,2957.577,2359.057,1268.614,1620.778,2521.535,2631.796,1221.987,1722.648
1240,1123.978,1803.809,2428.871,2943.05,2227.585,3892.225,1962.598,952.701,2508.719,2858.287,2220.808,1281.881,1626.196,2567.169,2658.277,1204.25,1647.384
1280,1122.196,1751.644,2448.773,2977.526,2235.691,3942.247,1979.247,967.215,2577.281,2895.761,2208.63,1232.457,1625.811,2665.294,2817.657,1289.038,1655.648
1320,1140.654,1678.307,2349.413,2963.939,2183.144,3872.793,1992.437,904.633,2564.004,2850.225,2079.341,1262.27,1587.969,2621.354,2738.088,1282.859,1590.639
1360,1100.551,1693.547,2360.373,2959.811,2252.581,3852.87,1940.943,978.435,2565.441,2744.215,2216.309,1241.932,1471.822,2632.659,2717.803,1333.353,1576.593
1400,1145.643,1673.378,2235.618,2935.324,2205.013,3868.885,1895.756,911.994,2608.574,2736.788,2258.716,1245.857,1485.559,2639.176,2568.073,1312.987,1584.625
1440,1183.306,1637.636,2366.284,3024.389,2250.191,3902.489,1932.5,989.26,2595.805,2830.382,2164.788,1286.652,1548.354,2638.681,2583.839,1318.449,1595.143
1480,1170.092,1712.898,2302.209,2990.559,2245.774,3899.947,1872.541,949.249,2551.145,2821.341,2127.968,1295.539,1635.07,2665.315,2658.263,1272.09,1590.272
1520,1152.922,1616.991,2250.227,3005.956,2175.052,3877.76,1853.351,962.994,2510.387,2768.908,2155.579,1244.788,1534.441,2670.47,2705.803,1253.814,1568.149
1560,1103.98,1672.929,2182.684,2978.019,2207.258,3842.219,1879.171,904.514,2527.555,2675.689,2148.756,1266.666,1546.548,2563.15,2749.022,1339.295,1566.183
1600,1093.096,1669.116,2165.196,3016.219,2150.718,3907.703,1898.218,845.514,2574.375,2626.024,2253.542,1211.365,1542.589,2527.33,2664.599,1267.103,1514.201
1640,1107.027,1621.8,2221.471,2956.744,2152.726,3788.197,1812.171,868.006,2483.215,2585.734,2302.702,1179.829,1562.474,2553.707,2653.985,1256.859,1601.49
1680,1072.587,1604.467,2349.502,2977.396,2179.534,3845.784,1919.829,843.785,2558.957,2582.594,2284.676,1231.549,1591.733,2589.898,2784.058,1264.019,1564.166
1720,1101.065,1608.533,2250.764,3011.965,2123.845,3829.68,1889.959,894.243,2629.387,2426.485,2244.808,1241.375,1582.407,2537.319,2756.985,1300.769,1631.931
1760,1132.808,1587.4,2292.311,2959.659,2169.395,3816.733,1972.987,862.582,2594.184,2513.986,2209.699,1225.676,1572.904,2574.189,2637.62,1229.827,1589.052
1800,1110.538,1599.996,2288.822,3020.672,2150.275,3843.334,1998.547,846.09,2596.57,2484.184,2147.011,1299.587,1672.385,2582.141,2798.905,1268.333,1663.968
1840,1123.623,1605.773,2193.796,2950.981,2173.439,3843.552,2053.753,889.294,2546.082,2545.549,2166.668,1258.546,1627.63,2602.033,2926.956,1217.192,1615.564
1880,1131.357,1629.982,2340.556,2995.252,2204.422,3818.14,2007.785,846.718,2523.68,2613.645,2154.722,1231.201,1614.531,2568.72,2952.226,1159.846,1628.275
1920,1077.277,1602.009,2239.036,2928.276,2110.236,3901.295,2009.161,863.254,2535.062,2599.498,2191.943,1303.017,1590.526,2609.681,2964.796,1270.006,1685.88
1960,1164.533,1612.809,2314.942,3008.998,2124.845,3958.103,1999.047,835.424,2489.703,2565.372,2143.232,1284.563,1510.006,2631.15,2959.81,1311.346,1712.447
2000,1101.359,1556.52,2177.729,2951.243,2125.823,3904.817,1901.873,830.345,2452.98,2414.416,2207.599,1118.119,1482.041,2595.578,3115.993,1261.891,1639.241
2040,1086.411,1593.418,2268.462,2864.176,2149.609,3966.36,1970.237,920.65,2570.801,2552.157,2286.387,1195.56,1505.978,2570.767,3022.051,1361.071,1698.258
2080,1086.426,1565.409,2216.387,2800.5,2089.751,3843.751,1999.465,910.644,2469.27,2535.945,2252.393,1210.87,1509.537,2593.846,3049.679,1361.955,1691.834
2120,1141.685,1616.876,2235.844,2946.946,2074.718,3836.781,1961.275,935.763,2554.82,2488.423,2233.596,1225.225,1514.9,2531.361,3000.036,1372.244,1682.009
