time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18,cell 19
0,4376.298,3876.203,2404.117,3173.089,2613.07,4752.904,2252.885,2244.271,6655.458,3470.761,1503.294,1817.894,8064.759,3128.137,6255.082,3812.01,5786.068,3047.958,2774.993
40,4240.112,3668.333,2292.961,3256.641,2686.99,4714.831,2169.411,2257.484,6643.705,3448.056,1562.359,1743.713,8035.356,3042.613,6252.781,3845.277,5710.863,2964.44,2802.205
80,4279.888,3599.195,2302.763,3223.789,2629.081,4738.745,2145.547,2344.815,6479.367,3384.941,1499.302,1739.092,7944.299,3033.264,6201.798,3778.376,5594.4,2962.903,2707.692
120,4300.782,3599.362,1932.862,2866.065,2574.279,4638.089,1944.534,2034.68,6343.865,3170.213,1344.024,1516.044,7784.256,2790.81,6030.699,3435.265,5049.4,2672.279,2448.4
160,4133.358,3407.573,1780.951,2705.484,2408.786,4482.883,1814.63,1825.487,6102.361,3054.681,1225.128,1353.294,7673.266,2670.524,5877.867,3271.478,4774.118,2441.099,2361.579
200,4029.948,3380.352,1785.039,2667.456,2460.346,4518.198,1767.667,1851.849,6007.223,2945.502,1194.904,1425.952,7734.687,2624.802,5862.364,3367.764,4565.735,2447.541,2316.099
240,3981.501,3515.083,1825.768,2659.245,2506.234,4502.469,1884.953,1874.383,5755.653,2939.667,1191.896,1323.812,7658.888,2489.738,5790.239,3308.179,4447.614,2419.773,2335.818
280,3895.261,3362.487,1753.615,2505.513,2382.922,4435.753,1866.622,1821.057,5299.138,2832.757,1188.981,1331.768,7531.726,2455.843,5532.176,3220.123,4468.821,2326.711,2277.147
320,3952.897,3513.883,1817.964,2591.315,2516.698,4648.26,1974.565,1924.086,5487.04,2950.863,1236.198,1414.693,7710.769,2424.914,5520.828,3303.742,4566.489,2386.444,2331.388
360,3934.41,3406.417,1722.115,2632.932,2419.732,4417.18,1894.359,1856.318,5136.994,2863.83,1216.152,1339.099,7614.256,2409.321,5378.012,3329.666,4628.775,2345.49,2387.976
400,3948.888,3448.753,1771.336,2602.839,2473.07,4472.612,1999.612,1920.612,4992.189,2792.833,1214.33,1384.73,7532.485,2384.654,5221.241,3290.477,4517.834,2265.232,2318.22
440,3801.633,3396.518,1712.914,2667.977,2370.326,4450.633,1841.513,1870.003,4789.493,2869.798,1197.511,1364.887,7562.387,2355.579,4973.376,3263.522,4616.173,2198.393,2312.828
480,3835.883,3400.432,1725.846,2653.992,2378.471,4580.049,1867.971,1879.057,4566.215,2807.022,1234.202,1365.249,7500.577,2382.09,4759.266,3235.924,4660.218,2164.905,2375.269
520,3804.822,3393.375,1650.391,2614.716,2378.471,4538.823,1874.828,1988.388,4491.593,2843.189,1223.544,1316.901,7542.718,2308.006,4565.292,3179.475,4519.752,2027.201,2273.328
560,3757.639,3359.344,1689.023,2529.138,2381.323,4349.203,1846.74,1958.721,4204.123,2822.409,1220.13,1344.515,7491.305,2322.256,4373.065,3155.487,4504.239,1981.957,2358.244
600,3896.911,3382.914,1702.169,2513.094,2277.729,4365.112,1816.987,1915.544,4033.175,2689.494,1167.039,1359.867,7224.607,2245.943,4278.059,3058.168,4412.839,1886.912,2283.295
640,3881.642,3364.99,1679.935,2577.893,2295.698,4329.128,1800.555,1862.854,4125.797,2673.987,1132.207,1280.59,7219.072,2184.791,4098.078,2959.875,4392.51,1825.986,2227.95
680,3858.077,3284.461,1696.141,2541.562,2346.797,4356.516,1782.982,1923.76,4080.593,2566.589,1172.73,1306.686,7429.143,2142.235,4048.824,2936.78,4361.629,1812.203,2219.023
720,3906.971,3321.982,1632.365,2514.987,2307.826,4221.578,1694.37,1785.057,4042.885,2677.517,1169.72,1243.863,7392.937,2205.413,4053.718,2885.402,4427.256,1824.785,2317.012
760,4046.865,3322.078,1681.406,2455.508,2262.604,4218.74,1755.714,1815.552,4133.888,2586.08,1141.539,1214.761,7276.603,2117.544,3935.965,2924.185,4290.4,1773.196,2269.801
800,4006.877,3357.914,1634.052,2411.245,2271.177,4063.646,1732.284,1814.701,4084.249,2667.452,1181.083,1243.276,7245.571,2146.675,3879.857,2960.036,4354.969,1768.503,2379.669
840,3921.61,3293.833,1633.565,2380.094,2229.099,4042.927,1727.112,1852.237,4014.45,2739.374,1191.05,1252.382,7105.836,2048.877,3952.973,2934.229,4255.775,1736.889,2363.196
880,3988.519,3285.893,1557.018,2409.365,2207.44,4103.141,1712.701,1829.654,4262.467,2683.913,1135.435,1247.768,7076.93,2023.753,3901.221,2929.104,4160.258,1724.137,2417.156
920,3863.04,3317.919,1515.297,2413.56,2263.026,4024.346,1686.102,1806.536,4060.066,2587.089,1133.209,1163.57,7071.718,1965.82,3823.832,2764.752,4133.953,1695.425,2358.276
960,3927.585,3298.474,1553.698,2456.839,2195.078,4086.927,1750.161,1855.466,4056.576,2586.456,1198.744,1213.167,7160.55,1989.591,3854.11,2935.388,4099.338,1685.499,2441.541
1000,3937.413,3320.279,1582.289,2311.93,2265.888,3994.742,1678.917,1887.562,4039.556,2534.68,1194.77,1219.498,7023.679,1957.2,3753.476,2931.849,4072.256,1679.256,2408.471
1040,3922.679,3332.068,1638.57,2289.307,2279.633,3963.43,1706.695,1943.992,3955.51,2593.139,1160.943,1241.239,7096.45,1938.994,3652.147,2830.834,4111.081,1669.437,2380.425
1080,3892.335,3308.646,1560.664,2358.13,2281.221,4010.888,1641.182,1888.083,3843.673,2495,1137.62,1184.669,7047.254,1916.01,3633.965,2855.645,4073.01,1698.385,2425.65
1120,3873.14,3305.891,1630.622,2337.68,2261.958,3955.237,1585.521,1885.844,3925.097,2462.385,1157.956,1151.686,6971.832,1869.28,3629.262,2877.451,4018.568,1613.664,2319.735
1160,3860.639,3284.753,1703.661,2407.737,2178.633,3897.844,1638.685,1922.372,3876.003,2484.913,1109.148,1128.997,7085.415,1896.859,3602.689,2885.343,3936.886,1616.333,2409.951
1200,3909.006,3285.099,1607.878,2405.565,2246.258,3916.776,1592,1948.302,3874.828,2540.017,1159.406,1139.857,7076.65,1832.552,3566.912,2909.244,4016.258,1614.823,2293.919
1240,3894.802,3336.146,1647.917,2359.359,2237.453,3888.961,1700.297,1890.917,3828.926,2522.08,1189.452,1089.392,7188.98,1881.945,3498.798,2868.192,3994.409,1659.48,2327.834
1280,3839.479,3296.612,1686.438,2310.938,2179.865,3909.339,1614.596,1889.643,3777.682,2541.369,1186.046,1063.464,7178.648,1881.072,3457.317,2820.504,3971.676,1662.988,2324.215
1320,3553.874,2981.404,1488.615,2113.453,2156.953,3571.63,1493.06,1793.026,3442.109,2538.174,1165.965,1144.433,7184.984,1844.049,3444.99,2807.601,3934.974,1625.773,2298.005
1360,3892.292,3294.659,1698.656,2401.094,2035.544,3912.352,1675.26,2054.487,3762.138,2591.483,1146.235,1162.031,7306.468,1848.329,3506.027,2882.971,4017.109,1716.276,2367.042
1400,3919.476,3212.987,1568.01,2263.047,2247.141,3807.669,1616.5,1967.148,3670.811,2574.096,1187.498,1146.676,7359.104,1864.229,3452.168,2891.099,4040.109,1671.144,2312.986
1440,3963.579,3174.961,1596.794,2281.609,2106.643,3679.544,1628.607,1989.292,3665.398,2630.511,1167.428,1150.867,7387.992,1897.986,3416.988,2838.648,3922.113,1628.816,2327.962
1480,3884.808,3221.344,1600.182,2215.258,2160.573,3630.57,1617.448,1910.128,3634.321,2556.344,1180.852,1119.297,7244.867,1906.067,3316.372,2783.764,3926.744,1658.464,2321.262
1520,3811.762,3207.552,1658.896,2115.25,2140.891,3706.177,1627.695,1884.523,3569.393,2567.959,1128.813,1098.58,6949.626,1796.067,3258.853,2818.738,3901.579,1579.265,2226.433
1560,3849.593,3195.201,1500.857,2158.924,2194.536,3633.898,1649.339,1981.971,3593.344,2583.848,1144.694,1058.71,7186.339,1751.427,3266.403,2783.983,4027.851,1625.666,2218.378
1600,3704.272,3077.622,1523.232,2033.883,2196.943,3516.479,1598.091,1932.794,3515.02,2563.711,1165.852,1150.478,7131.873,1762.906,3243.209,2848.399,4031.615,1583.185,2245.317
1640,3622.98,3016.164,1553.099,2147.984,2153.904,3448.219,1573.555,2036.13,3529.235,2651.676,1143.887,1168.56,7048.366,1752.575,3300.027,2822.607,4121.302,1602.679,2266.886
1680,3577.387,2984.339,1528.688,2181.089,2153.534,3490.807,1582.987,1965.562,3517.052,2605.37,1153.476,1140.655,7068.286,1752.613,3269.92,2827.005,4159.412,1575.938,2260.896
1720,3660.905,3018.086,1457.846,2156.456,2155.206,3411.128,1544.745,2040.68,3518.974,2614.017,1184.104,1125.433,6981.325,1781.851,3223.411,2841.496,4147.35,1619.818,2294.118
1760,3594.719,3015.057,1409.602,2086.279,2185.643,3375.464,1498.594,1930.677,3453.287,2563.919,1120.469,1091.232,6897.254,1774.198,3181.691,2767.887,4050.106,1485.718,2261.449
1800,3632.542,3055.391,1422.19,2131.776,2166.013,3445.68,1556.315,1926.427,3479.777,2548.796,1159.822,1184.915,7073.832,1790.736,3242.067,2808.953,4038.997,1544.255,2381.232
1840,3592.126,3081.104,1452.073,2204.724,2180.279,3401.341,1568.682,1971.836,3508.98,2594.044,1153.094,1173.949,7120.491,1772.274,3214.988,2773.08,4101.984,1499.958,2445.95
