time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10
0,3819.335,2428.803,1144.969,2803.053,3190.867,3811,4632.685,5186.753,2101.144,4159.055
40,3767.12,2509.182,1098.645,2844.255,3077.543,3808.729,4595.208,5213.122,2027.496,4140.782
80,3797.905,2469.628,1105.41,2906.606,3094.578,3724.432,4585.732,5233.055,2045.778,4144.386
120,3787.066,2563.781,1080.32,2936.327,3100.383,3786.961,4686.047,5231.138,2023.544,4127.027
160,3594.287,2524.336,1010.523,2762.346,2940.73,3568.117,4304.119,5052.432,1960.387,3912.147
200,3414.143,2469.569,864.688,2639.716,2920.684,3271.997,4278.352,4866.331,1957.426,3746.601
240,3348.576,2373.745,834.109,2566.308,2934.742,3184.294,4279.057,4717.698,1932.369,3639.891
280,3199.321,2286.956,854.895,2567.678,2891.113,3082.44,4172.667,4681.497,1993.048,3643.44
320,3127.622,2339.606,882.816,2557.183,2871.652,2861.422,4113.771,4666.195,1971.128,3685.433
360,3205.192,2419.124,879.617,2538.596,2860.68,2896.794,3993.265,4617.664,1908.889,3660.444
400,3141.496,2382.642,849.742,2483.207,2805.27,2788.875,3896.336,4598.339,1905.931,3679.836
440,3156.375,2292.708,855.539,2464.659,2841.77,2733.716,3867.755,4612.036,1890.415,3701.488
480,3173.034,2289.358,805.52,2406.702,2652.91,2671.878,3776.487,4418.888,1858.604,3672.747
520,3169.834,2454.416,809.469,2347.346,2723.91,2692.229,3710.172,4403.51,1850.504,3667.447
560,3179.668,2336.336,796.523,2324.832,2708.871,2720.578,3732.761,4365.935,1807.437,3585.014
600,3115.436,2361.526,863.434,2287.827,2677.848,2729.924,3732.326,4480.977,1871.193,3713.078
640,3240.885,2389.496,850.543,2246.413,2756.066,2609.185,3675.752,4383.477,1776.167,3599.287
680,3290.43,2466.62,828.492,2324.736,2669.559,2797.195,3663.667,4405.438,1839.469,3600.239
720,3281.564,2470.62,820.617,2315.755,2586.027,2892.661,3578.839,4428.086,1813.626,3599.556
760,3351.117,2488.854,872.746,2335.553,2594.602,2830.117,3555.844,4420.466,1844.137,3613.915
800,3319.974,2409.285,833.402,2287.466,2514.422,2775.81,3572.269,4372.956,1833.444,3628.904
840,3228.822,2350.19,861.809,2313.712,2599.91,2698.857,3543.308,4302.964,1858.776,3680.915
880,3324.218,2390.066,857.547,2320.087,2575.609,2755.602,3560.182,4349.586,1839.469,3595.881
920,3289.605,2331.007,864.703,2343.567,2690.059,2771.938,3508.602,4347.091,1838.557,3581.003
960,3220.1,2360.781,801.008,2339.361,2603.906,2725.542,3473.453,4260.792,1843.915,3582.389
1000,3366.032,2346.212,833.336,2299.75,2596.664,2780.74,3462.656,4359.055,1828.957,3646.201
1040,3357.542,2421,814.016,2373.274,2590.641,2714.612,3455.869,4263.234,1847.765,3516.805
1080,3312.619,2412.511,829.773,2272.962,2619.531,2697.568,3439.416,4296.487,1856.546,3478.614
1120,3338.903,2645.073,820.875,2217.101,2619.832,2668.078,3410.844,4305.375,1887.009,3517.577
1160,3265.009,2616.285,835.594,2116.635,2672.328,2711.664,3433.211,4398.083,1824.924,3536.048
1200,3344.53,2402.212,868.055,2307.154,2596.293,2787.812,3398.117,4351.305,1845.483,3407.256
1240,3263.014,2364.015,822.801,2350.385,2595.816,2800.31,3411.711,4416.466,1806.652,3439.345
1280,3211.295,2347.825,824.152,2391.413,2552.844,2769.781,3355.256,4309.891,1837.778,3434.85
1320,3245.593,2401.387,817.156,2318.764,2549.262,2842.526,3284.747,4234.578,1816.794,3383.812
1360,3324.765,2306.635,870.148,2420.976,2616.789,2878.992,3327.791,4286.659,1898.981,3493.662
1400,3256.014,2360.715,876.211,2251.231,2578.707,2706.758,3393.747,4275.383,1878.002,3511.27
1440,3196.063,2475.635,798.434,2219.332,2568.453,2817.151,3321.742,4378.068,1868,3536.997
1480,3200.911,2398.314,797.27,2291.452,2604.953,2770.24,3324.502,4311.352,1864.587,3517.119
1520,3206.917,2501.35,868.535,2309.327,2540.457,2762.247,3339.443,4455.734,1854.152,3797.553
1560,3173.521,2394.321,772.16,2232.673,2384.844,2781.414,3301.198,4384.76,1851.583,3666.867
1600,3189.264,2275.628,864.109,2201.952,2489.352,2788.849,3240.391,4434.13,1861.769,3671.713
1640,3278.722,2424.453,892.625,2236.048,2475.426,2818.716,3229.698,4400.865,1850.633,3555.526
1680,3341.172,2338.737,875.855,2234.486,2488.77,2893.716,3297.177,4546.117,1886.452,3689.038
1720,3203.14,2376.131,844.785,2244.803,2426.316,2854.052,3301.932,4408.651,1839.928,3573.976
1760,3241.857,2314.737,795.27,2295.587,2425.262,2844.75,3344.81,4418.984,1876.163,3602.608
1800,3172.716,2347.409,795.676,2259.75,2425.77,2739.591,3292.705,4247.37,1807.661,3521.788
1840,3362.115,2389.46,838.93,2282.014,2382.645,2750.638,3264.367,4281.091,1876.652,3511.174
1880,3238.413,2353.562,842.508,2303.971,2444.969,2768.13,3316.196,4359.867,1808.504,3480.358
1920,3189.1,2330.613,794.562,2269.111,2508.41,2717.328,3297.222,4311.055,1821.541,3463.908
1960,3242.751,2332.255,793.031,2164.611,2372.449,2688.523,3264.995,4382.495,1807.356,3421.41
2000,3198.266,2423.555,771.469,2209.12,2376.543,2741.221,3238.281,4358.461,1774.619,3471.761
2040,3023.728,2335.839,723.703,2137.072,2310.223,2655.279,3122.093,4082.474,1680.148,3362.348
2080,3081.189,2258.095,729.188,2149.99,2304.512,2623.583,3170.565,4337.419,1726.744,3450.362
2120,3013.112,2259.168,727.648,2187.231,2197.457,2592.091,3147.295,4361.104,1715.594,3351.546
