time,cell 1,cell 2,cell 3,cell 4,cell 5
0,5443.06,3851.997,4953.157,4333.321,2532.058
40,5472.813,3804.623,4918.265,4270.744,2472.726
80,5358.472,3857.989,4882.961,4271.151,2486.067
120,5140.475,3516.468,4621.995,3930.325,2247.611
160,5245.418,3370.706,4589.148,3933.948,2244.154
200,5232.851,3234.648,4580.437,3854.343,2254.029
240,5283.797,3123.917,4574.209,3861.143,2193.269
280,5299.981,3088.534,4508.349,3834.006,2171.827
320,5238.408,3013.713,4497.646,3783.771,2143.572
360,5199.041,3124.054,4491.047,3834.378,2192.072
400,5095.899,3118.102,4509.43,3742.544,2123.37
440,5049.411,3121.089,4419.779,3802.054,2154.476
480,5005.829,3112.513,4456.083,3846.515,2267.087
520,4873.81,3105.041,4400.817,3856.869,2202.755
560,4819.136,3105.714,4377.258,3823.615,2147.625
600,4823.475,3128.19,4382.028,3753.312,2123.769
640,4699.171,3189.084,4413.144,3784.174,2156.784
680,4687.386,3156.071,4316.696,3699.606,2196.976
720,4863.842,3216.43,4317.078,3715.516,2168.312
760,4753.051,3152.81,4209.414,3707.877,2082.567
800,4608.272,3210.58,4218.729,3724.167,2165.038
840,4648.377,3217.232,4318.026,3701.953,2228.149
880,4642.497,3194.57,4276.804,3727.192,2081.519
920,4571.62,3196.315,4231.69,3592.713,2167.197
960,4594.905,3260.62,4300.679,3648.836,2187.447
1000,4492.718,3237.984,4308.261,3645.766,2189.702
1040,4530.25,3173.055,4357.627,3652.239,2168.062
1080,4543.525,3148.391,4424.357,3719.623,2144.101
1120,4598.699,3187.131,4437.946,3751.753,2078.822
1160,4472.946,3181.916,4445.263,3779.299,2044.062
1200,4587.604,3223.419,4432.542,3866.102,2115.01
1240,4485.158,3199.131,4518.166,3861.479,2182.125
1280,4520.335,3178.799,4440.964,3999.466,2065.139
1320,4567.297,3208.006,4402.661,4208.734,2092.87
1360,4566.43,3251.795,4381.851,4167.813,2110.712
1400,4555.601,3192.586,4417.63,4190.646,2049.885
1440,4546.313,3212.375,4406.597,4229.633,2080.962
1480,4615.753,3205.705,4425.037,4159.815,2023.471
1520,4442.253,3121.963,4347.213,4189.557,2027.846
1560,4470.481,3240.93,4315.203,4165.578,2064.183
1600,4413.304,3170.097,4375.502,4078.3,2015.683
1640,4437.177,3435.471,4226.244,4004.854,2001.337
1680,4432.801,3445.981,4158.985,4000.381,1997.505
1720,4373.456,3486.015,4084.606,3945.068,2070.51
1760,4543.123,3455.609,4293.716,3936.893,2035.135
1800,4375.171,3437.287,4284.886,3910.706,2055.822
1840,4456.073,3361.799,4325,3923.141,2051.077
1880,4440.728,3346.242,4201.419,3836.459,1934.077
1920,4418.421,3356.394,4234.313,3808.847,1978.111
1960,4495.509,3284.614,4083.119,3870.769,2072.707
2000,4625.373,3398.631,4209.498,3852.175,2065.49
2040,4426.424,3312.11,4046.256,3704.25,1926.163
2080,4448.259,3401.482,4032.295,3781.166,1935.192
2120,4278.193,3248.411,3811.748,3678.174,1904.582
2160,4361.905,3309.643,4100.209,3854.172,1909.519
2200,4271.807,3209.49,3878.982,3648.385,1816.529
2240,4288.301,3199.375,4025.852,3771.57,1840.125
2280,4229.598,3111.852,3836.695,3573.792,1807.673
2320,4686.301,3384.323,4157.265,3980.878,1981.534
2360,4562.823,3373.63,4160.334,3919.274,1968.635
2400,4393.845,3393.865,4126.554,3906.593,2088.827
2440,4530.095,3427.635,4136.976,3905.656,2067.034
2480,4430.108,3341.357,4142.721,3953.365,2049.447
2520,4358.943,3354.646,4046.562,3888.601,1959.351
2560,4510.155,3373.091,4061.409,3859.226,2004.284
2600,4490.304,3348.071,4045.049,3848.615,1987.779
2640,4520.617,3376.619,4032.992,3864.591,2025.014
2680,4485.712,3342.308,3996.709,3898.545,2021.596
2720,4491.94,3381.3,4030.651,3906.414,1959.769
2760,4431.494,3393.148,4128.414,3906.151,1918.904
2800,4473.187,3345.774,4034.107,3872.614,1950.577
2840,4459.509,3327.727,4017.584,3911.83,1917.659
2880,4510.114,3331.852,4049.481,3913.146,1892.745
2920,4448.449,3291.683,4024.584,3963.273,1864.851
2960,4318.772,3238.276,3946.381,3847.188,1873.269
3000,4369.772,3365.872,4039.058,3903.487,1888.635
3040,4574.294,3297.609,4035.312,3829.93,1925.183
3080,4370.035,3334.271,4076.549,3803.734,1894.053
3120,4450.829,3345.172,4042.683,3841.13,1895.24
3160,4378.418,3234.526,3987.438,3749.373,1884.889
3200,4366.073,3194.667,3966.537,3781.318,1930.197
3240,4311.858,3194.878,3945.692,3759.328,1846.01
3280,4287.506,3237.187,4018.899,3731.183,1985.63
3320,4306.532,3247.445,3973.578,3768.972,1976.149
3360,4416.111,3205.692,3931.494,3778.912,1925.76
3400,4429.804,3237.911,3919.662,3831.013,1935.678
3440,4452.864,3246.333,3994.218,3759.219,1883.019
3480,4480.506,3289.951,4002.628,3792.8,1907.663
3520,4416.196,3283.185,3939.666,3788.664,1880.654
3560,4429.573,3237.278,3983.291,3731.394,1851.163
3600,4379.918,3243.39,3996.659,3719.972,1814.337
3640,4442.044,3223.589,4025.08,3782.05,1797.481
3680,4469.598,3219.776,4058.555,3728.893,1844.981
