time,cell 1,cell 2,cell 3,cell 4,cell 5
0,119.881,84.521,179.688,171.322,114.335
30,118.661,86.511,175.582,169.601,113.228
60,112.877,79.045,181.479,148.845,98.543
90,105.619,88.174,179.454,156.256,105.814
120,112.916,89.524,178.12,154.315,111.477
150,112.74,86.271,166.092,155.089,113.244
180,110.869,90.114,165.833,151.999,139.248
210,109.552,94.141,163.873,150.406,90.666
240,108.623,93.584,159.446,148.565,93.314
270,107.141,92.235,161.132,146.483,96.558
300,109.927,92.519,158.208,141.967,96.12
330,109.774,93.661,157.035,140.306,100.985
360,107.925,92.782,151.754,138.569,100.924
390,107.422,89.677,150.411,138.822,102.704
420,107.093,88.966,149.166,135.503,102.473
450,103.308,87.523,149.027,134.805,99.925
480,99.674,85.391,146.959,133.534,97.425
510,97.667,88.222,147.004,133.312,97.377
540,96.07,81.584,143.298,130.466,94.21
570,92.448,81.195,138.204,130.415,93.1
600,92.602,79.922,136.507,128.199,90.334
630,89.857,77.539,134.646,126.537,89.566
660,86.427,75.187,132.41,121.048,89.089
690,83.323,74.255,131.992,119.055,86.611
720,82.364,73.956,130.786,121.194,84.611
750,80.732,71.825,127.555,117.893,83.283
780,78.25,70.14,125.903,114.71,80.178
810,76.648,69.768,124.214,111.908,79.24
840,71.731,66.093,124.283,111.446,76.441
870,69.839,64.623,123.417,111.682,73.427
900,70.097,64.013,124.494,107.794,72.429
930,68.362,64.378,119.401,106.395,71.138
960,68.742,61.742,120.482,105.82,68.422
990,65.886,60.552,118.442,105.957,68.566
1020,64.388,60.265,117.928,103.714,68.081
1050,61.959,58.148,115.495,99.25,66.713
1080,62.589,57.229,115.382,98.722,64.481
1110,58.917,56.261,113.764,100.419,62.802
1140,58.549,55.925,112.511,97.716,60.672
1170,56.794,54.946,109.503,94.279,59.04
1200,56.529,53.812,109.754,93.527,58.861
1230,55.873,51.558,108.016,90.355,57.065
1260,53.693,51.523,105.662,89.258,55.26
