time,cell 1,cell 2,cell 3,cell 4,cell 5
0,207.003,237.492,328.904,341.348,310.292
30,204.109,230.377,321.998,344.79,297.869
60,201.503,215.669,313.657,339.752,281.844
90,195.917,220.846,310.127,333.319,277.381
120,179.334,188.182,310.523,300.399,247.457
150,164.461,187.38,298.756,294.017,238.888
180,157.073,181.529,287.149,276.084,222.996
210,144.12,173.82,275.093,264.535,206.495
240,130.547,159.409,260.948,245.654,189.469
270,115.614,143.769,245.422,231.386,171.746
300,106.601,130.612,234.443,217.94,157.809
330,99.894,117.187,223.662,219.693,146.681
360,92.656,103.432,216.644,220.956,139.848
390,87.352,92.133,209.261,225.756,129.826
420,82.761,81.805,204.021,218.462,120.352
450,77.93,76.638,201.013,217.522,113.535
480,74.685,73.528,198.373,213.414,106.223
510,71.864,67.419,192.282,211.339,101.899
540,69.041,62.164,187.938,199.758,93.515
570,66.888,59.968,183.524,192.502,86.047
600,65.299,58.183,178.857,188.159,80.7
630,64.031,55.002,172.588,180.602,76.625
660,63.073,53.872,164.938,172.258,72.31
690,60.919,53.091,157.776,164.182,67.174
720,59.381,51.351,148.002,157.302,65.518
750,61.417,50.008,140.294,148.599,62.951
780,58.177,49.679,132.815,144.491,60.853
810,59.041,48.409,123.138,138.166,59.378
840,56.589,47.148,116.487,133.127,57.858
870,56.096,45.489,110.33,125.012,55.467
900,54.825,45.744,101.271,122.64,53.654
930,55.672,44.144,97,115.47,51.792
960,53.263,42.958,91.42,111.32,52.395
990,53.498,42.372,89.239,104.993,51.633
1020,52.495,42.028,84.375,102.681,49.637
1050,49.763,41.169,82.203,97.234,50
1080,51.675,40.43,77.756,93.033,47.857
1110,50.196,38.844,75.745,92.324,47.597
1140,50.528,39.427,74.42,90.199,45.231
1170,47.979,38.367,73.393,85.654,45.055
1200,48.325,38.685,71.089,84.385,44.183
1230,48.235,36.331,69.909,80.135,43.156
1260,47.156,37.338,68.63,81.069,44.095
