time,cell 1,cell 2,cell 3,cell 4,cell 5
0,147.768,138.33,160.899,135.536,136.162
30,146.506,136.985,161.07,133.922,139.376
60,137.071,123.877,162.663,129.578,136.935
90,129.282,132.11,173.189,135.355,126.364
120,124.049,121.969,160.661,130.293,108.746
150,122.209,120.571,162.634,130.877,108.205
180,118.63,118.756,163.444,129.038,109.75
210,115.123,119.961,166.141,132.492,109.362
240,112.939,120.753,161.598,131.894,110.43
270,111.883,118.761,165.24,135.162,109.786
300,111.328,119.684,163.397,132.235,112.632
330,110.515,121.102,159.527,131.57,110.916
360,108.285,120.69,160.052,129.609,112.678
390,109.93,122.063,159.77,131.485,113.77
420,108.12,122.675,157.994,130.777,111.426
450,108.193,123.388,158.936,130.95,110.63
480,109.001,123.641,158.446,130.816,110.795
510,104.38,122.666,155.307,130.232,109.959
540,104.744,119.777,154.084,128.017,110.179
570,107.416,117.732,152.784,127.999,106.117
600,107.863,117.996,151.277,126.309,107.171
630,108.001,116.918,150.13,124.939,104.636
660,107.44,114.649,145.983,122.135,102.308
690,105.839,113.342,144.524,121.311,102.627
720,107.253,114.507,143.433,117.728,101.585
750,104.8,114.598,139.589,118.587,99.438
780,103.039,110.767,136.697,117.767,99.49
810,101.818,111.855,136.933,115.292,99.994
840,102.05,108.56,133.585,116.12,97.311
870,101.782,108.18,132.222,113.613,98.674
900,101.158,105.397,130.691,111.39,96.484
930,100.355,105.627,127.777,113.788,94.917
960,101.901,107.059,128.679,112.112,95.164
990,99.489,103.75,124.156,110.475,96.702
1020,102.912,103.994,123.101,108.979,94.362
1050,101.331,102.863,122.473,108.673,94.747
1080,100.571,100.925,119.507,107.556,95.093
1110,100.235,99.795,118.385,104.919,91.522
1140,100.867,99.161,117.116,105.332,93.095
1170,100.464,96.873,117.647,106.131,92.361
1200,99.767,97.045,116.941,102.2,89.809
1230,102.13,96.33,115.155,103.355,90.953
1260,101.11,94.957,115.279,101.88,88.005
