time,cell 1,cell 2,cell 3,cell 4
0,186.898,205.8,130.366,134.198
30,185.585,191.933,136.77,126.029
60,176.999,195.724,141.461,123.486
90,167.992,170.958,118.164,104.293
120,166.536,168.483,118.003,109.155
150,164.318,155.977,116.031,112.44
180,165.161,156.743,115.025,113.999
210,161.044,156.674,115.607,114.173
240,160.073,154.018,117.886,115.353
270,157.291,156.894,112.308,113.589
300,149.133,157.641,114.468,115.084
330,154.011,156.338,116.06,114.944
360,154.236,154.646,116.777,112.105
390,153.559,156.644,117.866,107.155
420,146.904,155.372,115.515,103.905
450,150.894,154.581,119.197,103.763
480,141.293,150.468,118.768,104.162
510,144.841,147.62,115.854,104.307
540,142.449,146.989,115.364,103.527
570,138.761,147.237,113.869,102.712
600,138.177,145.578,114.393,100.807
630,133.158,143.512,112.09,100.971
660,132.531,142.853,112.963,93.982
690,131.858,141.202,112.49,95.922
720,130.567,139.899,109.818,92.603
750,125.709,139.04,112.505,90.985
780,123.592,139.195,112.024,89.404
810,121.958,138.861,111.153,86.279
840,121.475,138.021,108.856,83.758
870,116.605,138.339,110.088,83.173
900,113.767,134.38,107.701,79.617
930,114.704,134.502,106.72,76.142
960,112.502,133.655,106.637,74.337
990,109.644,132.207,104.007,76.419
1020,108.591,131.344,105.917,77.426
