time,cell 1,cell 2,cell 3,cell 4
0,276.798,375.891,281.192,153.309
30,274.174,368.715,286.842,152.007
60,269.511,315.081,240.189,145.973
90,255.255,296.694,239.25,138.603
120,235.399,284.387,231.896,130.902
150,211.14,280.217,219.047,126.303
180,195.614,278.431,189.704,117.511
210,165.153,277.172,173.617,102.278
240,144.078,263.917,158.42,94.465
270,136.854,257.488,147.437,91.066
300,125.563,255.137,134.401,85.331
330,113.775,258.951,123.35,82.297
360,102.367,250.058,113.813,78.205
390,91.489,240.696,107.431,76.439
420,89.783,245.407,101.653,75.531
450,83.622,242.538,98.943,75.162
480,79.514,231.695,93.571,73.715
510,76.651,217.615,88.792,72.2
540,74.077,212.476,88.471,71.032
570,71.408,202.268,84.997,70.2
600,68.553,199.377,84.655,69.511
630,66.322,206.963,83.847,68.859
660,65.08,199.906,82.99,67.219
690,65.428,185.325,82.387,68.461
720,63.872,177.88,80.119,66.046
750,62.593,173.963,78.609,65.978
780,62.851,162.312,77.029,65.8
810,63.159,151.109,77.143,64.5
840,61.307,149.175,75.911,65.635
870,62.044,139.743,74.065,63.922
900,61.013,126.923,73.94,63.979
930,60.246,130.149,73.923,64.219
960,60.743,129.148,70.414,64.042
990,60.489,124.846,70.791,63.106
1020,58.549,123.635,70.433,62.792
