time,cell 1,cell 2,cell 3,cell 4
0,134.917,219.054,93.08,81.956
30,117.294,214.484,82.436,74.992
60,109.347,199.887,84.813,67.931
90,96.872,196.134,68.481,68.278
120,88.589,191.019,70.245,64.187
150,81.039,184.923,69.883,61.35
180,76.135,182.507,70.318,61.312
210,73.012,175.798,69.927,61.523
240,69.112,175.337,68.851,60.725
270,68.722,179.423,69.229,61.661
300,67.415,178.316,68.864,54.841
330,66.389,177.21,64.973,51.911
360,64.94,176.399,64.669,52.63
390,62.516,174.59,63.266,53.247
420,63.921,173.216,62.579,52.411
450,63.331,172.55,61.542,52.33
480,61.958,169.845,62.139,53.562
510,62.852,163.426,60.343,52.913
540,62.795,164.08,60.027,54.774
570,63.41,164.138,60.427,56.267
600,63.802,161.919,60.938,56.224
630,62.681,161.711,60.332,57.492
660,61.138,164.907,61.598,58.927
690,63.107,160.805,59.596,58.821
720,62.452,160.178,58.634,58.065
750,63.521,158.504,59.527,57.106
780,61.948,154.556,59.752,58.949
810,63.004,152.891,58.89,58.181
840,63.54,153.592,59.193,59.375
870,63.683,152.101,60.364,60.783
900,64.33,147.675,59.007,56.837
930,63.772,143.141,58.501,54.325
960,63.582,139.882,59.614,53.461
990,63.891,141.17,59.209,51.386
1020,64.102,142.93,58.357,50.468
