time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18,cell 19,cell 20,cell 21
0,147.37,113.172,116.335,150.883,160.468,147.143,175.121,128.562,129.714,121.36,79.01,107.506,157.15,143.221,145.722,139.693,124.522,177.937,216.157,131.715,160.77
30,144.014,109.155,113.02,141.241,163.853,148.093,168.349,129.44,128.667,117.782,76.192,105.04,157.328,139.976,144.189,137.544,120.236,171.816,216.012,126.493,150.718
60,153.937,119.599,106.669,128.703,185.729,147.176,158.637,134.886,126.862,125.827,104.917,103.815,145.033,156.017,156.887,140.918,115.797,181.59,186.263,134.189,138.51
90,109.137,114.753,103.047,149.215,159.71,152.038,166.292,120.455,130.158,113.542,86.01,99.988,154.42,157.988,154.617,140.384,113.761,186.898,205.8,130.366,134.198
120,137.918,121.654,101.701,135.712,163.677,156.105,161.352,115.455,121.837,118.698,100.746,100.758,134.988,150.534,147.107,141.256,102.12,185.585,191.933,136.77,126.029
150,122.697,122.419,99.434,138.71,159.648,157.214,145.064,118.741,118.607,121.498,102.762,94.456,140.77,144.494,149.35,135.455,106.057,176.999,195.724,141.461,123.486
180,119.487,121.916,94.481,138.603,155.029,141.898,143.413,120.9,124.589,113.804,106.038,98.268,140.494,119.558,144.643,131.664,104.234,167.992,170.958,118.164,104.293
210,109.689,129.311,96.19,135.249,137.632,143.005,139.171,122.228,129.054,116.636,110.333,101.66,139.791,120.292,139.239,125.881,103.155,166.536,168.483,118.003,109.155
240,142.378,129.474,104.057,130.72,130.724,143.589,129.869,127.732,142.484,126.809,122.423,104.418,139.663,117.143,137.652,128.714,105.979,164.318,155.977,116.031,112.44
270,138.769,130.742,106.814,124.344,136.95,142.926,127.318,131.929,144.821,131.653,126.166,107.078,118.048,120.534,139.867,134.024,109.955,165.161,156.743,115.025,113.999
300,134.16,135.648,106.542,128.83,145.639,121.444,131.119,133.484,150.908,135.876,131.159,110.387,117.328,119.482,156.041,138.031,111.658,161.044,156.674,115.607,114.173
330,132.286,137.264,109.885,130.585,116.394,141.648,134.836,147.136,150.674,137.729,133.898,110.48,120.786,117.703,153.098,139.092,114.351,160.073,154.018,117.886,115.353
360,131.151,132.834,113.264,134.2,119.05,119.297,135.556,137.658,150.79,130.351,131.356,115.758,129.188,129.178,153.943,142.845,115.525,157.291,156.894,112.308,113.589
390,130.481,133.278,121.652,129.82,118.207,119.829,134.865,135.603,153.065,135.262,133.499,118.827,132.071,134.537,154.417,158.269,114.952,149.133,157.641,114.468,115.084
420,124.078,132.115,121.135,130.029,115.283,121.349,134.893,134.085,154.627,141.796,136.758,118.057,127.425,138.895,159.885,154.935,113.625,154.011,156.338,116.06,114.944
450,118.057,122.638,119.849,121.456,118.131,116.428,136.539,132.357,153.036,139.822,135.546,122.857,131.52,145.138,158.481,151.367,112.85,154.236,154.646,116.777,112.105
480,112.344,118.591,123.785,113.485,119.306,121.176,142.843,129.482,155.219,140.667,138.539,126.9,140.354,141.914,160.146,147.817,112.756,153.559,156.644,117.866,107.155
510,113.82,124.916,119.832,107.855,121.463,120.551,149.71,125.607,149.766,140.32,133.805,129.088,139.924,144.815,153.744,139.849,108.127,146.904,155.372,115.515,103.905
540,114.779,118.278,126.333,107.89,127.772,124.309,150.931,121.83,149.042,143.738,138.499,124.993,144.713,149.024,155.219,137.955,108.595,150.894,154.581,119.197,103.763
570,112.339,120.959,125.916,104.474,125.639,122.169,155.672,121.029,150.201,145.676,133.836,125.468,145.967,149.682,155.652,138.926,88.443,141.293,150.468,118.768,104.162
600,115.883,111.059,127.137,101.006,122.458,121.302,154.506,122.355,150.455,138.684,130.824,127.214,141.361,149.898,154.594,134.875,89.27,144.841,147.62,115.854,104.307
630,117.918,108.591,130.327,99.595,123.221,124.423,163.071,124.029,154.493,138.111,138.791,124.701,140.026,149.627,152.5,136.754,87.445,142.449,146.989,115.364,103.527
660,114.286,107.434,130.599,104.065,123.029,123.247,157.929,124.317,154.676,141.484,138.715,128.85,140.105,150.283,153.274,137.849,87.701,138.761,147.237,113.869,102.712
690,114.904,102.401,128.434,110.945,122.575,122.508,159.732,127.969,155.136,144.858,145.689,125.857,138.375,150.059,152.302,137.876,89.138,138.177,145.578,114.393,100.807
720,115.425,106.552,132.182,117.413,124.563,122.829,157.741,129.52,154.071,136.604,145.444,124.523,140.646,151.145,157.294,131.02,88.569,133.158,143.512,112.09,100.971
750,103.27,103.297,132.616,117.751,124.268,123.957,163.38,130.333,150.261,134.787,134.349,121.76,141.57,153.627,155.43,127.538,87.841,132.531,142.853,112.963,93.982
