time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18,cell 19,cell 20,cell 21
0,271.372,290.431,339.511,251.07,290.368,262.145,286.596,267.388,287.817,235.624,222.793,274.223,309.762,199.052,297.379,307.267,218.858,308.83,356.296,282.802,172.56
30,265.898,285.174,332.867,247.787,286.119,261.157,281.549,264.147,282.038,230.825,213.924,266.171,303.686,194.986,290.019,306.768,219.877,302.576,353.35,275.354,167.539
60,266.947,275.1,322.503,271.806,295.584,250.323,283.245,238.951,271.69,225.477,194.596,272.482,260.124,228.599,298.802,287.508,225.558,277.283,386.194,270.446,161.046
90,265.642,260.008,323.235,264.384,279.743,253.482,286.447,237.725,269.558,210.948,192.002,257.102,271.164,192.228,295.924,276.183,234.764,276.798,375.891,281.192,153.309
120,250.573,252.751,311.033,248.802,287.005,261.34,275.021,251.098,210.491,204.997,198.204,228.995,236.235,201.765,269.822,274.323,204.15,274.174,368.715,286.842,152.007
150,246.975,228.65,262.231,229.411,281.865,229.838,266.724,227.538,224.281,187.95,172.378,223.207,245.311,198.394,273.446,261.199,202.626,269.511,315.081,240.189,145.973
180,231.609,209.64,248.873,207.489,262.228,226.58,259.952,221.781,211.431,166.518,166.295,207.466,251.447,162.658,270.438,254.744,190.728,255.255,296.694,239.25,138.603
210,213.213,197.157,231.413,193.096,255.337,227.323,213.855,210.422,196.261,155.73,152.069,210.893,245.549,159.093,260.868,226.558,168.242,235.399,284.387,231.896,130.902
240,196.321,175.836,212.419,185.564,251.463,226.986,232.086,191.663,196.071,139.314,144.363,186.606,232.078,149.694,236.064,236.092,145.94,211.14,280.217,219.047,126.303
270,186.391,156.352,187.202,168.327,243.461,221.601,222.28,179.424,186.598,136.409,137.109,186.404,219.325,139.007,248.944,213.93,124.43,195.614,278.431,189.704,117.511
300,176.399,135.078,164.125,154.783,226.036,219.154,184.703,168.993,174.77,124.723,139.1,170.487,199.045,139.976,259.873,218.392,106.793,165.153,277.172,173.617,102.278
330,164.935,130.231,145.812,147.006,180.952,218.162,182.827,163.027,160.734,113.338,134.178,165.328,183.544,158.083,252.843,215.677,93.988,144.078,263.917,158.42,94.465
360,162.503,114.515,133.72,138.796,189.473,212.796,185.245,153.067,147.766,106.38,131.57,153.226,176.14,158.323,248.351,201.835,85.801,136.854,257.488,147.437,91.066
390,148.859,105.818,123.331,131.783,189.608,203.418,183.95,148.364,139.935,105.274,115.599,139.435,160.278,157.618,239.701,195.349,82.16,125.563,255.137,134.401,85.331
420,145.64,102.963,114.691,126.8,185.679,175.879,175.696,141.6,132.431,101.87,113.561,131.425,143.834,125.513,229.337,187.94,77.68,113.775,258.951,123.35,82.297
