type,channel,time,distance,intensity
apical,ZtSH2,-1,0,5.325
apical,ZtSH2,-1,0.1154,2.296
apical,ZtSH2,-1,0.2308,2.59
apical,ZtSH2,-1,0.3462,3.141
apical,ZtSH2,-1,0.4617,3.987
apical,ZtSH2,-1,0.5771,3.287
apical,ZtSH2,-1,0.6925,2.44
apical,ZtSH2,-1,0.8079,1.752
apical,ZtSH2,-1,0.9233,4.351
apical,ZtSH2,-1,1.0387,4.075
apical,ZtSH2,-1,1.1542,3.67
apical,ZtSH2,-1,1.2696,6.095
apical,ZtSH2,-1,1.385,7.044
apical,ZtSH2,-1,1.5004,4.251
apical,ZtSH2,-1,1.6158,3.548
apical,ZtSH2,-1,1.7312,3.377
apical,ZtSH2,-1,1.8466,6.23
apical,ZtSH2,-1,1.9621,6.215
apical,ZtSH2,-1,2.0775,5.076
apical,ZtSH2,-1,2.1929,4.852
apical,ZtSH2,-1,2.3083,5.045
apical,ZtSH2,-1,2.4237,3.163
apical,ZtSH2,-1,2.5391,5.423
apical,ZtSH2,-1,2.6545,5.048
apical,ZtSH2,-1,2.77,4.683
apical,ZtSH2,-1,2.8854,7.593
apical,ZtSH2,-1,3.0008,5.327
apical,ZtSH2,-1,3.1162,5.168
apical,ZtSH2,-1,3.2316,4.409
apical,ZtSH2,-1,3.347,7.439
apical,ZtSH2,-1,3.4625,5.574
apical,ZtSH2,-1,3.5779,7.342
apical,ZtSH2,-1,3.6933,5.565
apical,ZtSH2,-1,3.8087,7.56
apical,ZtSH2,-1,3.9241,7.556
apical,ZtSH2,-1,4.0395,9.243
apical,ZtSH2,-1,4.1549,7.893
apical,ZtSH2,-1,4.2704,10.359
apical,ZtSH2,-1,4.3858,11.197
apical,ZtSH2,-1,4.5012,11.784
apical,ZtSH2,-1,4.6166,10.712
apical,ZtSH2,-1,4.732,14.762
apical,ZtSH2,-1,4.8474,17.739
apical,ZtSH2,-1,4.9628,17.646
apical,ZtSH2,-1,5.0783,30.083
apical,ZtSH2,-1,5.1937,29.242
apical,ZtSH2,-1,5.3091,36.505
apical,ZtSH2,-1,5.4245,49.66
apical,ZtSH2,-1,5.5399,52.276
apical,ZtSH2,-1,5.6553,62.585
apical,ZtSH2,-1,5.7708,79.3
apical,ZtSH2,-1,5.8862,75.712
apical,ZtSH2,-1,6.0016,83.044
apical,ZtSH2,-1,6.117,88.329
apical,ZtSH2,-1,6.2324,85.634
apical,ZtSH2,-1,6.3478,90.263
apical,ZtSH2,-1,6.4632,97.935
apical,ZtSH2,-1,6.5787,98.683
apical,ZtSH2,-1,6.6941,105.557
apical,ZtSH2,-1,6.8095,106.628
apical,ZtSH2,-1,6.9249,99.852
apical,ZtSH2,-1,7.0403,98.857
apical,ZtSH2,-1,7.1557,103.678
apical,ZtSH2,-1,7.2711,98.247
apical,ZtSH2,-1,7.3866,102.034
apical,ZtSH2,-1,7.502,104.553
apical,ZtSH2,-1,7.6174,107.34
apical,ZtSH2,-1,7.7328,107.702
apical,ZtSH2,-1,7.8482,105.087
apical,ZtSH2,-1,7.9636,107.74
apical,ZtSH2,-1,8.0791,113.014
apical,ZtSH2,-1,8.1945,111.274
apical,ZtSH2,-1,8.3099,112.69
apical,ZtSH2,-1,8.4253,104.42
apical,ZtSH2,-1,8.5407,120.36
apical,ZtSH2,-1,8.6561,110.011
apical,ZtSH2,-1,8.7715,112.166
apical,ZtSH2,-1,8.887,112.359
apical,ZtSH2,-1,9.0024,119.086
apical,ZtSH2,-1,9.1178,128.379
apical,ZtSH2,-1,9.2332,128.02
