time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15
0,4638.078,4234.385,2411.37,2132.447,2784.101,3098.067,4006.333,3715.657,3735.39,2618.522,2658.406,5202.956,3967.816,4953.375,3521.629
2,4508.096,4038.058,2338.457,2047.308,2927.784,3103.693,4300.871,3713.292,3603.147,2556.29,2548.553,4998.195,3847.15,4769.625,3679.922
4,4407.164,3890.356,2196.471,1986.255,2712.688,2978.787,3912.378,3675.343,3611.277,2569.58,2494.273,4934.328,3777.809,4766.867,3369.918
6,4500.334,4094.168,2191.899,1986.736,2685.548,3071.498,3989.667,3803.701,3664.554,2637.29,2474.365,5016.215,3593.478,4785.645,3242.426
8,4417.263,4083.125,2180.433,1983.308,2572.889,3052.4,3899.822,3781.146,3551.853,2624.669,2431.778,4922.464,3791,4910.055,3277.035
10,4394.515,3876.966,2136.341,1926.308,2703.952,3089.844,3905.76,3736.307,3540.876,2571.922,2427.567,4863.491,3657.27,4804.844,3137.195
12,4254.717,3559.466,2116.942,1894.091,2676.457,3023.076,3915.204,3716.044,3554.864,2483.287,2445.133,4979.7,3729.918,4682.941,3180.172
14,4452.741,3619.822,2063.231,1978.236,2596.745,2934.662,3781.049,3628.781,3476.859,2522.686,2423.304,4922.949,3737.549,4628.629,3248.738
16,4463.164,3465.303,2065.538,1895.37,2697.072,3007.64,3660.742,3486.255,3509.582,2403.86,2543.836,4954.652,3725.99,4589.602,3146.625
18,4491.263,3286.745,2076.024,1841,2660.798,3074.733,3735.538,3457.066,3382.808,2459.488,2396.829,4813.693,3694.918,4743.027,3185.492
20,4296.126,3229.562,1980.548,1841.731,2654.981,2974.013,3587.329,3483.701,3403.04,2357.195,2280.666,4713.352,3788.751,4761.812,3121.246
22,4333.509,3394.082,2025.135,1873.548,2748.615,2975.382,3458.271,3436.299,3481.52,2356.474,2315.416,4592.812,3715.229,4829.094,3085.348
24,4371.038,3263.154,2115.216,1829.654,2529.072,2887.093,3348.582,3312.438,3420.78,2333.29,2399.601,4587.352,3784.352,4732.383,3166.594
26,4453.007,3233.894,2052.995,1855.389,2654.053,2927.636,3274.862,3454.292,3437.023,2445.273,2271.686,4573.543,3679.57,4852.465,3130.797
28,4288.775,3221.567,2191.572,1889.957,2629.389,2957.591,3305.542,3425.321,3440.04,2412.143,2342.28,4474.778,3873.092,4946.516,3265.078
30,4282.314,3267.438,2114.567,1839.808,2679.904,2915.111,3048.951,3374.949,3398.78,2363.887,2309.058,4715.406,3766.604,4945.645,3221.492
32,4454.416,3213.707,2071.183,1789.486,2764.495,2968.947,3163.662,3270.102,3441.096,2354.403,2238.874,4796.119,3681.543,4764.895,3171.68
34,4358.986,3250.01,2142.038,1850.115,2827.986,2912.782,3086.027,3281.796,3424.441,2331.669,2178.433,4763.174,3672.618,4789.848,3011.715
36,4414.863,3126.63,2263.663,1872.202,2769.466,2904.733,2947.102,3256.606,3342.87,2333.358,2263.126,4827.188,3651.27,4708.688,2932.812
38,4348.078,3058.832,2197.476,1904.601,2808.562,2971.556,2918.409,3305.182,3495.497,2348.689,2268.13,4948.939,3581.867,4536.582,2970.438
40,4279.348,3130.067,2213.562,1876.942,2827.688,2978.182,3026.507,3227.255,3570.418,2379.505,2198.768,4915.956,3549.177,4484.816,2855.211
42,4447.246,3182.553,2197.644,1796.606,2865.091,2980.876,3074.289,3273.876,3624.096,2291.099,2187.727,4925.068,3451.273,4566.867,2864.598
44,4389.997,3091.481,2126.385,1815.774,2897.216,2974.467,2988.093,3279.818,3577.96,2347.911,2177.799,5011.717,3618.747,4418.734,2967.441
46,4327.061,3218.159,2191.303,1844.644,2805.24,2899.578,2990.053,3274.292,3572.621,2241.812,2175.099,5020.16,3586.911,4454.008,2915.969
48,4411.522,3175.058,2102.524,1815.284,2762.212,2843.973,3030.613,3387.591,3545.808,2248.44,2195.863,4982.447,3577.734,4276.32,3001.133
50,4401.645,3147.476,2106.279,1823.471,2744.221,2897.284,3048.778,3430.978,3480.226,2235.788,2141.229,4864.273,3517.969,4319.234,2942.215
52,4345.795,3058.197,2224.962,1851.644,2734.567,2935.836,3151.018,3191.949,3492.559,2209.396,2118.464,4818.341,3527.498,4355.062,2982.73
54,4283.096,3154.75,2268.635,1843.423,2869.409,2843.92,3008.369,2977.365,3504.153,2190.191,2180.102,5026.812,3591.215,4406.027,3008.344
