time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11
0,2994.255,6114.74,2773.06,2377.641,1859.468,4036.232,1999.716,3399.991,2816.65,2151.71,2203.774
2,2768.401,5894.394,2742.301,2158.59,1766.391,4027.837,2008.96,3352.751,2769.486,2304.375,2150.938
4,2782.46,5579.284,2718.877,2055.397,1636.058,3946.272,2006.449,3422.627,2777.493,2326.178,2104.668
6,2937.912,5622.942,2718.613,1961.91,1579.096,3927.427,1891.907,3240.28,2694.017,2475.575,2100.707
8,2893.854,5631.966,2777.298,2034.647,1565.865,3917.246,1815.373,3346.8,2819.337,2464.102,2112.601
10,2616.766,5586.688,2765.862,1852.955,1575.526,3719.963,1863.178,3179.947,2893.815,2445.342,2077.587
12,2552.745,5316.423,2689.226,2006.808,1580.096,3715.367,1771.071,2945.018,2744.371,2107.736,1998.976
14,2677.453,5603.173,2784.659,1996.712,1705.904,3832.682,1811.56,3249.48,2910.504,2327.938,2132.611
16,2626.307,5710.899,2738.175,1959.276,1653.122,3792.367,1771.076,3214.773,2897.442,2334.019,2141.942
18,2631.423,5915.471,2775.178,2205.609,1634.378,3779.914,1882.547,3249.093,2758.952,2393.401,2161.274
20,2697.971,5778.149,2780.418,2155.724,1712.833,3715.848,1874.293,3182.92,2815.029,2475.9,2203.529
22,2683.343,5663.135,2739.424,2193.16,1649.744,3796.564,1909.911,3234.271,2695.395,2418.197,2255.163
24,2784.314,5795.154,2679.842,2136.532,1705.442,3885.851,1949.2,3268.129,2806.033,2495.587,2261.337
26,2755.927,5708.13,2687.725,2143.051,1595.122,3792.029,1880.253,3296.129,2735.817,2531.739,2249.832
28,2679.219,5750.49,2774.37,2090.282,1628.353,3949.45,1847.04,3308.942,2773.023,2642.824,2218.822
30,2690.015,5911.933,2763.734,2101.692,1667.571,3968.006,1850.809,3242.307,2831.824,2551.789,2284.111
32,2682.533,6040.288,2690.587,2076.936,1677.558,3929.189,1890.911,3366.818,2747.6,2628.043,2272.404
34,2631.978,5859.952,2814.61,2123.962,1616.763,3989.779,1893.476,3373.369,2484.805,2635.53,2341.846
36,2556.058,6087.428,2729.519,2142.192,1578.635,3855.946,1872.924,3420.062,2746.018,2621.439,2281.308
38,2636.956,6273.053,2727.418,2114.814,1609.615,3914.499,1805.662,3238.778,2885.057,2619.817,2321.663
40,2689.088,6127.284,2733.109,2199.571,1656.782,3877.908,1791.284,3205.151,2890.929,2591.145,2226.837
42,2609.409,6344.115,2797.017,2130.891,1564.41,3823.447,1828.462,3193.316,2782.977,2546.439,2239.721
44,2696.62,6186.51,2722.576,2184.346,1561.968,3879.607,1796.831,3151.333,2785.203,2561.021,2182.409
46,2555.533,6242.351,2731.777,2099.051,1708.769,3877.848,1769.316,3158.653,2669.104,2667.378,2147.659
48,2506.073,5987.601,2756.034,2052.314,1725.231,3941.083,1773,3215.564,2639.059,2673.029,2087.394
50,2573.029,6174.413,2696.309,2129.917,1652.135,3897.739,1950.004,3163.253,2783.95,2784.551,2170.322
52,2549.007,5981.716,2701.756,2102.25,1647.462,3932.292,1922.2,3229.4,2775.944,2801.912,2144.5
54,2535.876,5971.51,2602.665,2056.019,1552.5,3958.458,1862.484,3180.271,2827.531,2734.988,2164.024
56,2583.606,6060.577,2648.123,2104.577,1626.25,3910.556,1774.058,3153.578,2842.296,2675.43,2135.413
58,2642.409,6014.822,2608.149,2172.91,1558.699,3950.069,1827.933,3151.351,2911.122,2751.689,2122.356
60,2694.394,5938.5,2556.762,2035.218,1525.077,3956.57,1751.596,3151.053,2911.442,2717.178,1981.639
62,2797.584,5787.019,2619.673,2107,1480.782,3966.573,1752.72,3268.947,2964.737,2651.116,2187.428
64,2868.285,5884.812,2582.281,2010.782,1460.833,4047.241,1810.427,3235.493,2871.838,2581.691,2197.159
66,2832.686,5847.135,2650.527,2103.872,1606.724,4049.166,1803.404,3337.978,2863.641,2648.819,2159.49
68,2770.219,5814.764,2598.739,2101.763,1483.321,4011.401,1687.289,3151.662,2883.592,2642.378,2150.567
70,2781.161,5881.25,2622.851,2047.051,1572.91,4004.974,1734.24,3247.022,2877.338,2666.352,2220.115
72,2754.219,5716.13,2544.954,2061.205,1464.853,3886.415,1822.782,3335.191,2988.6,2665.822,2249.529
74,2861.343,5810.784,2586.797,2137.724,1512.949,4177.246,1829.96,3361.987,2829.808,2694.91,2127.894
76,2696.956,5898.226,2676.857,2106.929,1517.75,4260.209,1816.347,3256.858,2802.638,2611.456,2091.534
78,2813.46,5939.192,2648.479,2121.083,1473.795,4279.441,1791.093,3237.098,2857.749,2642.713,2237.889
