time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7
0,1253.214,1704.979,2096.916,1482.825,3341.029,2775.699,3743.173
2,1220.951,1618.889,2078.26,1411.854,3185.066,2675.679,3614.943
4,1221.083,1595.244,2020.691,1397.177,3384.203,2684.275,3653.04
6,1244.445,1550.664,2133.073,1306.182,3242.619,2648.086,3538.817
8,1281.682,1520.354,2041.29,1281.774,3297.456,2657.799,3636.069
10,1234.237,1514.501,2065.605,1308.054,3273.175,2609.324,3531.435
12,1258.026,1505.256,1998.188,1338.019,3186.613,2554.645,3684.323
14,1236.219,1461.76,1979.942,1360.833,3187.304,2627.011,3668.96
16,1255.185,1539.566,2043.159,1380.44,3248.163,2750.309,3643.475
18,1202.859,1513.72,2010.038,1465.006,3228.894,2819.983,3654.19
20,1246.013,1613.646,2088.276,1485.92,3384.095,2812.195,3577.722
22,1286.547,1542.361,2037.588,1592.378,3410.822,2540.619,3536.717
24,1264.323,1570.726,2064.451,1621.188,3372.063,2421.765,3610.867
26,1167.266,1530.417,1925.511,1603.67,3280.693,2371.974,3571.812
28,1178.255,1532.375,1900.54,1561.653,3275.47,2475.235,3519.143
30,1191.909,1473.249,1844.235,1564.099,3214.281,2390.625,3579.8
32,1211.328,1479.346,1882.642,1533.977,3215.246,2421.321,3648.385
34,1212.302,1483.684,1952.725,1518.979,3224.344,2497.418,3569.779
36,1245.211,1483.956,2009.769,1553.162,3180.226,2511.295,3517.378
38,1226.38,1470.506,1987.816,1532.622,3294.547,2469.797,3582.969
40,1192.083,1458.639,1954.801,1487.974,3275.344,2512.172,3687.572
42,1262.823,1438.452,1976.153,1535.638,3258.33,2529.894,3653.088
44,1232.484,1472.789,1990.905,1510.287,3308.14,2677.43,3808.473
46,1214.443,1546.609,2009.038,1515.935,3310.688,2607.622,3849.686
48,1208.94,1486.268,2008.886,1523.523,3370.447,2624.192,3799.513
50,1154.745,1476.727,1980.163,1550.05,3373.65,2649.375,3758.506
52,1183.367,1487.92,1958.535,1526.258,3254.278,2696.272,3682.325
54,1109.367,1436.64,1910.072,1495.831,3189.404,2680.481,3640.705
56,1133.956,1470.679,1910.158,1463.398,3244.673,2704.848,3584.444
58,1148.701,1453.878,1854.813,1466.26,3336.828,2671.582,3556.572
60,1194.703,1472.341,1857.48,1474.284,3389.946,2659.917,3505.064
62,1183.505,1440.655,1920.675,1561.791,3322.553,2657.404,3600.857
64,1172.047,1477.129,1916.675,1509.468,3052.221,2577.774,3304.416
66,1174.115,1458.295,1910.887,1471.659,3312.1,2775.39,3604.717
68,1143.549,1452.22,1939.557,1493.435,3247.905,2754.96,3474.399
70,1248.255,1444.951,1903.366,1497.888,3300.616,2876.487,3577.131
72,1234.292,1411.259,1865.585,1451.081,3251.57,2781.519,3455.397
74,1231.034,1437.138,1922.188,1539.896,3213.705,2726.885,3472.39
76,1221.555,1466.948,1932.357,1538.339,3181.828,2804.16,3591.062
78,1210.604,1455.364,1853.181,1547.885,3261.132,2726.957,3517.304
80,1160.896,1410.182,1847.031,1578.739,3298.364,2862.41,3465.546
82,1237.771,1424.22,1900.8,1487.164,3201.874,2846.436,3580.713
84,1246.526,1427.369,1930.991,1559.416,3172.301,2758.883,3644.09
86,1225.164,1415.818,1935.635,1512.269,3152.095,2693.527,3650.171
88,1256.721,1428.612,1928.383,1546.906,3189.673,2705.35,3703.729
90,1247.221,1421.861,1932.821,1554.325,3092.175,2590.275,3676.38
92,1214.88,1414.336,1964.225,1527.557,2946.292,2593.444,3737.891
94,1265.943,1427.062,1965.976,1575.218,2958.41,2500.779,3605.126
96,1206.849,1377.312,1888.293,1564.511,2925.086,2560.493,3579.922
98,1302.875,1367.94,1849.678,1578.656,3027.272,2591.341,3551.299
