time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18,cell 19,cell 20,cell 21
0,2239.9,4435.712,3710.276,1232.96,1557.471,2970.481,2718.014,2581.168,3050.673,3775.817,1550.375,1981.947,3566.78,2875.492,1727.051,3384.977,3182.412,3164.77,2956.207,4173.782,2318.225
2,2191.975,4300.731,3522.526,1241.192,1494.245,2899.692,2812.904,2515.264,2919.394,3686.606,1628.961,1917.244,3295.136,2744.39,1555.757,3364.311,3070.723,3029.59,2899.289,4043.358,2213.614
4,1295.475,3165.058,1801.763,663.395,940.611,1766.872,1989.731,1469.928,2083.625,2954.173,828.648,1045.204,2752.237,1520.672,955.271,2440.475,1741.859,1416.496,1655.066,1825.734,1215.754
6,1675.55,3416.981,1889.115,713.576,1012.221,1786.865,1855.212,1472.995,2118.514,2917.976,908.715,1111.764,2774.893,1556.322,1102.311,2747.893,1562.531,1429.152,1790.988,1757.048,1364.116
8,1635.125,3352.66,1870.596,719.746,877.625,1724.827,1740.668,1512.062,2066.014,2998.928,836.914,1121.813,2567.175,1416.633,994.328,2666.017,1450.232,1433.582,1656.746,1553.724,1412.222
10,1745.237,3234.763,1794.853,665.006,900.25,1902.622,1731.514,1429.337,2077.486,2905.413,812.453,1018.809,2568.113,1364.09,858.859,2611.395,1260.458,1467.09,1754.121,1433.389,1405.471
12,1697.75,3379.622,1793.724,600.452,832.51,1899.904,1737.192,1524.264,2116.832,3015.154,842.699,1183.898,2598.695,1407.266,778.842,2708.91,1128.932,1424.883,1830.941,1412.799,1293.352
14,1593.175,3469.109,1746.949,688.158,834.75,1874.763,1694.111,1455.293,2137.702,3163.5,897.305,1271.471,2593.356,1527.045,793.13,2891.983,1062.367,1369.68,1853.145,1475.717,1376.038
16,1522.85,3398.128,1646.058,630.831,764.5,1685.782,1615.019,1446.106,2115.111,3120.779,829.816,1188.964,2519.751,1644.808,729.277,2989.345,968.062,1422.398,1735.617,1366.611,1443.686
18,1586.688,3496.712,1714.462,652.757,789.673,1650.827,1656.567,1527.87,2102.226,3422.514,896.66,1221.693,2580.13,1402.989,774.65,3100.492,966.435,1341.02,1853.586,1368.826,1313.471
20,1594.35,3519.737,1600.853,611.514,751.947,1795.705,1727.394,1489.808,2139.587,3421.716,862.789,1287.933,2612.181,1354.113,664.249,3285.441,879.192,1406.352,1805.094,1270.164,1338.089
22,1607.662,3499.679,1550.917,638.921,858.726,1602.808,1793.76,1378.26,2128.731,3428.308,772.754,1201.036,2659.169,1425.006,749.107,3160.113,882.678,1502.879,1862.609,1276.239,1293.164
24,1415.4,3562.058,1524.199,704.367,876.072,1551.071,1806.529,1400.038,2184.793,3328.005,852.672,1242.889,2697.927,1341.689,718.492,2988.441,898.192,1377.094,1847.387,1225.99,1256.778
