time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14
0,2481.208,2706.377,2815.706,2079.847,2256.487,2182.142,3257.915,2914.377,2919.553,1598.649,2215.869,2836.633,2114.444,2284.198
2,2455.604,2780.056,2694.252,2090.532,2171.411,2213.244,3246.778,2757.633,2784.502,1596.957,2208.402,2844.941,2000.098,2283.631
4,2030.466,2413.989,2139.341,1631.583,1665.469,1902.459,2779.453,2222.12,2441.449,811.88,1878.026,2353.191,1741.022,2026.378
6,1683.344,2213.564,1752.445,1464.164,1546.299,1852.073,2153.87,1883.218,2097.201,821.919,1606.31,2096.526,1554.319,1851.459
8,1640.589,2173.122,1716.919,1384.631,1541.308,1699.978,2016.75,1861.294,2074.711,822.654,1550.444,1992.204,1508.431,1740.32
10,1691.109,2108.86,1591.864,1313.945,1453.503,1687.899,2023.101,1795.171,2047.361,828.916,1608.926,1987.474,1497.463,1699.865
12,1757.508,2035.589,1501.188,1287.427,1372.818,1703.835,2085.538,1792.595,2080.839,796.551,1612.901,1934.333,1457.415,1716.687
14,1705.807,2037.374,1500.011,1270.992,1279.989,1716.123,2142.585,1749.81,1994.326,799.527,1568.98,1938.848,1441.367,1625.606
16,1866.299,1906.341,1455.253,1251.896,1300.506,1745.054,2169.864,1678.196,1990.911,782.016,1552.708,1988.969,1452.228,1632.22
18,1828.948,1985.271,1555.331,1281.705,1347.672,1734.184,2190.677,1640.949,2090.979,801.537,1601.007,2056.883,1496.267,1661.796
20,1988.232,1979.169,1576.653,1333.836,1331.646,1773.769,2275.763,1712.538,1934.288,842.614,1598.146,2107.517,1479.55,1666.554
22,1849.797,1997.49,1620.114,1323.128,1336.195,1762.177,2257.56,1624.152,2026.407,870.547,1657.686,2121.031,1551.165,1730.583
24,1917.078,1989.608,1721.498,1399.369,1378.052,1741.627,2326.728,1550.734,2018.806,805.976,1616.498,2094.798,1570.069,1746.431
26,1861.422,1986.214,1784.93,1335.073,1297.016,1795.089,2449.703,1581.285,2057.389,708.009,1686.297,2137.341,1538.604,1740.902
28,1801.315,1964.123,1692.917,1326.875,1338.917,1796.766,2445.94,1522.551,2032.591,690.181,1688.202,2151.556,1555.959,1621.748
30,1775.328,1975.726,1599.185,1472.849,1353.963,1701.332,2408.883,1537.665,2079.967,675.871,1696.483,2162.394,1586.904,1608.42
32,1760.302,1893.525,1613.175,1485.244,1328.141,1720.959,2420.329,1531.766,2101.715,660.872,1760.627,2293.991,1602.893,1702.148
34,1775.216,2013.895,1569.104,1490.119,1324.42,1719.649,2444.525,1564.297,2131.122,659.804,1784.093,2283.724,1597.35,1777.902
36,1710.122,1947.689,1619.414,1473.326,1324.995,1802.823,2355.775,1634.535,2090.741,623.79,1780.784,2339.554,1633.207,1827.856
38,1752.799,1949.693,1550.464,1443.513,1361.877,1792.905,2349.788,1636.674,2141.549,648.344,1819.76,2350.419,1657.104,1734.578
40,1809.648,1956.191,1453.584,1384.537,1308.75,1822.778,2292.158,1658.054,2132.987,602.111,1842.416,2365.05,1747.7,1740.426
42,1639.464,2010.872,1455.573,1444.136,1317.318,1830.101,2333.123,1643.595,2107.911,599.98,1856.627,2345.139,1807.144,1727.917
44,1408.471,2072.557,1477.167,1420.034,1243.526,1787.478,2354.715,1566.87,2141.964,600.372,1887.075,2309.063,1897.767,1787.306
46,1514.69,2084.123,1503.828,1443.143,1227.349,1765.93,2335.703,1559.104,2095.67,680.688,1846.882,2231.389,1911.687,1687.704
48,1554.219,2068.26,1585.826,1419.018,1270.67,1737.741,2373.56,1580.104,2141.056,666.273,1844.141,2260.363,1827.717,1679.537
50,1647.133,2046.278,1539.849,1489.081,1278.203,1762.453,2432.69,1661.921,2092.394,646.266,1894.102,2261.983,1822.587,1778.885
52,1639.742,2054.785,1606.951,1446.349,1260.739,1713.06,2384.231,1613.475,2096.677,658.332,1914.613,2256.013,1830.919,1827.431
54,1674.292,1980.983,1618.591,1409.125,1249.482,1723.041,2385.215,1552.975,2063.149,633.921,1917.377,2302.406,1905.565,1807.485
56,1520.32,1981.189,1596.128,1435.628,1266.937,1693.763,2426.813,1575.104,2092.806,667.007,1868.427,2202.443,1824.109,1737.357
58,1386.513,2011.654,1584.321,1502.935,1280.209,1743.573,2531.519,1504.288,2226.897,615.575,1934.857,2193.561,1900.611,1746.528
60,1532.477,2034.49,1648.765,1495.769,1243.657,1668.722,2489.57,1493.737,2287.325,595.776,1905.151,2234.098,1834.424,1773.478
62,1351.346,1912.17,1510.425,1375.942,1198.14,1649.759,2406.247,1437.149,2304.648,567.2,1875.962,2257.004,1850.041,1800.783
64,1517.138,2048.916,1561.323,1473.31,1297.325,1735.769,2520.794,1416.339,2182.856,588.128,1864.06,2370.644,1844.417,1771.969
66,1430.583,2038.317,1529.393,1500.604,1341.235,1659.313,2491.709,1409.237,2198.25,572.459,1876.475,2394.831,1907.204,1799.952
68,1529.529,2064.642,1453.289,1550.638,1380.664,1656.557,2635.38,1515.329,2209.203,581.287,1943.036,2453.574,2012.376,1843.915
70,1467.456,2126.747,1501.654,1546.284,1342.529,1688.434,2503.054,1527.972,2202.963,513.351,1919.747,2359.53,2062.756,1647.474
72,1527.438,2100.226,1491.336,1616.766,1310.567,1739.082,2477.797,1529.652,2236.923,608.909,1921.611,2462.278,2007.393,1793.046
74,1523.883,2074.668,1493.164,1595.752,1340.375,1735.345,2476.18,1623.212,2275.992,610.77,1954.028,2447.463,2062.5,1774.461
76,1491.096,2120.246,1543.041,1539.675,1335.075,1672.544,2487.453,1556.415,2287.78,569.609,1903.099,2443.433,2022.237,1859.981
78,1583.13,2203.662,1548.688,1573.724,1301.966,1636.44,2502.877,1552.722,2274.063,561.028,1906.657,2301.398,2043.252,1913.141
80,1561.289,2176.592,1598.205,1636.088,1319.492,1644.241,2590.076,1560.468,2284.319,572.19,1938.451,2309.748,1980.126,1903.607
82,1504.385,2195.965,1608.63,1666.57,1388.156,1704.693,2591.861,1560.734,2338.178,564.446,1933.473,2246.063,2016.133,1873.241
84,1520.099,2199.965,1561.307,1687.622,1331.821,1738.674,2437.924,1581.117,2295.367,603.668,1950.156,2225.387,1987.633,1845.12
86,1489.195,2166.286,1576.768,1736.86,1320.352,1720.313,2353.693,1608.763,2428.627,551.782,1924.617,2146.678,1922.939,1836.933
88,1479.24,2202.025,1547.961,1719.11,1346.841,1704.234,2369.491,1552.418,2284.741,575.807,1915.281,2066.602,1883.554,1826.046
90,1517.823,2256.087,1558.82,1641.552,1356.112,1685.32,2460.411,1636.595,2276.516,609.727,1900.479,2173.448,1869.963,1785.446
92,1417.839,2281.878,1495.269,1696.724,1304.312,1683.468,2480.823,1728.259,2315.403,567.115,1935.484,2138.309,1787.009,1864.174
94,1527.07,2299.62,1500.282,1644.817,1309.208,1729.984,2506.12,1710.544,2341.47,584.556,1897.322,2074.972,1808.789,1937.707
96,1571.146,2285.585,1503.169,1670.075,1285.14,1698.37,2477.68,1702.003,2254.606,559.852,1866.549,2068.331,1803.433,1821.611
98,1483.695,2258.054,1477.443,1631.456,1303.083,1731.171,2450.677,1611.335,2277.571,546.137,1876.485,2116.672,1782.096,1833.533
100,1555.435,2215.44,1484.356,1740.271,1240.157,1749.905,2495.411,1716.968,2336.564,615.578,1948.014,2204.92,1780.996,1936.309
