time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12
0,3815.639,3136.696,2145.252,2174.982,3670.857,2368.918,2041.817,2397.768,1464.417,1581.107,2020.147,2316.65
2,3881.828,3080.034,2132.252,2197.47,3697.348,2285.121,2071.502,2240.19,1347.411,1592.562,2006.243,2219.873
4,3449.742,2467.006,1867.272,1798.372,2966.877,2079.949,1841.623,2240.766,1099.924,1213.535,1892.744,1844.109
6,3098.994,2008.01,1605.791,1525.759,2743.204,1805.978,1666.873,1933.866,864.53,938.029,1688.782,1707.594
8,2861.221,1651.33,1435.434,1442.121,2486.491,1676.292,1458.527,1670.862,791.288,764.445,1600.656,1605.98
10,2543.235,1529.997,1402.348,1333.54,2330.26,1595.311,1369.94,1706.844,761.78,774.816,1588.162,1657.679
12,2250.266,1421.209,1305.476,1288.276,2349.143,1605.26,1259.188,1553.453,746.53,688.788,1541.004,1576.594
14,2094.269,1328.314,1264.873,1205.147,2239.564,1552.585,1153.042,1456.25,740.896,731.963,1507.685,1590.754
16,2029.911,1373.193,1230.961,1216.438,2266.337,1569.548,1157.589,1492.152,772.421,703.869,1472.156,1580.42
18,1859.997,1341.236,1215.172,1188.554,2200.384,1611.076,1119.29,1467.728,750.478,643.119,1463.668,1535.616
20,1839.129,1434.087,1248.548,1181.789,2375.8,1537.014,1139.533,1497.185,798.401,657.076,1411.603,1583.011
22,1769.908,1391.728,1184.045,1165.427,2293.689,1625.699,1152.987,1516.266,827.983,669.853,1425.218,1498.328
24,1715.633,1348.469,1157.123,1175.309,2329.188,1559.847,1150.444,1565.708,804.833,658.737,1394.541,1566.529
26,1743.249,1390.723,1171.632,1212.489,2469.62,1540.967,1162.319,1522.585,755.809,682.709,1393.053,1521.826
28,1778.673,1381.472,1187.46,1174.401,2409.485,1512.309,1114.353,1522.132,757.007,633.784,1394.891,1477.348
30,1845.143,1323.623,1180.679,1192.043,2484.622,1547.117,1131.839,1520.699,786.027,693.824,1479.239,1521.712
32,1710.599,1275.3,1207.098,1135.91,2368.638,1587.587,1145.85,1504.417,752.94,733.578,1449.238,1551.888
34,1705.734,1288.737,1225.065,1154.843,2315.192,1599.812,1164.078,1572.522,774.876,704.668,1513.1,1558.951
36,1842.544,1229.52,1203.055,1156.634,2314.008,1608.638,1236.025,1554.078,788.27,746.179,1501.852,1580.154
38,1782.991,1170.613,1188.26,1129.262,2290.321,1619.376,1192.134,1528.998,758.147,737.547,1547.537,1485.96
40,1835.034,1183.309,1237.558,1096.315,2239.014,1533.869,1242.585,1597.835,710.884,735.961,1518.222,1451.205
42,1745.943,1141.091,1154.611,1075.031,2288.869,1600.988,1209.23,1596.438,704.764,734.712,1459.816,1492.266
44,1721.103,1097.228,1180.755,1053.789,2300.029,1538.937,1210.333,1590.527,683.583,727.833,1467.738,1437.049
46,1751.994,1051.454,1212.748,1146.184,2325.908,1530.546,1263.621,1583.609,683.674,700.915,1462.599,1389.382
48,1845.183,1044.011,1193.701,1099.096,2339.765,1531.806,1267.147,1642.489,677.977,692.666,1491.595,1480.451
50,1862.84,1124.686,1211.843,1099.065,2226.014,1508.192,1270.357,1581.743,655.284,712.948,1541.308,1381.875
52,1739.908,1099.036,1231.753,1095.018,2237.389,1526.272,1199.069,1638.279,638.772,657.248,1447.091,1416.132
54,1723.089,1316.768,1236.879,1131.526,2239.16,1581.258,1215.714,1595.045,699.49,714.921,1490.469,1463.779
56,1789.456,1487.19,1172.532,1140.106,2179.352,1600.448,1250.259,1639.612,707.263,701.726,1459.585,1448.359
58,1721.862,1579.566,1174.855,1255.427,2197.542,1609.082,1255.21,1656.52,751.983,676.039,1488.648,1489.219
60,1764.865,1619.06,1274.46,1213.716,2175.941,1670.879,1232.917,1708.089,711.302,703.24,1484.067,1445.42
62,1720.378,1486.39,1275.509,1210.691,2168.352,1603.524,1230.062,1699.967,727.992,700.988,1572.375,1411.734
64,1699.533,1392.408,1283.452,1226.581,2174.321,1683.27,1213.46,1754.339,693.533,710.378,1506.298,1351.016
66,1699.696,1388.412,1288.219,1252.301,2256.249,1657.888,1201.105,1747.576,689.505,672.286,1468.366,1366.406
68,1760.358,1325.049,1308.476,1290.703,2255.444,1760.509,1211.786,1798.46,714.363,694.207,1564.144,1506.145
70,1746.281,1249.742,1328.464,1244.421,2243.681,1749.904,1260.127,1761.422,758.832,717.116,1574.943,1384.652
72,1682.521,1248.726,1368.585,1378.292,2259.37,1687.19,1264.353,1740.163,781.654,743.993,1551.559,1389.913
74,1738.831,1321.043,1324.777,1311.953,2205.571,1682.928,1233.154,1754.337,742.274,757.774,1553.204,1398.308
76,1711.415,1368.677,1313.19,1305.305,2208.671,1741.076,1205.025,1726.748,748.33,704.12,1525.919,1326.725
78,1738.447,1503.331,1329.532,1291.483,2171.305,1700.276,1259.598,1731.496,733.493,684.016,1512.374,1340.703
80,1822.946,1523.791,1413.362,1425.174,2221.145,1723.18,1226.433,1775.074,750.868,763.47,1531.868,1329.125
82,1838.126,1450.001,1391.888,1359.421,2140.397,1719.254,1258.333,1841.951,705.814,763.519,1538.682,1394.444
84,1860.871,1405.728,1369.777,1457.425,2169.346,1795.229,1247.551,1846.949,735.055,740.334,1549.836,1401.013
86,1852.467,1357.448,1431.307,1465.511,2200.681,1745.961,1266.355,1830.489,772.458,832.27,1558.686,1444.263
88,1841.484,1349.112,1399.914,1427.661,2270.294,1676.194,1236.163,1800.263,741.59,775.84,1526.945,1412.708
90,1835.745,1327.177,1408.497,1425.149,2259.057,1656.726,1276.741,1807.496,736.672,801.502,1541.889,1407.344
92,1878.837,1400.649,1445.517,1473.264,2316.055,1732.992,1283.328,1883.219,782.135,876.694,1583.829,1439.033
94,1799.069,1436.482,1425.859,1460.656,2252.133,1719.871,1280.036,1882.978,800.561,919.82,1580.331,1406.446
96,1775.513,1399.353,1497.8,1584.444,2236.853,1708.479,1311.808,1895.766,834.437,892.21,1565.936,1450.391
98,1777.645,1354.567,1413.922,1504.393,2350.039,1672.767,1310.386,1927.835,838.382,852.278,1597.47,1467.806
100,1793.017,1349.18,1501.892,1553.992,2319.763,1697.695,1392.29,1889.458,863.107,898.445,1623.92,1484.257
