time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17
0,5498.962,2435.031,3863.498,2097.092,3061.826,3831.002,2086.128,2356.744,1422.166,3010.432,2333.966,2365.3,2005.005,1692.112,1983.022,3898.505,4070.225
2,5505.283,2405.509,3889.727,2177.416,3024.224,3855.157,2106.815,2314.39,1464.735,2969.435,2284.648,2313.619,1988.886,1755.804,2051.462,4034.122,4148.433
4,5379.614,2314.481,3635.406,1965.276,2909.185,3833.137,2131.913,2288.237,1476.323,2910.534,2292.309,2308.445,1982.943,1671.489,2023.464,3837.695,3790.201
6,5079.2,2258.338,3556.669,1834.836,2946.232,3696.019,2253.356,2200.698,1438.442,2884.79,2227.811,2254.157,1914.242,1645.653,1974.451,3596.523,3531.634
8,4893.495,2238.061,3637.672,1768.945,2871.953,3643.287,2256.617,2108.176,1376.591,2818.399,2269.705,2257.304,1853.914,1627.276,1924.353,3413.964,3298.239
10,4763.565,2125.543,3490.911,1666.693,2715.333,3571.461,2205.787,2174.601,1278.943,2825.329,2273.665,2248.644,1825.177,1580.903,1895.614,3205.339,3240.683
12,4759.168,2171.833,3526.102,1676.147,2761.201,3566.109,2205.394,2188.293,1303.182,2838.099,2275.324,2306.644,1801.956,1637.195,1850.321,3169.302,3100.127
14,4805.272,2112.123,3590.758,1792.713,2751.273,3572.67,2370.02,2136.18,1337.287,2901.295,2327.315,2315.995,1780.909,1641.234,1844.156,3080.326,2956.074
16,4663.65,2221.413,3607.017,1610.812,2662.786,3507.026,2252.657,2135.522,1339.377,2768.433,2197.438,2320.039,2008.469,1620.044,1826.705,2924.635,2935.154
18,4660.994,2149.413,3427.048,1624.768,2599.688,3422.02,2234.744,1907.063,1263.959,2596.867,2040.868,2077,1836.326,1492.625,1743.054,2874.794,2821.417
20,4576.77,2090.389,3424.672,1602.741,2610.286,3573.389,2177.496,1993.729,1380.294,2782.324,2101.501,2197.258,1969.174,1589.857,1772.549,2761.823,2712.612
22,4543.657,2006.024,3453.198,1556.949,2581.029,3519.893,2230.419,2007.545,1323.604,2650.256,2201.53,2167.636,1984.833,1533.826,1774.379,2727.63,2682.643
24,4445.756,2023.519,3470.863,1521.833,2529.38,3510.254,2222.415,1891.117,1320.631,2654.348,2043.84,2194.222,1962.367,1492.135,1747.585,2614.953,2583.746
26,4507.565,1879.457,3497.635,1501.894,2548.909,3457.437,2177.95,1909.454,1310.846,2638.473,2083.146,2148.187,1909.399,1523.398,1718.944,2683.591,2610.895
28,4388.947,1912.174,3337.724,1552.966,2427.245,3438.857,2158.45,1871.448,1312.265,2652.508,2027.086,2102.791,1980.664,1430.539,1743.21,2651.216,2538.346
30,4202.474,1913.659,3333.389,1617.891,2429.839,3413.759,2208.011,1841.158,1362.7,2653.96,2041.264,2071.739,2008.326,1495.836,1727.478,2531.784,2530.103
32,4051.268,1903.372,3297.304,1529.635,2357.568,3464.591,2221.648,1836.144,1382.271,2584.726,1969.805,2118.453,1980.221,1567.097,1744.143,2486.206,2517.259
34,3970.392,1852.986,3245.642,1579.686,2429.865,3465.763,2229.517,1790.374,1304.654,2538.78,1939.868,2098.404,1941.698,1540.985,1793.045,2545.57,2476.154
36,3823.764,1845.225,3264.512,1535.126,2355.724,3409.324,2247,1829.779,1285.904,2529.057,1995.874,2159.492,1873.711,1472.51,1812.866,2536.341,2392.616
38,3820.056,1711.785,3170.02,1476.215,2267.292,3260.011,2182.85,1820.021,1289.169,2502.243,2044.966,2076.617,1869.123,1403.091,1836.136,2373.081,2404.163
40,3883.892,1784.867,3144.553,1514.447,2234.19,3404.165,2204.876,1913.517,1269.016,2491.932,1989.762,2128.006,1910.456,1424.115,1772.062,2298.612,2435.875
42,3809.582,1773.809,3090.573,1495.771,2188.878,3330.407,2192.589,1897.17,1226.018,2466.939,1987.281,2068.953,1887.437,1393.187,1789.234,2221.031,2326.379
44,3776.17,1711.031,3108.57,1460.771,2222.667,3287.646,2122.583,1833.274,1213.586,2422.265,1878.295,2146.568,1874.292,1358.583,1752.069,2258.82,2271.062
46,3787.053,1775.29,3092.085,1401.007,2140.385,3288.248,2213.039,1834.471,1221.034,2506.917,1929.1,2077.719,1903.674,1403.981,1750.623,2312.482,2261.261
48,3787.403,1690.249,3112.956,1404.819,2170.307,3293.533,2115.381,1868.772,1196.55,2478.451,1956.616,2078.104,1852.414,1359.513,1775.783,2268.266,2247.471
50,3773.886,1706.157,3148.16,1473.853,2145.857,3321.128,2055.693,1875.694,1233.937,2446.369,1991.384,2054.495,1893.17,1336.343,1785.223,2303.135,2259.165
52,3759.379,1699.874,3093.928,1469.747,2203.102,3247.489,2179.202,1788.531,1184.122,2466.787,2079.367,2064.854,1923.159,1400.482,1704.647,2291.211,2270.473
54,3697.687,1718.925,3069.382,1342.631,2214.896,3214.93,2110.146,1804.432,1175.744,2425.463,2078.851,2115.047,1939.864,1451.536,1756.21,2319.742,2225.592
56,3665.102,1696.744,3191.7,1399.788,2180.378,3244.856,2136.406,1826.859,1118.023,2338.418,2080.63,2079.412,1936.87,1367.107,1730.199,2273.62,2202.23
58,3619.552,1648.945,3124.922,1365.263,2111.068,3285.572,2101.469,1800.715,1147.711,2365.312,2036.152,2072.515,1945.403,1360.875,1712.435,2257.628,2178.77
60,3703.516,1719.703,3202.423,1404.747,2106.339,3347.004,2045.187,1842.582,1206.409,2460.189,2034.883,2026.206,1997.006,1390.821,1682.879,2300.094,2170.703
62,3720.2,1736.167,3172.952,1427.666,2097.057,3278.906,1983.722,1793.793,1169.612,2383.014,1970.536,2088.213,2005.83,1353.362,1694.685,2215.159,2153.062
64,3677.833,1772.997,3160.573,1418.737,2073.281,3312.272,1946.278,1846.348,1196.571,2366.059,2031.719,2051.92,2052.399,1338.544,1618.103,2236.029,2067.4
66,3688.211,1746.191,3094.427,1380.235,2072.523,3267.794,1989.176,1866.304,1214.172,2452.049,1951.14,2035.958,2023.508,1364.018,1645.795,2263.586,2142.6
68,3687.562,1720.826,3046.72,1360.509,2010.151,3254.852,1975.939,1831.395,1167.144,2332.976,1967.149,2037.849,1996.123,1331.628,1592.752,2228.078,2144.482
70,3641.442,1706.645,3069.614,1332.314,1994.26,3286.402,2004.62,1797.598,1180.961,2380.901,1994.585,2046.299,1980.13,1397.771,1613.471,2274.648,2100.422
72,3628.134,1726.563,3127.041,1325.007,1922.646,3322.491,2103.504,1632.807,1203.279,2389.556,2034.997,2003.609,1996.985,1362.06,1664.596,2248.635,2176.424
74,3632.735,1694.539,3089.717,1300.737,1935.469,3228.196,2116.057,1814.877,1228.308,2465.73,2026.1,2012.347,2023.942,1415.19,1583.214,2350.867,2104.132
76,3596.618,1709.396,3017.229,1278.44,2028.997,3245.033,2089.439,1794.303,1191.911,2411.718,1976.562,1951.435,2046.843,1428.471,1580.75,2329.755,2051.931
78,3592.275,1723.918,3008.328,1367.338,1945.422,3291.119,1990.743,1793.105,1150.862,2347.518,1980.043,2023.789,2066.101,1412.471,1577.58,2276.474,2089.558
80,3583.146,1713.638,2948.942,1344.792,1996.828,3216.991,2012.469,1825.588,1188.594,2381.069,2001.777,1980.31,2049.318,1422.222,1587.888,2308.099,2070.263
82,3578.417,1716.396,3039.461,1262.631,2033.539,3266.939,2070.27,1764.659,1146.297,2365.886,1926.983,1932.086,2071.799,1433.528,1593.047,2400.286,2065.342
84,3540.045,1789.625,2985.317,1228.14,2120.492,3282.572,2029.461,1792.552,1185.226,2390.837,1895.865,2014.739,2086.06,1486.321,1593.944,2370.292,2085.453
86,3563.847,1742.553,2986.556,1245.935,2011.729,3279.619,2083.402,1784.88,1149.521,2377.095,1940.877,2002.179,2021.883,1374.768,1606.1,2306.326,2142.092
88,3539.205,1607.666,3013.092,1218.659,1993.503,3231.431,2040.709,1759.765,1129.688,2374.986,1898,1979.205,1966.864,1394.412,1572.609,2306.711,2134.27
90,3596.459,1771.058,3027.239,1193.638,1997.307,3219.359,2104.074,1784.451,1136.377,2350.019,1860.799,1980.039,1898.916,1425.188,1581.388,2390.508,2112.482
92,3594.881,1788.491,2892.14,1318.034,1940.594,3214.552,2071.587,1809.394,1163.943,2418.239,1816.361,2052.802,1912.898,1417.13,1521.549,2397.276,2170.279
94,3613.408,1676.044,3016.71,1307.877,1947.07,3211.42,2116.174,1783.774,1197.07,2396.541,1737.307,2005.541,1954.131,1438.958,1461.359,2506.253,2222.911
96,3533.015,1727.816,3010.949,1351.123,1923.443,3154.459,2097.194,1750.067,1130.179,2343.229,1701.02,1916.808,1894.946,1360.961,1385.516,2471.438,2130.319
98,3575.785,1724.13,3035.778,1326.061,1949.333,3184.93,2134.139,1771.013,1148.742,2360.953,1809.871,1980.966,1983.633,1412.416,1399.221,2536.352,2196.605
100,3605.065,1724.235,3032.652,1368.935,1912.617,3237.467,2061.569,1737.332,1162.979,2400.305,1751.851,2029.969,2023.958,1444.565,1395.306,2483.406,2201.301
,3572.023,1728.239,3131.249,1448.823,1983.148,3165.144,2098.27,,,,,,,,,,
,3641.389,1729.829,3066.41,1390.887,1951.602,3167.852,2054.313,,,,,,,,,,
,3701.011,1765.468,3050.567,1373.901,2017.453,3243.569,2003.089,,,,,,,,,,
,3759.571,1709.539,3267.696,1359.372,2012.784,3170.861,2027.33,,,,,,,,,,
,3749.205,1652.048,3020.01,1326.372,1963.568,3239.309,1906.163,,,,,,,,,,
,3713.651,1759.362,3128.307,1312.229,2012.831,3117.891,1982.526,,,,,,,,,,
,3693.068,1821.983,3215.212,1319.778,2036.497,3146.913,2017.761,,,,,,,,,,
