time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18,cell 19,cell 20,cell 21,cell 22,cell 23
0,2473.014,2634.147,3418.867,3123.622,2098.375,3676.713,4098.212,4503.089,4265.223,2555.098,3810.377,2349.258,1913.391,3491.347,2745.865,2756.62,1913.471,3244.472,3338.829,3246.456,2153.266,2304.326,2652.003
2,2570.777,2479.439,3263.691,3104.209,2032.785,3669.527,3886.117,4529.562,4273.509,2353.679,3745.029,2256.853,1878.88,3421.978,2768.365,2839.904,1799.659,3150.294,3290.56,3193.367,2115.737,2344.047,2472.877
4,2140.311,2111.976,2772.235,2827.529,1581.262,2822.55,3212.275,3966.951,3606.339,1948.518,3568.638,2085.578,1441.311,2548.996,2314.538,2365.524,1622.466,2803.032,2404.31,2091.165,1799.006,1948.829,1853.628
6,2028.703,2086.981,2772.86,2735.778,1479.77,2621.685,3119.994,3890.169,3402.661,1858.518,3766.42,1984.987,1417.471,2401.196,2196.668,2328.562,1589.904,2780.101,2346.617,1901.127,1765.247,1984.032,1757.304
8,2054.798,2139.99,2779.976,2725.013,1547.691,2560.034,3098.163,3833.759,3314.196,1846.857,3460.667,2058.28,1388.529,2499.64,2272.788,2482.923,1581.913,2557.089,2442.066,1933.37,1736.31,2001.146,1827.843
10,1953.922,2118.618,2864.052,2638.369,1621.785,2301.481,3077.799,3677.779,3174.911,1697.777,3591.174,2007.298,1284.964,2177.96,2264.673,2450.793,1530.255,2421.595,2163.006,1875.766,1662.544,2015.56,1690.986
12,1938.786,2073.879,2827.366,2617.467,1595.281,2284.169,2897.009,3641.347,3007.25,1610.509,3480.13,1880.178,1188.636,2223.871,2241.688,2276.788,1487.212,2290.741,2050.174,1698.655,1653.706,1927.326,1603.195
14,1971.677,1980.803,2731.423,2647.493,1442.293,2221.123,2910.991,3596.914,3138.92,1463.384,3302.638,1830.88,1201.551,2068.516,2205.351,2282.769,1453.841,2320.472,1974.949,1724.155,1657.889,1917.354,1579.942
16,1856.834,1982.715,2793.922,2627.311,1383.664,2087.991,2849.874,3478.479,3011.286,1449.143,3290.681,1778.271,1161.342,2017.867,2217.611,2245.072,1509.418,2216.342,1878.873,1666.31,1628.68,1866.978,1486.191
18,1822.857,1949.226,2851.957,2624.009,1287.066,2000.476,2701.206,3470.189,2959.107,1458.098,3230.957,1844.102,1157.782,1915.707,2072.851,2168.923,1426.755,2106.861,1764.804,1513.582,1627.93,1723.905,1412.519
