time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11
0,4506.369,3098.758,2761.062,2885.07,2343.249,2155.68,2318.405,2519.227,1507.456,2956.76,3350.138
2,4579.242,3102.365,2701.679,2823.301,2379.226,2115.973,2250.677,2524.547,1486.311,2872.437,3370.418
4,3443.652,2644.795,1366.696,2379.062,1761.406,1721.502,1639.861,1766.719,1234.466,2602.846,2849.04
6,2287.358,2465.215,1758.975,2177.93,1818.518,1624.676,1766.476,1806.234,1020.784,2596.102,2890.676
8,2542.683,2512.276,1677.754,2171.113,1930.385,1737.04,1861.988,1625.141,1079.347,2566.138,2892.36
10,2818.536,2424.198,1601.857,2065.395,1955.477,1759.516,1921.162,1656.059,1168.879,2605.278,2888.351
12,2937.171,2385.529,1595.254,2034.562,1860,1676.582,1886.773,1513.398,1197.945,2603.556,2824.773
14,2999.044,2405.683,1432.252,2050.992,1856.318,1656.996,1882.1,1495.07,1195.527,2636.568,2904.449
16,3171.427,2363.857,1412.817,2070.359,1939.302,1651.809,1917.816,1462.191,1184.283,2629.741,2861.72
18,3227.068,2378.239,1411.257,2004.031,1879.302,1716.062,1878.16,1477.047,1221.561,2674.672,2767.836
20,3249.198,2360.567,1345.116,2026.902,1815.705,1694.44,1863.401,1407.836,1242.715,2695.808,2786.796
22,3299.038,2382.27,1298.315,2078.414,1785.748,1733.813,1808.031,1360.266,1267.732,2720.356,2744.658
24,3276.328,2341.147,1308.132,2047.43,1864.24,1693.369,1817.237,1400.59,1329.862,2765.508,2791.236
26,3233.058,2389.993,1366.092,2096.172,1799.468,1655.476,1801.333,1458.953,1234.903,2788.952,2750.396
28,3300.666,2488.048,1394.915,1992.188,1776.599,1809.484,1840.867,1379.738,1192.848,2815.781,2796.849
30,3206.389,2416.601,1433.31,2121.902,1803.401,1730.48,1804.239,1379.43,1222.784,2838.61,2781.502
32,3195.628,2476.331,1422.109,2100.586,1864.496,1818.893,1819.975,1432.734,1225.276,2844.903,2760.996
34,3117.191,2558.973,1470.971,2161.637,1748.622,1809.747,1812.732,1378.48,1191.401,2730.221,2641.604
36,3106.406,2499.034,1379.388,2123.309,1821.724,1767.213,1745.378,1392.238,1204.147,2785.784,2685.782
38,3106.406,2499.034,1379.388,2222.336,1930.758,1752.409,1912.898,1582.938,1355.663,2848.247,2853.907
40,3151.096,2304.734,1423.051,2172.008,1897.599,1781.044,1855.268,1402.137,1270.428,2937.162,2808.498
42,3177.843,2209.007,1427.681,2140.441,1907.387,1727.573,1831.601,1469.742,1211.278,2913.489,2789.218
44,3211.659,2293.041,1428.402,2147.016,1799.857,1712.644,1796.8,1477.965,1241,2847.363,2701.427
46,3227.423,2157.474,1351.446,2114.816,1876.741,1709.88,1870.059,1628.324,1179.074,2829.784,2770.387
48,3249.184,2230.809,1398.67,2076.086,1774.076,1768.84,1862.286,1570.461,1199.397,2744.34,2818.693
50,3168.283,2317.468,1400.217,2133.492,1808.705,1663.987,1871.045,1686.582,1233.656,2773.268,2917.849
52,3179.198,2331.679,1357.344,2140.27,1817.173,1764.422,1994.282,1751.242,1212.325,2767.409,2904.053
54,3245.642,2419.993,1299.692,2121.289,1742.247,1714.987,1872.16,1641.312,1207.551,2797.401,2875.636
56,3339.28,2396.113,1214.413,2165.93,1822.981,1657.676,1939.495,1729.422,1231.209,2772.822,2927.444
58,3305.14,2356.334,1233.746,2165.031,1845.736,1840.151,1994.869,1745.754,1250.91,2751.416,2932.627
60,3446.328,2399.976,1264.783,2196.352,1877.648,1750.422,1969.004,1749.164,1271.152,2773.525,2904.596
