time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18,cell 19,cell 20,cell 21,cell 22,cell 23
0,1795.284,3310.529,3347.966,2009.39,3037.407,3277.605,3020.415,3145.217,3505.969,3565.215,2842.375,2658.768,1900.082,1978.653,2186.424,1807.628,1662.9,3478.45,3418.011,1973.41,2170.415,2678.759,3338.656
2,1748.865,3285.776,3321.567,1905.903,2919.573,3258.321,3024.656,3005.513,3452.875,3412.808,2899.24,2689.252,1889.789,1904.536,2274.957,1778.559,1690.066,3444.413,3415.712,1973.504,2175.616,2628.842,3315.244
4,1028.235,2082.107,2810.914,1491.527,2119.364,2682.332,1839.215,2372.344,2273.086,2398.748,1460.841,1653.607,1379.211,1280.456,1195.559,1302.536,1343.295,2706.8,2645.695,1317.441,1527.971,1950.579,2427.034
6,1074.421,2052.471,2697.341,1303.854,1774.1,2491.37,1705.158,2370.355,2121.753,2462.008,1646.125,1963.903,1304.699,1161.963,1226.567,1287.923,1327.364,2675.051,2318.237,1189.837,1561.221,1866.98,2355.152
8,1087.519,2117.396,2647.964,1307.86,1828.582,2456.851,1730.799,2422.054,2138.738,2464.466,1763.322,1962.221,1352.969,1174.659,1218.255,1373.284,1346.837,2842.168,2280.514,1325.212,1781.201,1853.613,2342.685
10,1126.725,2251.708,2621.752,1488.241,1820.381,2466.077,1851.02,2599.379,2189.325,2582.413,1828.87,1944.264,1357.422,1220.41,1278.183,1430.917,1386.407,2816.656,2391.079,1380.312,1856.785,1835.258,2475.562
12,1208.481,2260.729,2662.177,1490.226,1893.656,2463.33,1910.808,2648.897,2275.006,2674.8,1858.913,1986.352,1459.723,1264.991,1236.53,1521.782,1369.14,2790.311,2372.977,1375.106,1804.742,1898.023,2459.275
14,1124.576,2309.315,2711.279,1440.576,1973.639,2467.464,1999.246,2663.596,2222.998,2736.053,1796.25,1995.284,1439.668,1245.37,1239.968,1482.103,1372.702,2832.577,2475.017,1397.226,1868.138,1930.158,2496.871
16,1255.155,2377.141,2687.534,1541.51,2024.645,2502.931,2095.441,2680.996,2306.789,2751.182,1932.822,2152.484,1517,1244.138,1221.702,1536.774,1456.854,2933.485,2518.09,1535.499,1912.255,1893.88,2535.734
18,1384.774,2365.862,2712.123,1568.842,2111.665,2488.126,2123.653,2648.551,2341.908,2857.491,1828.01,2169.516,1538.039,1231.401,1232.14,1551.911,1520.341,2993.065,2542.107,1528.983,1971.361,1916.309,2536.782
20,1454.659,2489.789,2736.365,1560.739,2154.92,2578.344,2069.504,2802.866,2313.896,2824.133,1865.077,2156.109,1634.973,1205.524,1202.12,1554.536,1511.152,3039.464,2589.831,1581.458,1995.682,1967.281,2585.633
22,1225.851,2450.497,2631.977,1519.665,2171.67,2547.381,2058.877,2691.812,2410.824,2858.613,1917.505,2212.61,1662.488,1279.831,1260.034,1649.026,1527.605,3075.699,2571.621,1548.45,1970.218,2001.665,2682.883
24,1258.332,2453.565,2633.442,1595.074,2198.384,2559.946,2071.983,2726.319,2402.712,2831.125,1875.361,2249.648,1642.461,1344.447,1243.017,1581.782,1559.845,3112.096,2401.339,1505.559,1984.16,1985.241,2571.39
26,1320.997,2526.062,2530.644,1585.923,2209.252,2468.069,2096,2686.931,2487.217,2837.892,1815.303,2230.221,1691.195,1358.53,1231.59,1666.206,1507.67,3089.898,2315.186,1516.287,2020.338,1916.513,2564.192
28,1319.358,2452.628,2617.411,1642.814,2159.613,2514.559,2148.332,2728.507,2457.918,2857.151,1849.312,2235.281,1676.301,1369.123,1305.616,1665.685,1520.129,3102.264,2421.61,1469.665,2000.395,1981.797,2604.381
30,1405.986,2424.534,2602.279,1649.14,2149.857,2595.977,2121.59,2817.605,2490.464,2788.413,1901.928,2278.997,1723.793,1328.848,1296.562,1765.871,1591.447,3120.039,2434.48,1452.805,1953.335,1992.456,2582.45
32,1199.908,2399.669,2502.731,1597.344,2180.026,2552.519,2136.074,2945.243,2505.616,2824.613,1744.731,2271.946,1681.789,1326.837,1285.235,1681.407,1496.966,3113.127,2372.164,1477.507,2023.355,1938.774,2533.083
34,1220.367,2386.016,2518.026,1650.232,2160.67,2540.309,2104.754,2917.542,2482.491,2834.198,1800.74,2248.977,1631.562,1302.304,1273.261,1674.375,1476.567,3096.487,2279.458,1451.304,1912.384,2020.026,2510.805
36,1233.086,2278.685,2615.083,1618.527,2091.47,2474.914,2208.55,2904.511,2468.924,2847.108,1817.135,2244.736,1589.375,1338.192,1246.862,1597.633,1492.43,3071.64,2286.701,1386.126,1917.398,2006.189,2475.817
38,1257.756,2323.844,2563.274,1690.63,2169.562,2529.198,2161.332,2951.844,2537.117,2891.117,1756.462,2284.364,1630.789,1312.198,1298.645,1615.699,1429.269,3100.479,2343.684,1491.613,1992.547,2028.178,2485.777
40,1264.138,2337.357,2554.196,1676.077,2085.596,2483.556,2224.209,2873.391,2505.814,2901.732,1782.788,2287.748,1634.66,1322.699,1356.232,1677.67,1484.341,3089.448,2239.237,1525.51,1994.533,2073.132,2451.791
