time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9
0,3605.351,3897.199,1816.44,2820.923,2893.71,2929.893,3735.401,3158.862,3947.925
2,3563.044,4054.509,1741.649,2747.587,2959.012,2887.644,3756.754,3209.258,3950.778
4,3414.661,3506.601,1597.076,2761.673,2700.62,2725.28,3732.258,2820.55,3689.184
6,3288.987,3499.446,1617.035,2619.663,2817.817,2707.858,3707.782,2843.456,3710.28
8,3387.358,3551.323,1699.987,2555.125,3324.005,3019.564,3827.997,2943.132,3899.983
10,3443.079,3451.547,1624.475,2556.188,3267.684,2931.649,3909.954,3024.461,3726.283
12,3397.155,3509.253,1729.772,2771.894,3287.596,2946.587,3811.865,3076.507,3777.614
14,3572.718,3548.174,1672.063,2700.062,3193.033,2878.844,3744.897,3134.926,3949.761
16,3665.547,3521.513,1626.728,2730.062,3161.988,2950.52,3766.762,3148.246,3999.099
18,3518.81,3626.006,1550.633,2812.817,3072.304,2900,3773.487,3110.679,3805.038
20,3475.668,3747.481,1527.206,2746.534,3052.696,2915.658,3756.693,3118.633,3698.457
22,3563.56,3626.326,1599.449,2569.846,2950.843,3007.44,3677.819,3151.275,3662.792
24,3550.589,3445.861,1612.797,2680.639,2910.273,2963.742,3692.484,3089.06,3623.242
26,3504.272,3583.215,1647.899,2644.322,2967.292,2839.751,3706.633,3086.307,3630.962
28,3676.446,3606.978,1586.041,2663.519,2855.47,2870.876,3694.616,3065.679,3623.604
30,3519.899,3518.282,1596.554,2633.288,2833.936,2863.133,3722.828,3013.771,3627.57
32,3491.111,3484.848,1613.082,2764.591,2922.397,2866.058,3670.47,3010.808,3525.208
34,3569.991,3464.703,1537.326,2801.644,2864.846,2778.484,3790.493,3035.722,3529.328
36,3457.37,3516.592,1517.329,2718.947,2891.171,2932.68,3770.828,3082.003,3600.171
38,3551.418,3610.911,1559.487,2714.702,2987.827,2871.244,3739.335,3162.507,3644.918
40,3475.288,3632.826,1605.677,2739.26,2915.337,2917.618,3867.877,3186.722,3513.355
42,3400.842,3538.937,1529.741,2773.928,2863.895,2854.702,3944.923,3128.287,3545.413
44,3456.528,3656.203,1572.937,2836.466,2942.052,2869.276,3852.289,3145.106,3591.061
46,3491.589,3595.687,1616.418,2807.986,2948.732,2850.92,3941.891,3029.693,3577.031
48,3437.886,3596.373,1526.462,2766.01,2967.368,2843.711,3778.149,3100.693,3588.758
50,3500.259,3495.497,1553.028,2819.481,2865.081,2725.502,3876.135,3040.903,3642.191
52,3555.101,3621.525,1561.152,2975.389,2692.743,2709.893,3758.221,2992.905,3641.106
54,3615.108,3607.453,1575.623,2815.337,2749.933,2771.133,3829.092,3046.201,3599.297
56,3622.541,3695.424,1566.187,3003.375,2783.867,2728.822,3794.221,3136.206,3642.993
58,3582.399,3559.646,1528.646,2830.346,2881.829,2784.72,3715.745,3187.748,3670.891
60,3527.465,3592.775,1466.484,2733.034,2857.879,2772.013,3679.152,3169.355,3653.706
62,3444.37,3610.487,1469.032,3051.337,2863.447,2841.293,3847,3208.968,3735.399
64,3466.465,3652.035,1454.832,2950.043,2821.983,2716.436,3865.716,3205.47,3471.181
66,3560.462,3610,1506.943,3008,2896.71,2741.333,3747.977,3177.779,3428.631
68,3708.18,3654.133,1529.491,3230.058,2853.197,2838.324,3830.542,3082.372,3513.833
70,3574.028,3670.927,1500.801,3215.894,2816.779,2766.08,3673.957,3201.12,3545.98
72,3508.079,3669.858,1500.769,3272.346,2899.755,2731.156,3672.971,3171.742,3531.433
74,3525.402,3603.459,1515.009,3220.981,2886.067,2663.32,3746.811,3192.602,3605.911
76,3681.301,3685.671,1485.424,3134.913,2826.625,2733.129,3697.433,3324.768,3506.863
78,3572.709,3690.206,1451.709,2992.673,2704.914,2672.764,3605.688,3265.135,3477.123
80,3418.392,3629.082,1453.231,2890.798,2685.052,2543.569,3611.544,3308.069,3433.143
82,3393.484,3599.892,1479.696,2713.822,2653.017,2496.92,3493.519,3197.636,3695.184
84,3393.484,3599.892,1479.696,2713.822,3076.603,2902.364,3741.183,3447.226,3804.584
86,3592.873,3538.076,1472.222,2854.029,2816.356,2527.813,3403.88,3215.648,3755.109
88,3642.674,3568.585,1437.88,2993.26,2682.838,2506.413,3382.06,3110.487,3834.003
90,3607.047,3568.079,1452.222,2798.582,2515.774,2644.093,3388.183,3172.398,3808.802
92,3536.532,3619.674,1432.703,2713.37,2558.786,2562.938,3310.765,3258.917,3784.157
94,3700.044,3671.073,1377.063,2999.923,2581.779,2658.871,3311.129,3077.731,3516.304
96,3679.174,3661.528,1401.491,3078.457,2550.656,2673.467,3335.003,3020.401,3483.812
98,3624.734,3652,1371.892,3057.909,2650.002,2743.08,3198.344,2959.307,3626.754
