time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16
0,2613.529,3652.819,4094.154,2897.447,2055.195,3578.724,5693.939,4264.107,2933.345,1884.48,1629.227,1968.863,2098.965,2562.684,2905.51,4360.558
2,2557.119,3615.997,4122.987,2842.415,2013.519,3636.898,5638.248,4206.813,2866.405,1863.595,1609.201,1885.562,2162.914,2504.787,2866.649,4506.688
4,2415.328,3658.945,3797.686,2722.192,2037.272,3237.556,5486.485,4097.83,2649.377,1785.42,1624.474,2005.801,2052.824,2606.809,2749.885,4608.207
6,2390.666,3475.491,3734.41,2671.218,2068.719,3176.249,5390.317,3913.686,2543.772,1772.214,1514.812,1996.984,1971.633,2434.578,2591.596,4317.755
8,2424.474,3378.304,3939.577,2698.398,1990.645,3248.498,5430.993,4020.198,2540.272,1721.445,1540.719,1929.523,2014.656,2434.876,2728.212,4224.091
10,2489.826,3616.263,3927.083,2737.129,2022.123,3398.358,5487.179,4096.399,2541.196,1717.961,1533.067,2008.742,1932.84,2510.6,2587.587,4239.889
12,2390.198,3636.618,4000.282,2757.117,2106.814,3318.911,5536.029,3948.962,2517.734,1739.941,1588.727,1959.594,1989.355,2577.213,2575.928,4215.99
14,2370.167,3539.706,3804.173,2580.16,1970.146,3271.792,5450.877,3976.464,2517.674,1757.158,1625.422,1966.5,1990.027,2481.404,2631.01,4322.188
16,2507.324,3728.679,4106.41,2637.931,2002.908,3388.768,5610.248,4057.815,2625.845,1810.675,1610.76,2015.387,2124.227,2565.947,2620.423,4284.245
18,2527.683,3686.143,4269.923,2678.587,2006.865,3333.809,5517.945,4053.44,2597.149,1869.501,1619.67,1959.012,2139.781,2603.76,2585.058,4490.452
20,2406.853,3696.341,4243.083,2673.602,1943.352,3345.317,5506.123,3988.998,2516.747,1880.75,1581.849,1950.047,2177.68,2543.827,2563.702,4464.317
22,2481.58,3544.099,4023.776,2618.456,2004.398,3339.621,5533.83,3973.953,2516.168,1852.168,1594.789,1985.195,2139.195,2512.311,2585.298,4590.37
24,2463.536,3436.116,3979.647,2649.848,2011.163,3301.778,5316.584,4017.66,2531.241,1798.92,1641.844,1933.113,2070.484,2575.022,2594.904,4491.913
26,2485.884,3290.089,3868.59,2601.384,1895.152,3312.314,5366.083,3924.698,2585.123,1743.812,1628.351,1956.965,2038.516,2481.213,2603.452,4384.082
28,2443.935,3213.386,3842.327,2593.991,1903.943,3171.949,5427.121,3949.539,2514.703,1728.353,1629.255,1914.348,1990.398,2485.644,2562.938,4263.111
30,2444.846,3290.174,4396.564,2492.55,1980.375,3127.464,5456.958,3960.716,2500.532,1790.256,1642.92,1962.57,2015.957,2521.236,2560.264,4346.288
32,2413.526,3218.546,4238.731,2483.413,1968.785,3044.235,5364.215,3883.773,2484.753,1714.032,1552.948,1931.105,2053.102,2458.062,2706.284,4353.293
34,2431.819,3268.413,3794.16,2426.705,1867.874,3115.495,5443.52,3849.64,2495.076,1727.209,1573.17,1934.695,1935.492,2394.076,2575.803,4500.562
36,2448.809,3418.812,3612.128,2459.954,1812.771,3122.826,5333.464,3815.359,2500.12,1739.887,1558.891,1963.008,2004.715,2502.471,2566.058,4718.308
38,2422.686,3420.051,3670.885,2364.756,1864.65,3049.191,5434.482,3794.891,2594.022,1703.223,1552.19,1955.258,1941.742,2518.831,2625.226,4766.591
40,2484.092,3470.546,3617.545,2452.963,1879.238,3086.669,5395.719,3825.494,2598.93,1733.462,1530.427,1975.07,1909.086,2567.724,2663.438,4334.13
42,2390.078,3446.205,3511.782,2473.536,1857.857,3141.461,5367.953,3914.239,2596.449,1711.925,1579.357,1976.828,1936.184,2700.022,2621.125,4446.298
44,2418.505,3405.102,3669.026,2467.41,1787.315,3015.604,5351.423,3927.511,2618.892,1707.868,1554.253,1925.242,1926.973,2715.458,2636.692,4361.596
46,2302.167,3257.758,3603.346,2301.862,1775.037,2907.297,5332.579,3864.014,2429.658,1645.549,1488.817,1993.336,1784.137,2625.991,2537.62,4089.486
48,2286.188,3424.666,3414.359,2358.653,1824.596,2833.413,5338.409,3729.026,2455.813,1559.776,1418.807,1929.977,1777.188,2609.32,2513.928,4023.101
50,2244.038,3501.648,3507.962,2407.252,1790.991,2827.096,5296.014,3742.203,2387.278,1536.992,1377.698,1841.25,1789.586,2509.822,2716.861,4188.567
52,2367.481,3478.177,3352.756,2346.731,1694.212,2770.007,5299.969,3718.111,2367.041,1603.248,1374.036,1888.902,1839.703,2551.369,2634.913,4238.938
54,2364.423,3507.993,3498.808,2382.069,1793.335,2760.901,5429.835,3676.582,2289.547,1573.003,1378.766,1859.223,1861.969,2581.871,2640.577,4347.659
56,2283.195,3470.341,3462.436,2392.722,1717.441,2854.734,5496.56,3699.206,2274.506,1649.973,1296.817,1835.645,1851.645,2516.249,2618.317,4221.639
58,2333.85,3591.294,3378.891,2473.241,1787.324,2822.553,5585,3777.109,2449.57,1588.391,1344.708,1820.516,1856.035,2544.689,2618.644,4226.01
60,2223.123,3525.956,3461.115,2426.811,1693.338,2760.28,5612.508,3656.068,2407.117,1529.251,1360.894,1835.062,1809.691,2517.12,2690.173,4249.159
62,2257.44,3515.836,3524.692,2401.103,1752.117,2852.085,5684.393,3744.133,2498.392,1569.341,1460.292,1796.203,1857.012,2566.058,2832.49,4184.928
64,2256.706,3570.307,3546.538,2337.556,1813.676,2914.713,5594.156,3769.735,2511.218,1459.502,1436.555,1814.859,1819.094,2601.204,2812.923,4469.341
66,2177.283,3586.126,3609.609,2423.734,1769.848,2876.775,5587.499,3871.222,2486.807,1413.776,1466.554,1877.859,1869.594,2628.333,2821.899,4451.587
68,2217.877,3458.515,3428.212,2434.536,1745.748,2851.655,5706.593,3827.26,2495.699,1428.632,1460.432,1794.699,1869.77,2558.52,2809.337,4357.697
70,2146.611,3438.352,3241.904,2447.88,1673.493,2733.038,5790.007,3815.302,2501.269,1433.741,1416.455,1823.867,1893.922,2485.364,2727.764,4421.284
72,2188.474,3527.853,3389.59,2372.011,1648.275,2872.962,6044.652,3790.894,2387.351,1490.386,1433.696,1745.867,1809.07,2405.996,2698.087,4377.817
74,2276.683,3460.631,3587.449,2474.458,1613.625,2804.823,6075.121,3759.707,2473.873,1498.567,1481.528,1784.949,1835.449,2595.662,2655.582,4526.995
76,2213.771,3436.239,3376.404,2543.292,1731.745,2900.782,6033.107,3823.464,2452.199,1439.547,1450.412,1830.41,1884.48,2482.711,2647.25,4348.519
78,2207.863,3385.887,3356.147,2544.135,1666.702,2787.922,6080.185,3920.477,2331.095,1437.135,1463.438,1812.039,1869.582,2533.471,2632.476,4397.438
80,2149.143,3341.485,3378.462,2667.043,1663.656,2789.307,5781.905,3827.092,2377.725,1448.647,1464.396,1903.336,1794.953,2521.867,2711.019,4216.144
82,2235.321,3311.809,3280.346,2608.791,1639.828,2609.174,5862.709,3795.844,2343.573,1480.233,1422.299,1819.121,1831.699,2537.169,2653.808,4410.798
84,2280.809,3271.594,3345.917,2528.564,1630.095,2757.686,5814.244,3762.518,2237.275,1431.414,1411.396,1781.383,1823.199,2433.147,2624.029,4378.774
86,2242.41,3236.734,3421.372,2446.424,1680.092,2696.181,5896.153,3633.132,2303.424,1498.953,1390.047,1816.059,1910.27,2532.244,2616.543,3961.635
88,2185.43,3267.505,3375.519,2468.825,1645.693,2745.294,5756.818,3743.785,2261.867,1534.015,1410.346,1797.457,1849.207,2436.591,2699.913,3901.231
90,2231.297,3338.778,3377.667,2443.656,1605.218,2685.717,5613.282,3633.854,2189.538,1461,1396.097,1765.898,1948.414,2462.844,2663.769,3888.885
92,2296.666,3337.427,3372.269,2568.748,1746.106,2614.164,5647.614,3703.374,2216.927,1523.941,1374.656,1785.227,2002.078,2400.773,2807.159,4008.236
94,2182.734,3202.358,3325.038,2627.977,1770.731,2678.638,5509.336,3653.404,2304.108,1535.811,1409.321,1791.797,2010.297,2434.307,2776.332,3892.567
