time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10
0,3564.711,3867.905,2933.554,1983.212,2705.456,3346.87,1682.346,3441.542,3572.276,2740.956
2,3556.622,3868.92,2924.339,1940.264,2587.453,3360.269,1748.077,3431.823,3647.068,2728.583
4,3459.226,3865.628,2575.136,1887.132,2484.754,3415.392,1708.686,3314.549,3579.966,2656.174
6,3456.943,3896.235,2594.554,1794.198,2412.699,3429.655,1641.59,3081.167,3650.656,2508.036
8,3456.407,4003.991,2675.558,1707.479,2507.014,3409.563,1686.006,3089.94,3627.875,2478.227
10,3377.378,3926.788,2730.368,1722.344,2464.567,3435.69,1734.186,3227.987,3721.859,2432.656
12,3492,4009.037,2762.199,1713.375,2467.441,3444.044,1648.609,3113.737,3533.76,2360.362
14,3517.407,4048.083,2817.076,1730.026,2603.779,3419.006,1629.506,3075.305,3475.482,2356.031
16,3574.579,3912.819,2740.873,1789.315,2528.229,3472.453,1509.949,3107.023,3649.458,2406.719
18,3528.39,3954.957,2775.194,1801.433,2490.063,3480.459,1503.955,3095.133,3622.445,2450.758
20,3457.742,3969.158,2858.449,1780.367,2468.562,3532.237,1528.321,3098.362,3694.388,2436.185
22,3422.917,3952.08,2844.795,1790.378,2429.413,3456.696,1656.295,3067.01,3635.38,2420.51
24,3370.653,3924.748,2768.1,1799.049,2449.45,3495.203,1728.904,3124.583,3687.375,2611.268
26,3289,3844.066,2770.754,1846.401,2479,3438.335,1685.833,3093.875,3564.542,2667.88
28,3193.407,3982.387,2726.973,1902.791,2473.026,3323.345,1473.064,2941.51,3539.865,2421.297
30,3143.029,3908.785,2724.609,1837.688,2538.742,3328.405,1511.545,3014.536,3597.07,2545.008
32,3195.083,3839.364,2700.326,1975.808,2514.736,3463.345,1423.641,3006.956,3605.69,2513.612
34,3092.152,3800.983,2691.31,1886.891,2365.613,3300.668,1413.987,2979.43,3235.779,2411.32
36,3013.152,3846.218,2590.201,1898.745,2443.421,3319.032,1531.91,3285.409,3521.552,2674.167
38,2962.825,3833.175,2667.138,1903.244,2387.756,3247.259,1790.321,3217.742,3527.917,2690.544
40,3024.014,3739.493,2602.156,1998.728,2482.622,3357.896,1663.154,3203.984,3539.987,2775.206
42,3065.361,3708.341,2682.103,1979.163,2470.596,3355.57,1695.782,3104.013,3407.357,2722.135
44,3066.493,3457.223,2662.696,1955.519,2464.009,3267.655,1665.737,3129.112,3506.549,2758.836
46,3037.948,3635.613,2657.618,1895.954,2500.994,3249.747,1713.968,3146.664,3475.464,2758.771
48,3112.14,3665.501,2731.484,1994.335,2584.917,3212.535,1851.013,3123.776,3475.026,2789.732
50,3070.375,3605.014,2626.402,2000.014,2585.779,3210.665,1940.981,3190.932,3550.906,2857.562
52,3015.805,3666.246,2640.444,2097.074,2611,3178.427,1814.462,3209.451,3462.565,2792.294
54,2890.384,3506.026,2717.328,2117.178,2614.33,3085.108,1854.994,3199.24,3553.161,2917.745
56,2860.794,3464.009,2690.73,1983.08,2574.149,3116,1874.673,3174.013,3490.823,2888.839
58,2877.688,3473.424,2773.855,2061.84,2654.547,3151.06,1888.962,3225.404,3597.122,3016.065
60,2724.358,3605.989,2785.685,2093.542,2714.195,3327.402,1846.667,3334.159,3611.391,3004.328
62,2801.822,3590.777,2796.915,2125.006,2705.977,3386.677,1755.737,3312.711,3608.346,2879.023
64,2801.822,3590.777,2796.915,2125.006,2705.977,3386.677,1628.897,3211.435,3484.081,2767.581
66,2675.897,3466.765,2718.487,2091.344,2569.135,3248.297,1730.321,3271.607,3536.669,2884.177
68,2777.39,3336.453,2737.873,2092.023,2577.398,3182.377,1871.949,3361.698,3530.451,2759.523
70,2806.146,3364.585,2644.085,2086.215,2475.716,3121.212,1842.686,3194.208,3525.714,2838.339
72,2834.232,3237.235,2626.538,2066.238,2535.501,3155.699,1884.353,3259.078,3495.76,2708.591
74,2803.324,3482.132,2587.411,2116.14,2549.868,3222.025,1878.641,3282.044,3432,2817.411
76,2820.35,3615.628,2675.556,2088.304,2550.711,3245.652,1830.769,3251.062,3526.688,2691.901
78,2517.189,3487.55,2408.455,2012.559,2476.287,3063.734,1830.769,3251.062,3526.688,2691.901
80,2816.232,3641.169,2570.257,2160.255,2518.702,3356.013,1811.801,3326.221,3330.755,2665.943
82,2743.458,3563.252,2534.891,2067.367,2459.63,3159.408,1907.5,3340.393,3434.294,2780.643
84,2861.272,3698.822,2586.935,2078.358,2525.372,3360.108,1958.641,3279.539,3433.987,2666.138
86,2826.865,3638.668,2571.674,2084.464,2493.754,3219.44,1821.628,3269.068,3551.143,2669.766
88,2823.367,3631.39,2469.033,2036.777,2506.745,3250.332,1954.641,3234.122,3525.75,2612.635
90,2874.372,3644.951,2495.482,1991.135,2473.255,3252.117,1786.404,3216.398,3528.544,2694.529
92,2820.473,3643.244,2544.772,1949.57,2370.607,3316.133,1681.955,3230.146,3487.922,2683.482
94,2836.307,3640.722,2511.042,1986.054,2497.622,3290.541,1798.84,3262.992,3491.094,2671.432
96,2782.63,3561.12,2510.605,2031.725,2535.049,3358.712,1900,3274.117,3429.385,2654.698
98,2825.057,3532.716,2542.634,1960.289,2477.275,3292.332,1762.808,3268.378,3469.734,2560.76
