time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17
0,2076.394,2656.476,2768.569,2944.156,2369.777,2928.943,3271.785,1844.48,3909.12,2851.525,2047.527,2249.803,4578.472,2152.698,2179.227,5120.945,3134.971
2,2166.601,2592.389,2820.033,2995.467,2299.378,2795.581,3292.203,1778.91,3718.023,2824.439,2144.843,2238.211,4694.441,2163.313,2203.258,5227.589,3179.264
4,2216.01,2634.245,2745.056,3005.725,2372.853,2916.243,3433.831,1746.082,3668.616,2869.093,2057.114,2210.121,4607.27,2068.177,2268.471,5171.2,3258.128
6,2138.356,2648.197,2760.621,2939.993,2298.331,2912.493,3314.378,1766.457,3663.103,2813.33,1995.914,2260.755,4283.781,2016.925,2165.903,5068.419,3183.52
8,2090.067,2653.861,2781.252,3024.551,2290.558,2824.286,3374.235,1761.559,3615.84,2757.998,1968.824,2225.952,4263.589,2023.955,2129,5143.239,3146.309
10,2095.346,2696.332,2708.379,3019.042,2349.17,2756.867,3343.57,1714.23,3689.203,2799.114,2016.618,2206.297,4303.578,2074.24,2276.263,5256.331,3195.031
12,2131.168,2732.861,2732.924,3019.08,2240.769,2852.342,3337.089,1721.969,3682.35,2838.425,1949.119,2245.233,4327.757,2071.451,2216.036,5119.013,3160.565
14,2128.457,2660.625,2629.029,2905.029,2234.088,2907.135,3294.261,1665.637,3628.175,2780.159,1893.565,2184.575,4284.591,2032.159,2165.615,5151.252,3035.259
16,2142.712,2664.837,2723.799,3010.395,2342.714,2939.564,3302.814,1679.391,3647.817,2820.392,1938.686,2180.24,4343.315,2091.737,2244.369,5062.916,3103.817
18,2098.269,2698.38,2702.132,2943.52,2324.268,2891.497,3365.344,1743.312,3658.954,2807.941,1979.397,2200.093,4649.993,2114.631,2227.808,5151.958,3135.387
20,2041.255,2657.894,2640.033,2932.629,2137.196,2948.957,3262.146,1696.781,3610.017,2797.014,1949.162,2226.487,4603.543,2143.679,2266.255,5022.615,3213.568
22,2010.337,2679.298,2598.839,2892.328,2196.004,2901.986,3313.215,1715.473,3610.109,2773.214,2014.401,2211.61,4591.12,2240.317,2229.643,5086.39,3120.933
24,2116.163,2611.471,2630.232,2836.536,2231.395,2859.585,3425.501,1747.816,3521.324,2726.114,2068.226,2157.672,4597.159,2126.987,2173.528,5030.325,3090.784
26,2164.659,2636.111,2590.777,2876.179,2253.233,2842.677,3528.994,1617.289,3476.484,2690.361,2002.451,2164.572,4738.569,2213.003,2204.347,5064.305,3079.002
28,2142.995,2502.236,2554.301,2845.567,2150.346,2867.607,3460.811,1761.562,3496.461,2692.394,2108.855,2182.903,4683.661,2230.667,2210.75,4991.82,3185.622
30,2078.466,2630.231,2476.938,2752.549,2266.368,2814.64,3506.682,1755.855,3533.662,2655.461,2133.228,2258.886,4527.869,2164.26,2212.328,5019.182,3232.126
32,2104.971,2545.178,2502.734,2761.333,2151.552,2795.384,3443.458,1738.449,3485.321,2688.328,2033.138,2146.539,4519.059,2178.56,2192.094,4893.778,3202.677
34,2056.163,2458.779,2524.538,2730.725,2207.241,2735.511,3332.198,1718.645,3414.246,2664.926,2004.124,2162.732,4448.641,2105.104,2167.63,4935.484,3145.252
36,2003.072,2463.769,2484.85,2774.484,2197.2,2797.871,3309.693,1736.738,3473.241,2764.843,2107.19,2192.031,4472.452,2120.959,2220.138,4865.838,3168.803
38,2058.058,2583.433,2465.955,2738.346,2157.634,2739.751,3240.585,1690.816,3464.84,2816.857,2069.261,2177.164,4502.728,2120.859,2171.726,4892.58,3150.774
40,1999.784,2597.788,2544.107,2750.326,2118.485,2824.965,3264.011,1782.82,3517.874,2767.292,2140.276,2184.171,4489.898,2125.794,2198.878,4931.591,3182.938
42,2047.673,2525.409,2482.089,2667.763,2087.828,2773.838,3241.98,1857.734,3506.398,2709.824,2172.34,2204.394,4500.976,2032.817,2175.856,4879.019,3103.748
44,2049.082,2498.317,2523.098,2596.888,2082.595,2735.562,3179.607,1764.078,3541.691,2771.587,2081.534,2224.884,4402.337,2129.065,2145.127,4843.058,3078.15
46,1987.534,2385.12,2364.618,2449.357,2048.209,2645.613,3132.593,1797.551,3335.877,2656.796,1988.912,2196.154,4234.187,2050.495,2043.976,4696.433,3001.295
48,2044.226,2381.562,2392.259,2409.268,2067.634,2647.949,3035.066,1804.316,3497.848,2636.261,2059.325,2182.019,4210.919,2017.232,2089.133,4654.084,2974.487
50,1962.274,2358.962,2378.982,2306.375,2020.937,2640.738,3093.33,1740.02,3372.851,2615.382,2055.192,2203.333,4175.144,2012.799,2110.054,4751.727,2966.988
52,1917.183,2453.163,2429.056,2443.5,2107.785,2685.372,3061.951,1698.184,3414.891,2630.822,2162.998,2191.204,4318.389,2014.107,2116.563,4623.791,2920.532
54,1804.428,2409.779,2455.138,2368.297,2072.438,2637.708,2961.415,1735.523,3354.98,2644.58,2122.195,2166.727,4283.585,2028.104,2124.109,4657.685,3005.496
56,1841.346,2423.889,2468.571,2340.353,2002.46,2661.748,2969.877,1705.922,3337.232,2599.48,2127.081,2215.152,4320.035,2012.659,2127.805,4634.789,3105.888
58,1873.048,2361.567,2509.172,2362.08,2018.211,2632.211,3106.192,1739.082,3386.278,2665.981,2018.822,2201.551,4346.67,2055.084,2133.472,4616.44,3033.347
60,1924.779,2335.918,2402.375,2393.839,1942.041,2612.601,3169.891,1735.152,3292.553,2639.333,2080.781,2160.781,4345.765,2043.281,2097.175,4632.687,3059.905
62,2044.928,2395.514,2370.915,2348.348,1951.19,2648.851,3127.997,1779.113,3314.659,2699.58,2107.344,2188.527,4424.404,2048.377,2066.706,4626.541,3023.805
64,1977.562,2292.625,2361.219,2323.188,1946.714,2612.129,3094.814,1726.859,3260.083,2662.76,2049.328,2115.432,4447.056,2045.404,2052.576,4486.563,3087.449
66,1920.111,2307.062,2356.873,2312.953,1999.213,2559.325,3058.089,1702.082,3166.679,2606.211,2006.646,2086.727,4429.702,1970.802,2057.119,4523.411,2927.665
68,1977.029,2374.317,2434.1,2319.464,1972.137,2615.896,3031.834,1713.332,3013.009,2707.596,2150.342,2117.817,4539.593,2029.459,2064.018,4702.446,2946.477
70,1913.582,2348.736,2424.592,2245.94,1980.045,2578.609,2972.883,1723.762,3099.244,2689.005,2169.399,2143.059,4425.846,2019.291,2126.669,4603.843,2961.95
72,1870.048,2361.894,2403.98,2205.705,1996.139,2594.943,3082.86,1714.379,3250.791,2633.233,2204.487,2122.504,4495.852,1967.495,2130.578,4628.779,2890.214
74,1894.784,2262.976,2361.719,2241.029,1970.456,2577.031,3049.524,1693.363,3215.444,2600.385,2199.048,2064.862,4436.544,1960.063,2144.146,4584.69,2954.449
76,1904.543,2332.269,2385.799,2246.107,1992.763,2615.125,3097.324,1702.852,3135.891,2553.428,2089.746,2091.542,4267.739,2011.968,2147.294,4630.864,2859.076
78,1874.082,2202.327,2345.257,2192.143,1953.074,2601.894,3066.576,1728.285,3176.711,2679.273,2105.867,2025.715,4310.13,1930.125,2136.75,4576.607,2796.867
80,1808.12,2275.236,2325.393,2186.592,1945.119,2533.027,3096.415,1874.68,3110.854,2706.352,2112.508,2091.508,4222.959,1929.414,2134.747,4586.446,2818.817
82,1872.058,2224.091,2360.482,2191.871,1893.444,2505.998,3075.791,1815.758,3153.404,2661.52,2121.563,2066.102,4137.869,1974.692,2153.183,4444.786,2752.371
84,1763.062,2304.058,2295.732,2153.386,1848.436,2497.065,3071.109,1756.406,3144.739,2617.936,2128.449,2027.354,4113.93,1847.321,2115.516,4310.547,2673.85
86,1864.812,2243.894,2256.868,2053.643,1815.372,2440.64,3093.092,1676.547,3075.35,2573.656,2127.679,1996.862,4018.243,1844.75,2181.627,4401.231,2662.432
88,1792.188,2276.524,2328.52,2031.739,1802.916,2518.164,3033.616,1604.18,3132.352,2528.299,2129.164,2020.048,4132.194,1836.742,2174.036,4434.57,2755.33
90,1799.399,2194,2290.71,2027.757,1773.763,2474.908,3176.86,1765.332,3211.951,2583.993,2137.238,2033.266,4166.872,1870.584,2143.976,4496.206,2852.195
92,1747.351,2181.673,2330.893,2049.589,1867.483,2520.785,3194.553,1721.777,3249.086,2572.069,2138.872,1996.164,4194.474,1866.628,2134.317,4527.994,2829.439
94,1792.442,2165.077,2330.862,2042.165,1821.748,2521.274,3187.699,1755.285,3249.086,2642.026,2153.85,1981.076,4085.556,1894.26,2172.703,4655.953,2860.342
96,1793.327,2223.005,2319.663,1959.027,1855.978,2467.348,3159.691,1674.211,3312.699,2699.347,2098.164,1959.406,4072.433,1819.997,2208.924,4768.019,2778.784
98,1799.178,2206.913,2310.261,1941.641,1739.724,2474.877,3103.203,1797.258,3282.309,2632.437,2140.266,1883.589,4021.443,1769.524,2175.804,4694.932,2735.221
100,1726.183,2127.514,2285.33,1958.031,1745.708,2491.669,2959.951,1838.711,3266.438,2634.9,2053.546,1883.413,4091.65,1870.083,2212.24,4677.057,2865.603
