time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14
0,1541.403,2093.973,3760.522,2065.822,3066.218,1646.837,2528.433,2713.784,2478.01,2331.842,3063.673,3210.27,2745.092,2561.18
2,1500.133,2054.283,3827.686,2094.32,3051.498,1717.204,2438.56,2742.486,2471.588,2460.497,3043.387,3149.183,2772.203,2465.742
4,1327.679,1589.253,3473.403,1893.996,2738.631,1220.498,1705.229,2355.846,2075.66,1637.788,2815.628,2401.455,2236.908,2141.841
6,1276.341,1378.454,3200.457,1705.44,2631.427,1252.922,1701.058,2138.168,2105.876,1554.611,2546.344,2280.054,2201.327,2081.951
8,1404.502,1444.266,3232.85,1829.453,2770.649,1348.572,1940.614,2093.606,2207.68,1707.93,2561.911,2392.701,2391.099,2175.915
10,1366.14,1490.085,3329.218,1839.582,2753.04,1336.796,1965.372,1942.856,2158.392,1829.794,2613.011,2527.228,2592.848,2162.471
12,1361.311,1492.59,3299.775,1871.6,2867.04,1333.185,1999.536,1850.212,2155.732,1897.788,2648.57,2597.703,2656.426,2207.87
14,1359.997,1420.113,3189.375,1808.213,2792.636,1335.165,2012.014,1825.918,2126.856,1940.972,2643.418,2602.016,2664.248,2264.252
16,1294.925,1489.038,3040.788,1775.724,2843.889,1294.733,1948.061,1771.298,2128.392,1822.051,2661.47,2610.708,2690.447,2201.955
18,1217.98,1489.676,2994.635,1790.462,2807.053,1244.452,2093.758,1658.048,2229.598,1734.459,2644.246,2506.71,2657.425,2115.417
20,1232.075,1394.611,2987.908,1848.511,2754.858,1191.311,1990.174,1649.471,2166.381,1765.741,2615.59,2540.484,2705.598,2150.959
22,1290.679,1414.177,3020.133,1864.058,2760.858,1187.674,1974.3,1648.538,2094.546,1803.956,2572.221,2514.123,2785.131,2141.891
24,1294.587,1350.447,3060.423,1870.436,2702.782,1174.878,1924.307,1675.74,2207.247,1786.668,2503.96,2402.895,2773.523,2205.585
26,1233.338,1373.403,3113.413,1841.471,2657.067,1103.265,1876.73,1676.356,2080.155,1782.459,2474.828,2336.413,2737.697,2288.449
28,1250.56,1441.416,3304.106,1917.276,2700.796,1090.804,1908.471,1661.808,2266.155,1799.209,2398.367,2447.779,2639.482,2389.773
30,1261.215,1375.618,3263.648,1954.942,2824.791,1057.491,1983.676,1621.548,2241.515,1906.94,2458.398,2406.654,2760.593,2448.04
32,1303.242,1369.198,3258.481,1913.476,2676.098,1053.483,1865.263,1691.298,2160.423,1851.044,2372.51,2454.366,2757.487,2393.781
34,1220.706,1335.87,3217.191,1900.084,2604.169,1054.328,1895.259,1634.274,2142.464,1797.718,2373.327,2391.654,2639.673,2386.355
36,1173.863,1312.648,2893.102,1828.987,2498.062,969.804,1784.263,1471.909,1827.794,1782.934,2337.756,2313.018,2393.722,2310.311
38,1149.679,1416.065,3116.952,1827.404,2517.644,1058.644,1923.962,1559.505,1913.68,1733.997,2418.619,2386.473,2537.172,2402.547
