time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17
0,2660.925,2760.229,3453.285,1561.176,1371.332,3250.734,1735.791,1998.758,3784.352,2150.054,2804.006,3375.13,3120.151,2144.444,1983.097,1617.249,1936.922
2,2600.809,2690.529,3330.969,1476.598,1320.219,3356.957,1741.331,1970.625,3844.69,2223.607,2805.779,3295.573,3045.253,2076.321,2059.794,1611.436,1919.434
4,1753.294,2265.058,1997.297,653.172,743.34,2490.804,850.065,1403.211,3166.44,1055.768,1357.676,2391.151,2686.36,1539.544,1528.94,754.316,1637.465
6,1664.099,1525.973,2047.293,751.781,802.668,2125.871,963.541,1490.703,2976.393,1253.003,1274.989,2131.672,2556.636,1426.467,1659.963,918.2,1683.27
8,1735.457,1581.959,2235.41,836.973,771.242,2164.906,949.463,1539.055,3020.045,1367.181,1285.794,2265.214,2621.213,1507.272,1606.146,958.387,1731.562
10,1911.338,1790.208,2341.797,828.613,661.906,2129.094,918.006,1510.234,2962.801,1415.948,1342.413,2289.211,2566.68,1502.387,1631.905,939.569,1688.195
12,1913.198,1813.703,2235.461,833.91,613.082,2159.83,925.102,1503.539,2974.241,1365.98,1299.347,2423.232,2788.484,1503.708,1637.966,925.662,1674.297
14,1848.382,1893.44,2149.797,825.344,632.094,2137.446,914.861,1379.434,2875.107,1319.874,1296.857,2546.448,2663.711,1439.338,1561.315,954.747,1640.77
16,1772.648,1878.976,2047.113,855.137,643.691,2099.153,904.843,1369.062,2806.572,1150.713,1272.527,2528.081,2767.013,1531.799,1661.51,1087.049,1635.504
18,1690.177,1891.727,1962.234,849.258,663.199,2108.166,888.602,1326.16,2749.229,1261.865,1329.054,2433.94,2749.782,1484.905,1608.054,1017.956,1604.414
20,1617.949,1928.72,1919.48,902.457,654.57,2163.573,914.654,1441.418,2758.354,1131.023,1305.241,2390.674,2614.396,1441.808,1574.593,1021.796,1660.48
22,1564.382,1873.795,1898.75,879.129,651.395,2095.961,861.776,1441.848,2754.544,1114.602,1335.516,2282.635,2670.116,1486.937,1602.16,938.716,1602.207
24,1376.519,1846.904,1891.855,872.359,638.414,2080.115,786.246,1532.133,2733.823,1131.739,1270.911,2255.596,2635.742,1387.928,1579.057,996.956,1500.414
26,1313.942,1761.935,1882.934,910.004,670.695,2127.548,855.676,1607.488,2754.556,1169.754,1300.785,2232.578,2744.884,1462.106,1579.573,1014.444,1577.773
28,1378.109,1836.174,1955.551,916.336,637.105,2097.18,839.285,1578.871,2687.075,1091.553,1263.951,2191.091,2757.129,1372.533,1633.779,1040.298,1628.145
30,1317.454,1797.02,1963.141,984.242,656.051,2121.577,835.196,1514.082,2737.36,1075.696,1360.246,2297.154,2692.924,1361.347,1632.037,1068.653,1755.477
32,1308.314,1832.389,1885.977,1002.746,663.895,2215.967,875.833,1524.469,2701.731,1073.438,1331.519,2231.169,2749.191,1389.639,1706.026,1129.467,1655.688
34,1296.635,1882.478,1802.168,954.809,622.984,2172.243,823.226,1472.305,2728.832,1029.304,1340.811,2186.299,2746.36,1378.871,1671.398,1067.916,1628.855
36,1375.003,1844.116,1896.812,916.973,569.242,2166.564,821.611,1489.289,2748.081,1005.521,1365.289,1917.06,2229.92,1162.461,1406.957,882.618,1286.164
38,1274.956,1817.174,1852.047,926.051,611.934,2214.172,887.383,1330.652,2841.282,1068.521,1429.957,2238.971,2866.311,1403.307,1663.771,1082.156,1590.328
40,1282.181,1853.689,1902.918,951.625,633.191,2203.266,803.456,1371.316,2701.083,1034.378,1318.307,2338.375,2844.96,1407.467,1720.814,1153.6,1638.055
42,1282.73,1907.068,1847.102,918.055,591.09,2088.894,814.619,1383.988,2578.34,1032.461,1331.917,2362.643,2838.178,1469.719,1683.255,1057.769,1650.016
44,1322.311,1935.928,1866.391,924.305,628.336,2166.744,791.402,1337.609,2685.905,986.917,1269.226,2316.565,2873.436,1420.33,1657.444,1036.964,1744.523
46,1377.014,1936.737,1912.297,959.535,595.539,2260.849,785.067,1329.875,2671.757,1016.117,1341.848,2440.729,2842.862,1448.88,1641.874,1042.924,1740.898
48,1332.423,1882.556,1912.941,930.105,642.691,2282.149,791.744,1374.961,2706.721,1076.355,1349.189,2423.945,3002.507,1461.564,1634.218,925.929,1667.094
50,1307.935,1923.276,1869.172,938.039,619.988,2249.998,827.504,1414.523,2708.967,1076.782,1409.619,2429.125,2946.658,1487.857,1715.954,914.507,1638.652
52,1384.72,1919.669,1825.141,930.887,666.07,2300.536,821.852,1441.484,2745.934,1053.192,1401.261,2370.875,2947.302,1411.599,1704.504,858.324,1634.211
54,1440.99,1880.403,1778.734,961.77,634.52,2297.176,779.196,1422.727,2750.899,1050.679,1408.519,2457.979,2969.92,1465.424,1642.458,958.067,1649.691
56,1394.372,1872.983,1823.535,970.633,643.453,2372.667,793.807,1440.656,2791.348,1080.877,1495.264,2464.828,2886.538,1413.444,1646.834,934.098,1617.477
58,1389.625,1961.027,1767.238,975.637,692.863,2361.417,827.604,1573.789,2740.586,1104.117,1552.493,2524.703,2898.867,1406.255,1717.295,899.404,1622.914
60,1427.696,2043.778,1922.941,962.715,673.523,2423.765,834.1,1628.434,2753.728,1091.427,1541.524,2467.349,2899.116,1416.928,1620.387,947.702,1638.746
62,1416.618,1995.877,1871.324,1000.828,661.047,2404.691,848.704,1674.891,2806.497,1102.41,1493.997,2435.669,2962.391,1420.223,1646.98,930.622,1689.34
64,1489.741,1963.669,1807.457,1028.363,657.605,2446.89,814.596,1648.051,2851.012,1184.501,1538.341,2463.096,3000.867,1446.777,1646.991,852.738,1680.559
66,1549.792,1957.471,1924.363,931.27,720.133,2401.74,812.963,1584.082,2815.65,1051.831,1655.244,2472.031,2968.129,1465.539,1659.321,948.818,1810.121
68,1654.928,1968.304,1915.617,1045.035,727.141,2510.168,841.989,1604.488,2872.716,1088.318,1646.203,2458.443,2984.253,1477.639,1700.298,942.84,1739.375
70,1819.007,1986.491,1988.844,952.262,743.875,2546.845,908.824,1779.352,2870.399,1135.215,1826.221,2449.096,3041.8,1473.479,1721.418,922.836,1740.785
72,1788.966,2019.741,2093.113,1010.754,746.906,2520.534,851.254,1735.973,2824.244,1132.943,1793.883,2415.466,3056.867,1501.774,1716.619,969.591,1682.129
74,1916.3,1975.662,2109.672,972.988,760.07,2547.096,923.826,1717.609,2887.506,1159.811,1756.178,2373.357,3121.911,1511.307,1758.324,969.911,1678.488
76,1897.676,1963.485,2038.254,965.32,696.398,2555.164,903.92,1698.68,2892.243,1183.934,1775.266,2400.026,3132.991,1482.152,1699.564,957.342,1611.66
78,1784.522,1966.017,2109.961,1008.266,858.109,2593.863,859.72,1757.672,2850.863,1189.736,1797.453,2449.232,3143.271,1531.842,1701.014,960.013,1685.703
80,1763.191,1894.246,2180.949,943.43,836.258,2603.613,958.352,1680.691,2950.211,1276.341,1859.676,2434.466,3126.84,1548.479,1729.487,970.271,1732.688
82,1776.082,1850.747,2169.059,976.574,871.992,2559.671,1001.563,1679.57,2920.303,1275.427,1835.883,2514.443,3156.507,1585.963,1718.338,1006.662,1728.348
84,1842.771,1879.041,2161.637,1022.32,878.977,2473.675,955.048,1726.93,2846.555,1293.08,1891.585,2511.268,3084.071,1516.931,1764.301,940.644,1711.434
86,2006.86,1918.676,2211.375,1120.836,903.004,2534.926,975.513,1729.75,2853.627,1271.444,1934.711,2618.594,3063.907,1584.47,1782.713,991.64,1805.684
88,1984.488,1920.689,2205.512,1097.141,944.668,2546.149,972.183,1754.867,2842.211,1275.149,1864.636,2572.815,3081.72,1594.043,1749.53,982.156,1720.934
90,1962.655,1926.502,2168.121,1042.602,859.148,2498.883,949.531,1612.352,2826.65,1287.751,1945.244,2576.88,2952.16,1550.358,1669.132,906.582,1629.215
92,1850.782,1956.853,2209.992,1113.957,900.977,2575.319,1015.404,1576.617,2925.459,1343.456,1970.914,2648.919,3132.053,1599.86,1813.424,947.787,1566.176
94,1886.218,1994.795,2209.355,1037.652,958.148,2573.693,977.507,1681.746,2869.579,1401.026,2073.023,2621.651,3001.293,1513.33,1720.258,976.178,1705.172
96,1811.055,2050.502,2254.418,1071.656,1001.266,2567.544,991.572,1653.777,2880.932,1397.186,2115.49,2632.062,3039.004,1557.123,1786.43,899.991,1738.59
98,1793.474,2004.188,2307.488,1114.777,1049.367,2595.104,952.604,1679.457,2873.39,1423.516,2101.327,2681.099,3012.418,1527.734,1799.656,941.556,1681.059
