time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18,cell 19,cell 20
0,2348.859,1635.59,1530.37,1688.054,2832.616,2683.854,1845.836,1401.018,1827.732,2444.576,2234.12,3743.362,2302.871,2248.861,3304.691,2224.762,2639.066,2405.023,1537.738,3092.906
2,2433.132,1615.283,1492.542,1728.696,2848.86,2814.585,1850.266,1344.062,1842.68,2560.88,2225.82,3809.523,2438.386,2323.327,3210.468,2247.057,2754.758,2541.551,1564.445,3079.392
4,1691.244,1045.754,1085.633,1234.688,2265.665,1888.215,1261.953,1041.445,1167.122,1471.516,1779.807,3067.812,1916.123,1691.731,2157.162,1746.461,1790.875,1573.418,847.617,2763.49
6,1656.403,1059.949,1113.731,1291.582,2348.275,1707.264,1337.885,1090.984,1165.052,1509.471,1635.703,3057.721,2001.984,1779.346,2277.252,1792.516,1854.469,1581.773,889,2812.139
8,1583.341,1056.86,1168.464,1312.186,2235.381,1681.599,1386.448,1120.135,1174.904,1421.305,1592.104,3038.703,2051.516,1935.389,2455,1852.693,1728.105,1677.309,834.516,2859.589
10,1603.594,1102.051,1159.183,1335.009,2384.252,1786.393,1478.659,1166.703,1241.672,1468.852,1700.927,3048.674,2048.529,1942.663,2584.477,1859.559,1958.441,1591.473,902.215,2957.832
12,1579.95,1112.423,1143.59,1316.355,2343.888,1789.656,1435.404,1168.318,1166.513,1436.419,1691.305,3056.232,2022.06,1909.476,2549.401,1768.963,1925.746,1657.355,816.156,2808.113
14,1541.083,1073.406,1221.991,1348.579,2359.206,1755.688,1488.953,1143.638,1209.943,1429.31,1652.594,3021.32,1923.324,1823.139,2553.639,1747.576,1886.434,1654.359,786.652,2801.802
16,1506.549,1106.317,1133.06,1312.831,2405.241,1827.771,1482.469,1143.513,1236.578,1447.383,1676.763,2955.034,1969.056,1837.067,2543.05,1843.301,1803.922,1768.73,799.891,2879.135
18,1558.214,1120.638,1151.192,1307.123,2481.461,1803.212,1444.776,1152.359,1221.008,1459.591,1609.919,3028.708,1897.806,1999.135,2458.739,1745.458,1755.238,1826.895,757.859,2926.754
20,1519.681,1029.881,1167.158,1377.244,2461.1,1765.226,1485.263,1117.333,1180.315,1426.328,1671.174,2918.091,1953.029,2059,2466.145,1859.983,1763.152,1883.543,762.148,2868.341
22,1514.48,1013.502,1134.321,1285.355,2374.862,1724.321,1379.711,1086.299,1178.542,1376.12,1630.102,2918.43,1897.875,2126.365,2371.724,1781.421,1636.746,1834.531,720.023,2816.581
24,1582.555,976.652,1156.794,1321.398,2367.289,1756.321,1410.781,1102.784,1103.339,1356.312,1571.229,2869.599,1927.728,2020.293,2383.537,1812.774,1598.863,1796.637,697.734,2798.721
