time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18,cell 19,cell 20,cell 21,cell 22
0,2179.829,3341.406,3124.87,2351.447,2034.444,2294.024,2890.792,2277.035,1552.379,1794.338,1857.9,1949.187,2195.57,1374.886,1291.079,1560.174,2002.645,2379.337,2426.26,1582.337,1744.532,2084.826
2,2147.055,3181.505,3201.345,2341.031,2009.044,2167.041,2922.188,2281.965,1596.52,1775.811,2010.837,1963.079,2211.658,1427.367,1342.731,1582.174,2036.167,2402.808,2541.827,1607.481,1786.663,2118.642
4,1745.331,2417.655,2419.556,1943.396,1661.365,1754.608,2531.137,2053.516,1388.566,1410.438,1767.08,1508.244,1801.019,1241.522,1195.832,1159.016,1701.078,2031.337,1890.163,1301.298,1516.548,1944.875
6,1881.406,2286.693,2466.399,1933.823,1657.222,1758.372,2488.263,2017.371,1362.723,1487.08,1731.453,1567.146,1887.848,1237.396,1255.282,1284.861,1736.212,2051.317,2046.745,1351.769,1571.252,1969.131
8,2009.051,2328.474,2457.348,1980.348,1586.495,1748.345,2464.369,2064.676,1416.996,1544.951,1725.186,1597.68,1741.13,1178.019,1227.699,1271.981,1755.249,2001.692,2030.74,1455.298,1527.675,1964.284
10,1975.382,2331.795,2515.29,1994.259,1674.089,1807.082,2403.881,2121.332,1317.77,1557.043,1752.911,1570.513,1853.959,1171.756,1237.551,1320.889,1675.529,2027.341,2045.726,1450.692,1581.552,1966.663
12,1979.553,2310.966,2509.631,1967.157,1642.215,1794.72,2343.515,2040.684,1391.672,1477.713,1710.352,1620.592,1805.69,1264.541,1227.31,1325.196,1717.826,2008.413,2058.053,1485.817,1553.611,2036.434
14,1898.597,2289.573,2475.003,1988.314,1607.16,1841.775,2395.932,2004.48,1353.871,1479.527,1678.536,1610.554,1747.759,1256.775,1221.639,1337.573,1614.915,2014.375,2051.572,1514.159,1554.252,2021.556
16,1876.232,2382.239,2458.782,2083.416,1626.246,1822.29,2440.389,2011.645,1301.293,1566.539,1720.295,1600.585,1790.206,1206.975,1212.778,1298.453,1686.451,2040.668,1976.471,1559.188,1545.796,2118.194
18,1832.925,2227.256,2432.949,1937.737,1571.761,1736.891,2367.915,1960.867,1350.559,1595.097,1786.728,1613.133,1786.092,1210.025,1222.146,1360.12,1650.631,2004.106,2048.149,1485.712,1516.885,2027.149
20,1887.321,2327.014,2542.126,2008.007,1623.952,1758.137,2445.642,2036.449,1448.367,1557.633,1793.484,1574.563,1809.807,1291.706,1222.313,1373.804,1704.543,1993.341,2006.548,1556.572,1518.816,2106.867
22,1878.078,2191.901,2407.01,2011.911,1606.123,1773.273,2277.256,1908.465,1426.547,1693.989,1845.218,1566.161,1792.104,1232.554,1141.057,1302.911,1675.229,1985.346,1933.029,1450.596,1497.857,2033.939
24,1884.355,2188.232,2369.867,2008.812,1627.212,1744.437,2284.556,1912.738,1489.211,1678.069,1845.986,1609.085,1761.753,1316.386,1116.582,1245.978,1605.307,1957.928,1973.736,1401.125,1530.092,2002.695
26,1999.126,2218.372,2411.29,2021.7,1670.584,1775.956,2451.696,1904.75,1345.453,1670.037,1842.066,1623.981,1826.797,1316.373,1144.627,1316.699,1692.655,1971.846,2038.365,1515.284,1556.029,2064.131
28,1892.334,2175.102,2483.15,1987.734,1572.577,1767.034,2345.526,1961.742,1370.773,1631.946,1807.524,1667.741,1777.155,1323.538,1131.582,1240.706,1643.294,1931.793,2056.466,1482.332,1553.237,2060.213
30,1936.788,2223.775,2527.556,2092.98,1676.57,1774.874,2437.399,1984.355,1444.105,1655.582,1822.811,1661.272,1800.829,1336.07,1128.873,1296.054,1673.399,2006.255,2075.274,1456.216,1569.462,2057.861
32,1899.502,2143.078,2481.689,1992.549,1615.072,1781.259,2402.447,1929.633,1408.148,1561.986,1842.47,1607.418,1840.728,1327.684,1170.054,1281.07,1749.87,1942.99,2124.755,1518.163,1516.358,2084.767
34,1934.771,2033.515,2414.454,2054.539,1662.092,1762.334,2285.294,1962.438,1438.461,1598.496,1871.307,1527.275,1766.886,1280.978,1115.478,1257.5,1719.867,1935.067,2131.101,1460.644,1526.448,2044.025
36,1994.208,2117.802,2447.724,2049.239,1651.952,1788.683,2311.324,1947.621,1407.637,1591.905,1833.054,1589.915,1813.206,1310.437,1076.079,1250.31,1637.123,1968.255,2109.332,1449.173,1503.577,2118
38,2013.652,2170.594,2495.655,1953.379,1653.14,1816.645,2354.198,2036.805,1437.531,1607.931,1796.842,1549.44,1845.098,1295.256,1056.984,1278.968,1657.891,1960.231,2104.048,1541.538,1560.456,2200.012
40,1910.512,2129.171,2469.232,1893.659,1678.986,1685.98,2210.478,1955.98,1424.023,1610.682,1859.086,1589.009,1762.212,1279.899,1111.133,1242.025,1649.246,1908.798,2134.745,1576.952,1573.933,2181.524
42,1873.034,2207.481,2448.297,1891.451,1727.485,1740.672,2301.666,1981.363,1429.109,1581.473,1914.599,1589,1836.62,1297.345,1231.937,1266.266,1800.635,1938.351,2158.447,1674.38,1573.194,2133.027
44,1854.901,2152.109,2497.782,1948.601,1667.369,1733.085,2316.16,1970.23,1355.062,1547.33,1887.358,1595.117,1786.532,1283.87,1088.706,1183.598,1748.495,1889.875,2121.558,1566.649,1568.217,2119.973
46,1831.945,2142.502,2484.645,2058.068,1703.652,1765.843,2326.891,1948.742,1409.844,1625.401,1827.052,1557.402,1823.544,1291.43,1170.177,1262.168,1714.389,1916.529,2137.288,1590.447,1575.497,2126.204
48,1789.014,2212.048,2461.249,2012.283,1706.976,1730.631,2267.239,1948.004,1414.328,1608.851,1789.011,1549.959,1829.351,1273.509,1150.62,1265.56,1797.689,1922.707,2106.221,1457.803,1516.515,2154.577
50,1773.706,2211.089,2467.485,1946.918,1669.13,1586.15,2162.874,1825.062,1341.504,1580.98,1777.292,1556.051,1763.763,1422.104,1148.962,1235.209,1721.229,1919.837,2142.466,1514.399,1544.881,2182.025
52,1827.768,2187.201,2563.532,1838.488,1662.812,1711.819,2217.42,1959.453,1335.441,1634.974,1834.679,1631.244,1848.044,1422.405,1162.092,1245.693,1708.406,1926.284,2232.486,1452.192,1552.953,2165.211
54,1859.392,2198.782,2404.106,1945.604,1635.099,1682.567,2192.949,1933.613,1329.613,1616.33,1802.931,1502.984,1757.639,1459.494,1143.247,1142.636,1693.638,1879.24,2188.615,1390.615,1525.888,2189.838
56,1969.109,2253.703,2457.529,1858.645,1703.925,1650.829,2297.051,1957.316,1393.051,1714.309,1873.943,1574.123,1839.627,1406.199,1181.177,1150.576,1704.15,1952.111,2213.332,1456.606,1541.16,2158.462
58,1971.549,2250.191,2440.42,2008.355,1867.584,1626.392,2358.911,1933.543,1346.043,1665.112,1866.868,1580.509,1837.117,1388.196,1094.259,1191.693,1695.642,1859.942,2157.736,1522.409,1550.485,2198.509
60,2016.369,2325.123,2509.761,1989.379,1870.505,1696.403,2341.389,1891.684,1335.895,1620.135,1819.037,1605.642,1772.541,1294.851,1126.481,1224.171,1751.867,1876.452,2161.591,1460.851,1546.043,2180.675
62,1893.106,2287.829,2517.669,1968.604,1837.918,1704.331,2273.717,1923.711,1262.5,1541.421,1877.103,1663.766,1863.959,1324.07,1088.62,1199.228,1609.549,1779.462,2196.269,1525.077,1544.746,2132.452
64,1902.082,2349.181,2421.075,1856.604,1761.177,1676.515,2255.3,1851.441,1266.676,1622.235,1839.381,1701.778,1867.054,1327.405,1063.835,1145.573,1679.188,1894.688,2176.841,1465.154,1520.718,2133.438
66,1883.232,2358,2446.966,1708.058,1774.891,1683.43,2276.229,1879.109,1308.453,1561.387,1811.596,1712.316,1901.75,1333.31,1101.022,1133.766,1706.713,1906.841,2220.721,1417.24,1560.393,2116.613
