time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12
0,1506.04,2682.008,2034.762,1521.841,4463.764,2357.827,2447.635,3283.859,2357.943,2864.267,3133.827,2810.52
2,1608.111,2685.035,2001.186,1545.072,4623.159,2476.558,2446.712,3219.686,2441.177,2897.529,3201.293,2911.458
4,1353.538,2647.684,1770.215,1219.058,3996.716,1821.202,2174.59,2458.692,1827.076,2470.271,2819.222,2426.707
6,1303.716,2369.723,1694.398,1303.332,4069.587,1751.014,2132.712,2583.609,1676.87,2500.836,2842.627,2418.089
8,1286.36,2412.555,1803.476,1362.163,4075.99,1831.702,2207.673,2676.333,1695.994,2698.871,2973.947,2456.342
10,1244.231,2322.445,1788.252,1320.212,4159.154,1759.505,2327.679,2608.75,1786.674,2653.013,2746.889,2444.862
12,1352.778,2403.875,1860.676,1371.663,4486.731,1691.577,2391.474,2681.006,1716.199,2691.982,2978.156,2347.164
14,1381.649,2354.754,1784.456,1459.072,4418.99,1769.178,2496.782,2688.013,1726.94,2777.991,2979.751,2387.071
16,1305.911,2300.758,1809.289,1362.726,4462.322,1753.971,2403.256,2561.41,1618.595,2694.756,2933.187,2297.96
18,1336.467,2386.781,1787.771,1423.712,4405.029,1664.841,2266.468,2590.487,1693.155,2713.293,2973.916,2375.791
20,1294.773,2537.5,1796.052,1451.303,4334.587,1688.216,2057.141,2561.103,1751.12,2757.511,2919.862,2440.32
22,1337.613,2568.852,1781.67,1340.87,4283.409,1619.409,2008.917,2431.429,1663.532,2653.956,2907.382,2369.929
24,1272.031,2479.438,1714.215,1329.577,4285.688,1548.582,2099.41,2348.244,1624.259,2710.573,2884.124,2340.658
26,1294.24,2472.934,1732.782,1466.649,4271.702,1503.692,2018.628,2328.731,1588.063,2671.307,2878.396,2495.289
28,1335.369,2647.07,1860.722,1438.005,4265.851,1539.245,1947.981,2314.032,1594.104,2650.222,3009.213,2440.471
30,1339.369,2676.738,1853.255,1437.986,4394.236,1526.308,1883.372,2476.333,1539.237,2691.489,3075.231,2441.489
32,1367.978,2663.852,1902.456,1534.904,4402.952,1564.885,1916.872,2431.718,1525.807,2788.404,3073.533,2471.693
34,1289.827,2695.199,1807.9,1423.005,4347.106,1521.74,1935.641,2471.538,1499.237,2749.862,3078.662,2536.867
36,1365.724,2669.746,1888.372,1470.111,4442.774,1590.861,2077.885,2372.615,1545.066,2780.578,3074.32,2635.991
38,1340.204,2559.543,1861.169,1368.558,4358.476,1475.5,2140.077,2350.705,1498.228,2671.942,3084.498,2515.547
40,1338.533,2550.734,1873.284,1425.745,4280.389,1560.452,2034.199,2356.147,1555.491,2688.978,3098.444,2584.276
42,1354.196,2630.043,1902.186,1507.904,4375.486,1607.356,1939.949,2467.737,1523.329,2649.884,3033.524,2679.324
44,1288.004,2801.727,1901.799,1394.822,4353.745,1576.938,2135.737,2432.141,1511.633,2597.796,2997.013,2750.089
46,1307.511,2603.27,1926.441,1457.01,4301.067,1579.197,2076.199,2507.526,1594.959,2577.747,2930.431,2884.684
48,1277.862,2655.828,1883.433,1482.067,4397.885,1514.264,2155.66,2479.199,1626.082,2684.804,3009.12,2843.124
50,1413.551,2731.539,1822.309,1529.591,4237.668,1569.231,2142.263,2543.987,1519.829,2618.973,3041.782,2576
52,1335.818,2611.742,1875.917,1617,4312,1516.75,2150.006,2394.513,1634.715,2620.929,2965.182,2735.32
54,1283.636,2580.363,1860.676,1650.423,4246.611,1622.26,2145.288,2436.635,1625.294,2573.391,3040.853,2750.12
56,1316.142,2553.203,1888.269,1669.168,4299.923,1517.587,2034.737,2317.75,1639.858,2658.311,3009.756,2660.053
58,1429.902,2545.371,1830.433,1753.856,4283.438,1634.5,2154.821,2285.301,1636.642,2587.871,2999.911,2781.662
60,1492.667,2625.98,1840.178,1843.5,4237.038,1535.043,2029.295,2298.006,1640.396,2566.791,3006.556,2690.933
62,1453.978,2643.43,1862.183,1911.389,4204.784,1536.534,2111.378,2361.404,1670.339,2583.107,2935.898,2565.329
64,1529.284,2671.453,1889.367,2057.654,4027.212,1442.077,2226.635,2354.333,1633.342,2653.524,2846.493,2642.502
66,1542.2,2735.789,1803.708,2062.928,3950.466,1458.298,2263.654,2311.763,1639.921,2665.329,2971.156,2577.947
68,1472.804,2599.961,1809.034,1976.418,4100.553,1466.471,2169.321,2241.308,1608.294,2707.96,2931.604,2632.28
70,1445.698,2659.766,1838.948,2111.495,3967.346,1536.149,2315.821,2278.013,1700.291,2719.844,2828.169,2721.773
72,1439.462,2569.934,1916.249,2191.74,3902.024,1562.986,2312.237,2371.122,1620.854,2739.182,2797.987,2618.182
74,1438.916,2577.453,1847.607,2092.774,3969.75,1568.433,2212.128,2402.077,1678.598,2776.813,2758.573,2608.898
76,1536.996,2573.648,1857.212,2057.745,4031.062,1570.798,2092.481,2306.917,1648.297,2650.347,2709.533,2584.187
78,1368.582,2568.965,1868.106,2050.894,3966.034,1497.135,2113.571,2305.212,1543.867,2461.302,2440.578,2356.404
80,1427.702,2470.863,1832.358,2138.601,4043.115,1550.034,2354.109,2520.872,1657.38,2680.022,2696.493,2527.818
82,1412.262,2499.176,1822.235,2091.135,4077.106,1532.284,2269.532,2518.737,1660.563,2658.409,2627.902,2684.796
84,1433.689,2642.156,1766.564,2120.139,4254.125,1553.572,2387.724,2541.192,1726.525,2780.787,2714.529,2700.884
86,1449.418,2568.762,1829.782,2064.413,4194.721,1549.981,2506.269,2430.494,1709.354,2732.369,2630.427,2634.147
88,1409.96,2549.973,1725.132,1980.029,4250.846,1523.019,2580.019,2481.186,1746.513,2763.333,2660.924,2599.218
90,1383.756,2495.137,1715.582,1980.731,4272.399,1475,2278.186,2476.147,1625.861,2726.436,2704.773,2528.836
92,1312.098,2707.375,1751.261,1901.644,4283.899,1527.365,2432.904,2659.744,1707.256,2607.253,2737.444,2592.067
94,1302.747,2608.203,1738.146,1946.683,4185.553,1527.567,2413.801,2520.776,1656.041,2738.938,2744.084,2548.831
96,1324.147,2528.355,1740.292,1827.034,4373.817,1581.24,2265.981,2540.295,1532.304,2614.498,2669.338,2502.858
98,1318.036,2506.309,1741.335,1827.644,4329.361,1577.745,2320.147,2458.474,1570.098,2606.751,2666.271,2557.218
