time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18
0,1613.372,1811.34,1629.693,2100.841,1896.953,2684.188,2044.346,4232.981,2260.433,2043.341,1884.686,1944.447,2008.208,1326.098,2523.585,4502.309,2199.074,4131.801
2,1522.594,1887.949,1656.086,2093.941,1928.949,2765.764,1949.048,4365.428,2259.976,2100.375,1896.812,1989.437,2058.908,1316.481,2418.843,4474.618,2113.125,4105.355
4,1080.785,1468.468,1275.086,1683.988,1798.879,2394.587,1645.476,3489.803,2123.346,1550.297,1702.713,1766.437,1587.7,1047.446,2036.64,4067.444,1708.535,3548.551
6,1057.556,1549.502,1286.245,1780.342,1799.957,2143.293,1794.442,3782.288,2117.154,1573.123,1779.164,1787.662,1501.341,1052.905,2047.779,3916.652,1666.574,3637.992
8,1103.57,1625.884,1387.51,1913.549,1794.324,2123.356,1706.144,3797.697,2152.375,1596.061,1845.235,1735.085,1589.488,1114.468,2150.483,3972.121,1695.133,3658.098
10,1131.881,1714.65,1393.146,1972.375,1844.234,2050.726,1739.673,3888.264,2222.644,1747.874,1891.365,1878.816,1635.792,1174.297,2226.374,3917.845,1725.129,3629.566
12,1086.734,1693.275,1434.206,1955.746,1867.02,2064.779,1741.553,3847.207,2200.438,1803.372,1887.812,1936.584,1624.126,1200.392,2289.303,3976.701,1717.109,3590.863
14,1139.809,1771.304,1468.492,1933.33,1780.184,2054.317,1776.413,3839.192,2260.688,1779.556,1921.522,1877.208,1620.71,1095.123,2197.607,3978.211,1796.168,3453.523
16,1174.174,1792.608,1462.51,2019.397,1852.52,2140.428,1848.288,3876.144,2335.865,1753.754,2060.348,1943.918,1650.225,1139.348,2254.781,4057.881,1805.422,3529.645
18,1134.433,1756.382,1433.5,1971.739,1759.422,2088.62,1882.841,3916.51,2334.87,1645.819,1996.072,1885.314,1508.529,1134.193,2226.777,4089.153,1807.43,3534.93
20,1070.922,1743.543,1399.797,2008.185,1798.91,2164.462,1801.942,3916.279,2424.913,1662.785,1997.389,1896.969,1555.689,1090.592,2199.002,3999.094,1839.711,3494.062
22,1156.918,1768.447,1335.924,2018.164,1693.008,2215.26,1873.091,3752.538,2315.519,1617.488,2060.365,1946.672,1582.7,1118.924,2242.652,4058.759,1787.664,3670.5
24,1136.747,1731.547,1293.146,1988.793,1708.625,2209.048,1797.466,3729.341,2213.332,1580.843,2003.904,1867.962,1471.137,1157.775,2171.135,3948.354,1772.473,3643.707
26,1177.232,1756.313,1285.867,1999.77,1762.102,2129.293,1917.615,3909.63,2314.173,1646.945,1924.949,1911.447,1458.29,1146.953,2280.881,4104.524,1835.605,3731.148
28,1116.048,1684.313,1299.065,2004.088,1757.75,2102.332,1897.553,3956.856,2298.784,1613.123,1960.659,1848.014,1410.563,1140.089,2309.395,4034.098,1814.309,3782.633
30,1140.181,1694.209,1328.648,1967.506,1668.141,2030.601,1898.096,3834.625,2183.673,1577.44,1960.314,1838.98,1433.365,1107.266,2339.628,4093.262,1845.168,3781.434
32,1180.43,1729.239,1407.56,1993.081,1743.07,1988.856,1806.981,3887.361,2284.913,1522.389,1899.119,1968.328,1368.321,1140.123,2283.309,4065.44,1736.305,3683.902
34,1167.113,1686.965,1423.344,2020.739,1707.582,2066.308,1826.159,3910.385,2358.784,1527.737,1981.447,1991.666,1391.881,1141.304,2319.18,3968.928,1766.188,3723.453
36,1178.765,1730.502,1417.865,2172.96,1715.535,2107.962,1764.385,3762.048,2218.293,1506.423,1937.276,2028.481,1385.546,1148.557,2423.542,3923.63,1886.793,3713.824
38,1174.369,1700.477,1411.281,1995.551,1645.98,2080.298,1843.577,4027.293,2339.308,1576.13,1931.519,1947.556,1376.256,1124.854,2495.599,3978.753,1882.219,3685.887
40,1248.13,1731.038,1465.109,1952.461,1559.484,2064.817,1926.452,4038.284,2272.567,1570.406,1909.532,1979.515,1467.498,1224.706,2560.697,3934.879,1948.484,3693.727
42,1228.563,1743.238,1401.065,1933.437,1544.195,2152.486,1799.712,4222.067,2262.553,1573.532,1912.485,1936.266,1457.471,1185.19,2565.618,3992.971,1966.676,3831.422
44,1297.027,1740.589,1332.25,1950.359,1579.434,2043.399,1846.005,3946.716,2265.236,1521.952,2008.754,1960.468,1477.928,1294.051,2582.072,4033.344,1977.871,3786.461
46,1253.478,1761.823,1370.318,1897.594,1518.77,2103.793,1850.635,3713.264,2362.255,1495,1921.399,1828.078,1395.031,1277.915,2573.074,3925.595,1980.809,3809.113
48,1260.7,1782.842,1328.852,1861.99,1571.629,2147.928,1900.476,3927.827,2410.827,1684.563,1942.567,1908.362,1476.628,1286.25,2548.55,4000.53,1983.051,3879.191
50,1243.109,1785.311,1324.779,1871.905,1536.051,2075.755,1929.688,3834.774,2289.769,1625.003,1837.693,1839.741,1434.536,1215.589,2525.141,3979.231,2077.93,3876.777
52,1176.416,1740.519,1348.581,1914.895,1500.547,2099.433,1802.933,3895.014,2269.269,1577.669,1826.164,1813.287,1431.488,1167.949,2506.47,3915.973,2029.754,3832.949
