time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16
0,5075.838,2778.537,2889.461,2943.304,2396.719,3308.973,3833.88,2296.841,3217.24,2573.346,1505.817,2546.571,3051.531,3434.106,3117.863,1834.299
2,5065.116,2814.817,2885.556,2897.83,2476.172,3619.141,3793.018,2268.568,3282.986,2701.885,1487.303,2882.367,2945.056,3609.683,3177.222,1822.791
4,3044.556,1462.96,1909.553,1630.075,1816.951,1690.082,1729.13,1403.297,1794.688,1699.178,1131.865,1886.774,2413.028,1622.126,1915.42,913.972
6,2912.368,1815.772,2072.931,1714.511,1819.911,1941.676,1927.997,1382.102,2010.601,1943.962,1239.413,2053.712,2483.605,1925.044,1974.205,1007.226
8,2886.523,1891.608,2027.415,1761.937,1870.969,1758.879,2142.081,1434.651,1894.279,1768.178,1299.971,1815.785,2446.006,1817.536,1977.427,811.073
10,2923.401,1807.043,2016.074,1563.735,1680.695,1653.094,2094.961,1378.143,1791.13,1796.99,1252.524,1784.994,2448.056,1733.188,1790.143,860.548
12,2894.39,1659.58,1998.759,1418.869,1580.159,1626.227,2087.12,1363.628,1715.88,1567.971,1255.88,1757.672,2408.418,1635.061,1703.546,768.226
14,3048.299,1555.014,1983.14,1467.71,1555.323,1655.746,2068.081,1324.526,1682.159,1551.731,1217.159,1765.322,2240.153,1637.123,1734.529,741.04
16,2972.827,1368.38,1963.88,1381.035,1637.669,1628.176,2015.674,1364.591,1760.745,1544.601,1302.697,1673.819,2263.825,1575.805,1840.13,720.107
18,3036.679,1175.235,1999.258,1364.908,1553.125,1571.141,2067.297,1305.812,1659.582,1465.13,1319.697,1634.486,2284.87,1552.956,1763.491,718.401
20,2975.917,1205.651,2014.782,1367.451,1577.232,1597.996,1939.453,1261.284,1543.635,1473.183,1269.423,1596.136,2156.881,1502.887,1714.416,638.898
22,2975.917,1205.651,2014.782,1031.767,1636.07,1508.59,1948.182,1327.771,1432.649,1450.144,1225.438,1641.186,2194.362,1541.406,1723.539,605.147
24,3042.038,1160.29,1969.456,1445.586,1642.104,1505.613,2006.208,1301.984,1397.577,1491.053,1303.582,1710.525,2292.435,1535.171,1702.355,679.486
26,3064.219,1223.838,1935.074,1439.547,1590.492,1424.992,2010.307,1252.992,1387.024,1460.327,1264.663,1758.836,2291.808,1487.133,1662.191,685.729
28,3067.881,1207.511,1921.447,1476.129,1617.341,1611.844,2012.07,1241.57,1299.697,1408.12,1323.048,1784.627,2248.345,1415.689,1654.621,748.056
30,2952.675,1251.152,1861.095,1377.382,1623.846,1537.004,2113.792,1223.458,1363.298,1412.082,1360.663,1808.424,2172.48,1450.263,1607.061,730.921
32,2991.532,1307.311,1888.845,1414.618,1648.542,1511.668,2074.354,1290.581,1296.938,1234.312,1347.053,1679.87,2239.356,1456.577,1665.676,748.028
34,3051.126,1303.292,1878.891,1442.51,1688.706,1540.773,2025.648,1249.617,1382.861,1303.558,1266.538,1699.311,2282.277,1513.358,1678.638,727.672
36,3106.58,1329.311,1863.163,1376.147,1650.172,1530.344,2035.987,1292.617,1360.918,1195.067,1323.678,1742.48,2294.48,1350.805,1746.635,664.836
38,3171.618,1374.019,1863.957,1365.58,1554.224,1551.992,2083.768,1280.716,1340.188,1298.894,1249.889,1759.051,2307.689,1362.15,1694.218,688.554
40,3117.055,1309.905,1914.487,1365.788,1620.013,1562.359,2169.133,1278.445,1374.904,1410.029,1293.548,1774.864,2368.955,1312.491,1697.41,716.627
42,3192.943,1418.546,1871.994,1303.409,1720.055,1627.328,2149.432,1263.776,1353.365,1300.49,1322.62,1795.864,2423.305,1261.3,1746.502,708.831
44,3046.762,1407.323,1913.447,1312.711,1730.81,1762.098,2176.115,1277.982,1335.38,1288.712,1318.399,1973.254,2336.667,1241.119,1757.73,608.955
46,3094.99,1448.245,1971.218,1296.556,1829.703,1717.379,2110.07,1299.326,1309.716,1397.803,1339.952,1960.938,2439.407,1352.689,1835.727,730.463
48,3046.629,1455.717,1973.759,1371.916,1720.542,1748.109,2115.622,1324.224,1361.173,1541.077,1359.495,1954.661,2305.91,1305.515,1745.659,723.927
50,3026.466,1341.903,2004.817,1381.989,1716.177,1817.188,2121.38,1370.503,1369.62,1525.817,1326.812,1908.734,2346.294,1303.713,1753.925,710.062
52,3043.515,1358.062,1994.189,1364.943,1702.411,1858.215,2163.479,1423.857,1306.413,1546.601,1343.053,1875.684,2512.446,1370.915,1781.044,749.921
54,2924.116,1403.665,2016.971,1420.741,1612.492,1880.125,2176.253,1420.385,1252.005,1606.462,1363.615,1983.13,2575.124,1364.901,1843.003,762.028
56,2888.715,1475.197,2100.765,1477.329,1651.883,1868.094,2249.029,1498.995,1365.207,1556.5,1332.846,1907.718,2513.198,1358.191,1875.87,809.751
58,3046.508,1526.38,2107.456,1449.538,1623.245,1918.391,2282.953,1487.812,1326.264,1599.245,1367.567,1870.746,2560.48,1429.532,1936.3,833
60,3041.021,1391.209,2111.447,1446.845,1714.143,1877.258,2272.273,1535.742,1357.433,1583.736,1364.923,1830.237,2422.576,1457.208,1911.072,729.638
62,3212.995,1483.031,2160.556,1491.086,1710.417,1876.625,2346.617,1592.029,1293.764,1687.12,1378.764,1904.09,2499.226,1379.369,1909.553,772.271
64,3294.746,1460.081,2207.653,1535.531,1788.701,1904.312,2279.094,1579.719,1325.337,1728.062,1436.111,2070.266,2529.876,1503.676,1951.041,747.362
66,2985.741,1519.729,1855.278,1406.405,1628.57,1894.332,2170.932,1554.742,1229.615,1540.351,1221.755,1842.887,2260.243,1389.952,1768.795,688.492
68,3311.304,1641.432,2131.241,1511.892,1815.146,1996.84,2429.154,1734.51,1440.812,1873.236,1360.678,2050.232,2350.373,1495.201,1859.341,687.774
70,3344.297,1637.615,2243.438,1561.367,1845.219,2014.824,2462.779,1658.628,1366.188,1918.543,1381.087,2232.085,2305.836,1485.249,1905.478,723.107
72,3346.423,1671.309,2209.092,1593.866,1818.997,2134.105,2639.924,1712.458,1347.231,1921.457,1337.466,2145.153,2416.949,1540.645,1963.468,718.023
74,3290.667,1609.392,2242.424,1567.262,1874.568,2013.004,2659.534,1707.102,1338.553,1875.024,1282.952,2274.237,2416.023,1630.782,1928.341,758.023
76,3344.126,1761.986,2280.043,1562.534,1916.419,2004.816,2746.581,1827.258,1396.582,1978.495,1306.971,2197.254,2389.955,1662.829,1959.041,790.785
78,3432.558,1716.002,2350.023,1579.209,1873.958,1996.859,2885.057,1856.792,1302.082,1857.255,1345.13,2150.87,2281.915,1663.754,1968.881,722.621
80,3474.257,1709.209,2336.659,1582.468,1935.19,2012.324,2797.979,1753.346,1365.659,1659.909,1286.817,2027.672,2253.35,1619.399,1999.823,725.91
82,3492.489,1687.53,2258.768,1589.856,1946.646,2096.023,2866.852,1722.065,1403.683,1655.966,1319.312,2124.277,2283.277,1713.669,2093.573,839.09
84,3346.549,1644.413,2226.765,1578.786,1880.242,2168.426,2866.115,1701.096,1374.043,1674.5,1293.014,2120.446,2329.678,1685.3,2162.034,805.678
86,3477.834,1655.021,2328.344,1646.257,1862.193,2148.965,2804.43,1755.464,1389.832,1638.394,1268.865,2092.164,2442.395,1734.444,2115.631,810.254
88,3470.093,1631.603,2218.143,1605.365,1862.763,2137.32,2875.974,1714.867,1414.077,1670.567,1259.26,2087.847,2392.667,1724.628,2001.84,784.141
90,3388.565,1687.504,2153.074,1583.728,1861.286,2100.324,2875.63,1698.763,1431.788,1670.365,1304.024,2056.192,2387.418,1802.457,1949.812,751.316
92,3423.259,1648.112,2088.281,1563.341,1963.661,2162.426,2957.039,1626.534,1482.736,1618.207,1272.611,2144.893,2400.271,1839.232,1969.044,761.401
94,3427.867,1677.302,2102.593,1603.696,1949.487,2218.598,2894.427,1639.763,1422.947,1660.514,1256.913,2152.316,2428.554,1812.911,1864.997,750.808
96,3452.033,1639.534,2110.573,1627.045,2030.487,2158.816,2970.406,1689.508,1424.995,1766.981,1350.755,2108.994,2477.881,1879.877,1915.212,804.401
98,3496.399,1603.534,2115.894,1637.4,2036.094,2253.051,2836.495,1673.964,1376.63,1686.644,1405.543,2110.497,2421.294,1868.792,1819.491,757.814
100,3410.09,1576.995,2060.372,1689.674,2079.893,2250.059,2818.227,1599.198,1408.135,1603.168,1342.606,2091.232,2398.881,1837.454,1939.195,819.955
