time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6
0,2072.013,1972.795,1906.25,2045.308,1018.985,1110.023
10,2165.397,2035.038,1834.637,1951.365,1103.693,1098.186
20,2055.872,1993.994,1868.875,1901.231,1029.044,1039.22
30,2065.949,2049.301,1846.787,2014.5,1016.022,971.203
40,1969.776,1986.096,1722.512,2090.904,1026.146,1046.497
50,2118.474,1990.34,1813.113,2069.808,1059.117,1097.203
60,1997.321,1917.455,1818.812,1889.038,960.46,1071.277
70,1820.622,1844.91,1598.338,1712.135,883.051,937.503
80,1723.135,1713.058,1561.875,1629.442,815.015,779.706
90,1683.641,1587.455,1746.262,1652.942,788.533,767.237
100,1624.013,1626.122,1705.488,1754.038,808.664,741.616
110,1547.712,1540.769,1601.137,1613.327,764.745,734.588
120,1672.513,1589.994,1781.588,1676.577,755.292,705.955
130,1498.083,1663.282,1741.175,1693.558,794.343,667.638
140,1512.526,1678.032,1734.787,1784.462,736.38,692.226
150,1505.564,1588.878,1665.438,1683.096,689.394,584.158
160,1576.724,1579.077,1570.512,1752.462,727.197,669.864
170,1500.974,1601.615,1640.525,1912.423,763.504,669.379
180,1439.353,1626.564,1586.412,1860.173,686.058,600.836
190,1448.974,1673.75,1725.475,1874.135,701.109,592.989
200,1505.718,1628.628,1701.588,1875.212,781.854,664.362
210,1438.077,1702.365,1621.2,1727.5,670.051,630.938
220,1377.09,1610.423,1553.387,1631.25,690.511,662.672
230,1371.135,1657.679,1572.113,1749.827,693.073,665.921
240,1384.622,1662.705,1508.137,1707.077,667.175,614.78
250,1384.942,1555.558,1664.838,1730.673,678.774,565.339
260,1332.846,1575.795,1495.713,1712.519,673.19,588.859
270,1372.09,1653.346,1601.838,1620.769,638.533,637.582
280,1395.878,1566.545,1592.45,1666.596,615.657,566.983
290,1323.59,1544.897,1451.387,1604.269,664.745,532.243
300,1275.359,1547.692,1539,1654.615,632.628,567.158
310,1241.737,1528.974,1622.55,1736.019,647.883,527.814
320,1259.019,1565.577,1490.625,1682.769,602.891,546.864
330,1232.814,1499.103,1358.787,1523.654,630.606,562.475
340,1158.115,1551.513,1519.287,1644.115,648.036,572.294
350,1192.308,1527.295,1558.05,1493.75,602.942,516.96
360,1148.071,1523.756,1541.238,1587.654,604.92,505.616
370,1123.269,1545.019,1478.213,1570.981,649.124,568.548
380,1053.077,1470.16,1450.75,1475.577,565.555,514.785
390,1059.853,1503.596,1350.55,1456.673,540.416,531.407
400,1103.788,1459.058,1493.85,1510.442,624.285,562.057
410,1022.603,1538.564,1418.387,1552.423,573.774,488.78
420,1014.609,1449.628,1394.213,1485.673,552.285,451.96
430,1135.083,1474.385,1532.488,1441.788,520.182,459.023
440,981.372,1465.917,1378.213,1502.019,584.015,449.859
450,1022.904,1539.038,1431.075,1492.423,649.672,435.068
460,981.833,1515.897,1296.188,1540.212,525.015,482.537
470,946.763,1426.372,1432.775,1417.538,570.299,502.588
480,968.359,1501.506,1430.7,1446.346,591.088,487.333
490,934.18,1503.615,1471.537,1548.558,565.146,415.322
500,903.244,1468.84,1459.588,1598.385,579.321,436.537
510,865.673,1488.577,1399.475,1301.635,582.153,495.554
520,843.603,1507.808,1466.45,1439.596,580.438,443.514
530,899.103,1551.846,1438.912,1450.519,518.175,503.198
540,904.333,1563.59,1432.262,1375.231,492.153,472.627
550,880.327,1561.071,1420.65,1443.135,495.307,497.486
560,869.083,1602.769,1423.1,1377.942,509.606,446.277
570,830.09,1579.224,1415.625,1387.173,482.876,475.52
580,806,1595.218,1332.95,1402.731,604.066,447.141
590,882.135,1559.558,1343.925,1344.269,530.854,508.621
600,871.263,1541.494,1468.137,1465.962,557.577,496.627
610,824.577,1581.494,1391.588,1278.192,573.299,494.938
620,889.731,1523.019,1482.45,1401.173,573.255,481.898
630,800.192,1486.532,1414.188,1301.712,545.942,527.113
640,859.763,1484.333,1345.938,1227.769,531.81,434.508
650,849.282,1476.186,1408.925,1360.096,585.876,473.119
660,903.724,1546.628,1478.95,1375.038,556.526,497.26
670,786.59,1356.462,1394.025,1247.25,559.861,417.266
680,737.699,1459.949,1426.287,1263.173,564.978,434.26
