time,cell 1,cell 2,cell 3,cell 4
0,3576.63,3923.579,1565.818,2254.024
10,3562.928,3906.746,1559.358,2191.192
20,3598.281,3913.012,1581.139,2202.861
30,3575.269,3946.116,1596.029,2203.88
40,3642.074,3893.286,1553.321,2175.692
50,3670.986,3957.757,1579.693,2192.832
60,3773.785,3926.268,1518.212,2371.019
70,3767.802,3885.996,1529.124,2259.822
80,3786.453,3871.317,1605.803,2317.789
90,3773.696,3913.881,1583.547,2219.058
100,3770.453,3887.331,1553.752,2263.582
110,3745.244,3880.591,1673.117,2202.678
120,3729.149,3863.875,1620.956,2267.25
130,3788.238,3880.806,1599.263,2285.904
140,3789.911,3873.053,1594.518,2299.053
150,3790.883,3925.693,1637.307,2270.293
160,3861.748,3954.409,1626.949,2246.721
170,3972.599,3890.08,1646.394,2179.74
180,3757.175,3882.401,1640.139,2206.726
190,3858.126,3842.607,1704.234,2210.245
200,3770.255,3886.137,1603.292,2141.716
210,3817.427,3967.826,1687.818,2272.798
220,3713.195,3906.186,1663.993,2266.99
230,3785.232,3972.474,1574.358,2193.76
240,3801.607,3941.348,1614.073,2121.404
250,3727.883,3947.72,1736.978,2238.75
260,3596.458,3953.612,1656.234,2190.019
270,3769.069,3937.438,1581.007,2250.255
280,3629.974,3931.288,1677.62,2237.452
290,3662.112,3959.472,1666.292,2261.096
300,3601.258,3928.266,1661.204,2271.885
310,3637.725,3889.656,1614.022,2200.711
320,3688.977,3888.82,1654.109,2332.976
330,3609.358,3807.268,1608.796,2215.957
340,3602.169,3769.603,1637.212,2200.861
350,3525.842,3796.19,1578.277,2239.428
360,3569.169,3740.499,1707.212,2215.625
370,3510.396,3828.841,1653.518,2277.365
380,3520.332,3846.082,1689.299,2251.341
390,3482.937,3826.755,1597.686,2267.356
400,3561.169,3817.413,1561.825,2280.918
410,3522.596,3855.644,1622.825,2323.702
420,3511.421,3885.116,1607.219,2274.312
430,3474.957,3804.951,1554.117,2250.688
440,3487.507,3840.164,1534.285,2300.707
450,3505.9,3853.89,1637.788,2159.836
460,3462.215,3868.607,1636.044,2247.197
470,3457.223,3857.687,1569.022,2242.952
480,3408.203,3777.11,1503.803,2233.404
490,3487.874,3799.329,1579.314,2284.356
500,3460.848,3785.822,1562.869,2185.481
510,3457.416,3769.583,1575.606,2219.596
520,3362.931,3781.738,1683.971,2167.649
530,3504.226,3784.061,1621.839,2246.957
540,3428.358,3785.636,1642.701,2195.514
550,3466.576,3773.464,1628.212,2123.856
560,3423.35,3782.814,1635.905,2168.216
570,3367.51,3818.853,1687.423,2151.49
580,3491.57,3701.669,1686.679,2127.38
590,3384.82,3698.626,1550.401,2132.5
600,3398.33,3758.2,1533.934,2095.553
610,3398.969,3771.546,1595.847,2185.702
620,3473.501,3766.151,1632.847,2205.418
630,3370.948,3768.006,1631.526,2167.764
640,3353.364,3765.742,1666.307,2175.361
650,3496.931,3793.912,1691.876,2155.188
660,3384.679,3759.573,1553.117,2273.875
670,3425.573,3666.589,1604.496,2205.082
680,3405.097,3691.969,1629.036,2243.697
690,3458.587,3746.276,1605.219,2213.529
700,3411.347,3727.119,1559.701,2241.702
710,3476.65,3653.106,1533.175,2213.289
720,3348.301,3635.507,1515.088,2155.144
730,3457.662,3702.221,1560.818,2209.726
740,3338.67,3637.45,1522.496,2248.173
750,3409.917,3608.027,1599.905,2236.13
760,3452.501,3559.975,1477.044,2189.385
770,3415.84,3515.006,1495.62,2160.019
780,3398.353,3539.669,1510.555,2080.13
790,3322.98,3561.722,1545.285,2291.024
800,3336.198,3507.589,1560,2219
810,3402.35,3580.566,1476.175,2211.692
820,3386.639,3516.562,1599.985,2149.216
830,3389.619,3514.673,1554.657,2171.591
840,3425.074,3491.489,1514.876,2168.909
850,3531.713,3478.303,1599.942,2217.428
860,3361.407,3520.924,1560.985,2172.851
870,3443.066,3503.346,1614.956,2187.514
880,3411.894,3539.718,1586.496,2197.356
890,3394.441,3463.497,1484.847,2212.135
900,3414.026,3501.116,1591.854,2172.38
910,3332.943,3446.462,1575.818,2183.154
920,3376.301,3526.73,1535.321,2167.317
930,3317.656,3485.047,1594.788,2236.466
940,3334.986,3379.759,1478.73,2203.216
950,3395.499,3455.763,1545.19,2214.668
960,3334.069,3473.113,1557.942,2158.25
