time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10
0,2972.192,1858.923,3468.213,3076.731,2129.041,1466.938,1441.866,1718.058,1962.381,1941.155
10,3247.179,2024.538,3841.849,3527.436,2343.928,1677.216,1682.491,2010.928,2279.093,2232.423
20,3276.596,2028.327,3913.822,3573.205,2329.361,1700.412,1770.866,1993.755,2323.856,2174.412
30,3127.205,1995.308,3848.298,3431.827,2383.186,1761,1802,2089.317,2297.01,2210.072
40,3333.224,2247.615,3831.036,3516.404,2380.701,1858.206,1736.045,2058.87,2273.32,2319.68
50,3254.647,2135.135,3842.92,3520.179,2331.134,1789.577,1902.571,2102.822,2300.67,2211.196
60,3277.122,2144.038,3781.991,3837.321,2391.072,1707.454,1978.188,2281.183,2238.567,2195.093
70,3230.506,2193.808,3791.271,3698.192,2375.845,1591.124,1906.473,2289.231,2146.031,2191.299
80,3219.397,2168.231,3696.467,3584.564,2329.99,1700.773,1995.929,2226.212,2356.546,2123.237
90,3286.769,2278.404,3761.969,3460.269,2489.216,1672.619,1958.973,2264.293,2245.773,2198.835
100,3172.423,2134.538,3732.209,3349.571,2373.144,1614.103,1875.902,2266.447,2245.144,2190.546
110,3297.538,2123.269,3790.44,3261.474,2279.433,1585.433,1937.929,2237.885,2182.505,2214.237
120,3224.391,2067.404,3822.409,3314.282,2412.299,1647.722,1875.848,2261.885,2249.784,2167.959
130,3267.538,2021.173,3721.187,3237.859,2335.021,1628.546,1813.312,2146.005,2256.062,2175.557
140,3178.237,2019.981,3714.689,3230.923,2434.196,1560.515,1781.598,2174.938,2228.361,2187.309
150,3214.744,2067.923,3699.911,3304.276,2395.258,1549.268,1824.589,2242.572,2281.907,2130.34
160,3206.462,2188.712,3729.16,3304.417,2479.577,1540.175,1925.384,2205.615,2297.32,2146.495
170,3244.987,2083.385,3722.72,3242.776,2407.918,1583.402,1797.562,2266.88,2221.206,2028.99
180,3175.103,2050.75,3759.409,3326.346,2350.763,1640.68,1927.839,2338.784,2253.536,2125.619
190,3276.603,2106.596,3781.027,3210.981,2381.866,1601.804,1879.795,2370.702,2310.526,2100.608
200,3175.577,2072,3743.649,3325.205,2465.227,1620.608,1920.536,2269,2181.825,2106.082
