time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6
0,1215.981,2086,2430.803,2008.68,1043.688,2429.277
10,1172.106,1989.827,2385.539,2007.156,1049.348,2382.934
20,1178.74,2052.596,2359.019,2019.867,991.707,2283.848
30,1171.106,2060.308,2432.966,2003.871,1006.227,2314.094
40,1073.058,2034.851,2354.99,2011.727,992.598,2317.641
50,1180.962,2004.279,2405.25,1989.344,1021.113,2386.227
60,1157.841,2034.361,2354.014,1951.566,934.148,2394.691
70,1151.716,2123.692,2394.067,1986.75,954.332,2305.34
80,1065.154,2107.553,2338.952,2011.762,923.812,2311.688
90,1102.822,2151.567,2372.476,2005.195,906.23,2297.762
100,1104.308,2100.721,2360.438,1952.305,909.844,2200.836
110,1120.125,1980.688,2352.298,1915.293,898.02,2307.43
120,1123.452,2101.519,2357.822,2000.945,900.332,2315.09
130,1171.37,2132.37,2388.961,2027.152,890.332,2282.246
140,1139.452,2055.942,2469.539,2018.055,881.949,2285.895
150,1103.51,2111.779,2434.173,1970.367,953.129,2248.012
160,1068.125,2025.688,2454.476,2000.555,926.148,2264.137
170,1120.413,2113.433,2482.692,2009.75,951.379,2192.023
180,1145.678,2046.538,2357,2032.117,950.176,2276.273
190,1169.812,2010.144,2475.673,2027.664,984.844,2235.305
200,1173.577,2137.784,2481.125,1999.812,923.727,2309.703
210,1138.529,2099.024,2504.784,2021.91,964.953,2223.934
220,1147.933,2109.438,2467.414,2083.836,987.805,2208.672
230,1123.899,1982.899,2370.029,1981.445,985.227,2163.309
240,1096.183,2050.115,2492.457,2049.371,940.719,2236.949
250,1081.341,1996.731,2350.048,2042.492,975.387,2164.918
260,1133.149,1994.788,2362.928,2004.141,986.672,2185.91
270,1134.63,2103.13,2348.505,2065.246,970.215,2139.348
280,1094.221,1997.904,2339.774,1993.379,951.352,2133.355
290,1087.106,2008.966,2321.668,1963.715,939.195,2071.516
300,1032.779,2062.332,2374.053,2022.895,980.715,2136.777
310,1022.476,2101.918,2376.255,2011.141,996.621,2098.086
320,1122.457,2082.101,2394.817,2014.707,1005.859,2099.504
330,1074.913,2067.048,2402.644,2022.969,938.988,2133.805
340,1105.543,2031.587,2442.49,2008.398,1014.898,2162.809
350,1078.976,2087.639,2371.298,2054.262,1005.238,2093.16
360,1050.673,2063.067,2404.49,2017.18,962.578,2126.797
370,1063.481,2038.433,2332.615,2013.07,1016.02,2140.113
380,999.308,2122.236,2395.317,1996.633,974.852,2211.852
390,1008.75,2047.76,2360.76,1945.148,1017.254,2111.426
400,1079.418,2064.188,2342.586,1962.762,981.473,2134.801
410,1010.572,2007.332,2494.688,2005.801,995.52,2190.039
420,1036.649,2046.447,2311.043,2001.934,994.047,2135.242
430,1028.707,2058.447,2414.245,1878.289,997.406,2113.652
440,991.918,1981.125,2275.442,1983.367,1017.012,2141.496
450,1019.673,2118.961,2369.707,1937.184,1011.504,2151.898
460,1020.418,2066.63,2416.639,1964,977.199,2127.234
