time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7
0,1650.458,1737.043,2366.24,2247.785,2308.298,3360.706,2341.791
10,1662.907,1709.215,2321.788,2188.271,2253.902,3367.379,2330.955
20,1575.373,1725.812,2352.486,2271.944,2220.622,3370.519,2317.768
30,1655.271,1672.141,2379.024,2216.944,2313.649,3391.061,2220.316
40,1619.831,1628.953,2283.048,2204.401,2202.484,3414.928,2280.395
50,1610.973,1657.645,2316.668,2190.192,2208.924,3373.007,2205.633
60,1695.529,1546.508,2322.067,2231.322,2207.067,3368.495,2358.367
70,1650.347,1556.906,2341.928,2146.09,2183.582,3287.833,2385.695
80,1668.076,1492.059,2326.986,2159.768,2207.32,3246.997,2348.429
90,1647.289,1514.555,2332.808,2178.412,2261.52,3399.072,2390.503
100,1632.764,1503.84,2363.192,2135.045,2242.453,3317.065,2459.684
110,1601.991,1791.176,2389.808,2216.508,2248.871,3383.096,2333.791
120,1678.844,1737.102,2444.24,2136.808,2237.213,3388.703,2280.288
130,1606.649,1694.742,2388.976,2244.977,2207.924,3383.061,2346.893
140,1661.396,1764.676,2483.909,2211.87,2186.676,3312.253,2452.559
150,1596.413,1699.398,2465.712,2212.87,2162.413,3393.184,2279.684
160,1688.236,1683.254,2367.231,2235.768,2151.929,3336.908,2338.09
170,1672.267,1634.172,2440.668,2206.768,2127.093,3294.324,2362.294
180,1674.818,1694.324,2409.231,2281.299,2140.12,3284.85,2311.876
190,1647.324,1627.039,2404.918,2259.051,2052.213,3325.055,2276.842
200,1631.729,1628.734,2445.149,2376.712,2085.329,3268.915,2362.373
210,1659.867,1678.902,2469.707,2253.768,2017.671,3195.328,2308.554
220,1666.493,1726.242,2506.365,2396.616,2087.996,3248.348,2309.774
230,1641.653,1620.555,2484.75,2286.237,2076.396,3186.546,2282.537
240,1696.782,1629.332,2451.654,2371.226,2034.08,3229.84,2359.531
250,1634.956,1620.48,2502.077,2331.542,2018.258,3137.87,2323.701
260,1610.871,1685.273,2497.947,2333.418,2048.867,3129.829,2308.881
270,1649.076,1672.957,2482.447,2427.294,2057.973,3132.816,2339.571
280,1613.56,1675.984,2463.649,2386.503,2090.911,3143.628,2401.966
290,1612.089,1612.469,2463.034,2375.695,2010.396,3067.338,2299.09
300,1720.511,1718.594,2445.317,2416.288,2025.924,3137.881,2293.514
310,1653.138,1739.848,2450.226,2473.22,2084.529,3123.106,2313.119
320,1664.4,1709.484,2449.428,2371.458,2063.142,3116.611,2271.486
330,1649.587,1797.77,2428.49,2413.412,2099.747,3146.358,2308.401
340,1672.636,1736.355,2427.279,2467.051,2053.747,3119.949,2351.254
350,1612.298,1710.98,2413.457,2476.475,2031.671,3085.495,2378.616
360,1658.76,1774.953,2390.466,2481.136,2042.893,3109.369,2382.582
370,1578.907,1855.848,2376.798,2500.412,2035.667,3091.638,2379.667
380,1610.382,1806.93,2391.106,2508.955,2069.72,3130.567,2466.797
390,1632.809,1745.164,2375.438,2476.271,2025.058,3004.061,2413.333
400,1608.391,1819.695,2378.755,2447.768,2121.893,3070.386,2425.497
410,1534.262,1731.18,2426.111,2435.209,2115.871,3061.034,2485.78
420,1594.133,1769.246,2349.298,2480.893,2091.578,3094.413,2439.638
430,1589.804,1745.824,2368.966,2432.424,2105.364,3084.539,2413.994
440,1608.631,1717.891,2354,2384.028,2063.067,3063.881,2460.734
450,1629.542,1714.434,2365.558,2445.181,2077.382,3139.43,2395.328
460,1491.311,1724.879,2327.654,2348.107,2005.222,3114.461,2328.655
470,1524.253,1726.852,2333.082,2397.938,2018.631,3147.99,2319.797
480,1474.462,1732.477,2320.678,2461.927,1999.213,3125.645,2384.181
490,1482.351,1783.508,2272.423,2408.621,1992.116,3114.229,2377.61
500,1528.227,1757.219,2395.264,2440.062,1982.302,3187.693,2375.706
510,1517.951,1752.953,2318.168,2429.616,2050.538,3125.471,2318.198
520,1453.667,1683.59,2292.769,2341.175,1997.391,3103.703,2303.119
530,1573.902,1780.863,2382.904,2436.073,2010.782,3168.082,2383.808
540,1566.778,1785.285,2280.428,2458.797,2006.209,3119.099,2292.401
550,1503.871,1742.957,2293.043,2454.056,2101.707,3157.597,2305.678
560,1527.671,1716.594,2344.505,2455.158,2147.529,3151.44,2324.718
570,1481.733,1772.793,2378.019,2447.395,2088.871,3120.601,2286.785
