time,cell 1,cell 2,cell 3,cell 4,cell 5
0,2487.385,1156.577,426.578,448.713,2067.255
10,2441.51,1167.812,433.258,448.382,2076.914
20,2503.755,1156.356,438.658,448.157,1909.692
30,2496.423,1108.207,390.636,461.218,1931.702
40,2496.51,1094.779,428.067,447.87,1928.438
50,2495.716,1102.317,412.036,463.468,1953.688
60,2636.409,1145.736,423.956,497.744,1966.962
70,2628.231,1141.452,456.302,522.672,1907.894
80,2594.375,1176.971,394.698,496.048,1934.139
90,2552.284,1162.423,428.596,457.003,1922.721
100,2588.12,1173.769,440.818,472.891,1969.438
110,2552.88,1176.264,437.124,436.945,1984.471
120,2554.808,1123.231,438.284,447.031,2076.034
130,2529.255,1125.875,445.173,479.225,2022.5
140,2598.385,1144.481,449.133,423.225,2079.399
150,2495.986,1132.933,436.796,487.41,2189.014
160,2391.279,1123.096,415.693,466.154,2136.399
170,2503.63,1179.125,462.222,431.573,2155.461
180,2444.914,1157.962,506.884,402.563,2211.76
190,2521.611,1142.505,437.996,434.679,2229.048
200,2550.562,1114.062,427.369,437.648,2255.25
210,2469.077,1160.159,440.231,447.669,2237.957
220,2462.269,1160.543,417.049,486.02,2255.851
230,2446.255,1196.24,443.596,421.85,2267.13
240,2480.798,1129.913,422.031,464.976,2195.168
250,2463.389,1097.909,448.471,443.993,2098.428
260,2478.053,1091.514,460.124,417.263,2219.885
270,2431.711,1133.442,486.738,459.01,2236.976
280,2410.865,1102.356,444.671,452.263,2211.101
290,2391.755,1119.808,382.858,422.713,2269.601
300,2403.769,1122.149,409.098,491.495,2260.414
310,2398.721,1122.952,449.058,429.843,2219.548
320,2428.803,1152.861,406.142,448.28,2091.543
330,2462.572,1117.784,414.733,442.014,2138.808
340,2463.312,1204.13,410.867,384,2050.264
350,2459.37,1139.337,405.836,428.505,2140.452
360,2427.077,1146.553,442.36,436.935,2084.923
370,2334.433,1172.538,443.307,418.433,2091.154
380,2378.889,1126.519,387.613,377.713,2082.471
390,2346.404,1164.49,394.284,441.488,2089.322
400,2382.596,1113.606,417.876,407.604,2157.971
410,2418.812,1181.529,396.973,416.287,2089.221
420,2427.024,1142.067,409.404,395.102,2137.481
430,2457.586,1153.736,382.204,411.348,2245.058
440,2452.894,1099.697,460.564,451.932,2200.202
450,2468.63,1160.673,391.667,417.201,2244.51
460,2437.692,1147.798,422.822,396.877,2142.024
470,2445.803,1217.106,413.347,375.348,2096.293
480,2411.577,1131.683,368.08,413.41,2110.298
490,2362.673,1116.221,413.8,416.662,2064.567
500,2382.159,1178.192,383.693,445.502,2212.269
510,2282.683,1202.938,385.809,418.519,2246.938
520,2355.385,1078.966,390.564,447.089,2295.817
530,2383.082,1080.226,356.573,412.782,2263.885
540,2309.01,1100.115,393.089,422.799,2363.572
550,2356.072,1138.51,352.849,411.935,2339.375
560,2445.942,1097.01,372.236,440.584,2350.851
570,2322.322,1113.543,366.813,427.027,2424.164
580,2332.188,1121.832,409.524,394.478,2458.245
590,2326.322,1114.601,429.071,382.345,2423.539
600,2371.769,1150.582,425.107,436.236,2445.361
610,2434.726,1167.784,402.013,391.577,2424.389
620,2365.135,1130.553,405.142,412.758,2380.505
630,2418.264,1115.625,395.667,418.724,2468.428
640,2333.947,1091.587,369.836,367.154,2383.582
650,2365.173,1145.928,392.053,369.485,2386.692
660,2324.091,1081.697,417.813,417.826,2363.875
670,2385.519,1108.337,386.671,409.406,2417.625
680,2349.308,1123.769,433.733,421.454,2369.933
690,2414.74,1081.317,387.107,365.314,2346.029
700,2372.346,1104.168,385.356,387.256,2289.457
710,2402.808,1110.062,373.373,352.997,2359.466
720,2405.067,1086.043,407.978,406.304,2350.586
730,2266.769,1092.88,361.071,389.546,2313.572
740,2418.461,1121.688,399.773,355.198,2297.649
750,2403.269,1037.721,400.022,395.154,2355.192
760,2419.654,1007.072,366.32,334.403,2349.486
770,2424.543,1052.264,431.284,379.614,2330.899
780,2324.846,1127.144,380.622,391.003,2318.952
790,2478.692,1089.144,392.987,384.805,2369.173
800,2412.303,1119.457,375.027,346.532,2375.173
810,2399.452,1057.663,364.716,348.198,2413.99
820,2366.567,1070.49,329.08,359.369,2372.255
830,2409.731,1003.827,383.738,356.904,2329.99
840,2407.269,1043.288,368.169,385.198,2408.418
850,2405.115,1065.995,386.702,373.014,2385.341
860,2495.356,1090.755,407.422,376.648,2393.49
870,2354.673,1107.096,382.858,327.962,2361.702
880,2422.558,1053.74,347.613,358.532,2281.534
890,2389.197,1038.639,372.578,364.686,2257.106
900,2377.308,1053.255,391.258,360.208,2233.274
910,2416.784,1061.832,389.769,359.188,2385.74
920,2504.192,1081,374.351,370.43,2397.115
930,2437.87,1108.447,376.151,349.058,2393.673
940,2423.505,1067.365,361.351,393.604,2285.389
950,2452.24,1059.356,405.049,391.007,2361.812
960,2423.697,1104.697,359.333,342.119,2336.865
