time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10
0,4361.808,2107.249,858.316,1799.471,970.968,2501.562,2636.373,2209.996,1907.924,2169.338
10,4274.725,2090.708,915.532,1748.081,1008.848,2417.531,2613.787,2213.351,1853.396,2166.027
20,4301.593,2026.771,927.022,1730.281,993.079,2495.255,2669.036,2205.684,1839.782,2176.084
30,4352.318,2057.734,952.642,1775.344,994.509,2521.701,2674.396,2232.316,1830.591,2212.92
40,4449.453,2085.169,912.487,1751.148,1015.633,2585.279,2586.382,2185.418,1853.102,2190.609
50,4362.842,2083.905,835.684,1767.151,1015.566,2550.688,2609.64,2180.387,1871.169,2180.387
60,4388.499,2130.203,925.994,1777.693,1004.418,2446.445,2584.36,2026.751,1823.391,2026.271
70,4344.762,2086.364,900.225,1667.516,973.915,2502.583,2658.28,2076.733,1869.138,2080.396
80,4382.458,2066.693,960.25,1764.638,986.453,2475.396,2737.849,2059.627,1948.373,2060.253
90,4318.447,2053.799,971.766,1708.721,996.038,2533.268,2672.849,2068.844,1903.827,2047.364
100,4292.175,2113.072,918.31,1703.867,996.117,2449.109,2653.316,2079.404,1965.769,2015.436
110,4112.648,2103.653,886.994,1719.964,1018.627,2464.682,2640.951,2083.093,1982.684,2069.987
120,4266.805,2105.799,953.797,1724.336,982.275,2495.021,2548.76,2019.693,1910.364,1995.031
130,4280.149,2139.063,915.965,1758.844,929.601,2444.99,2607.502,2065.24,1902.902,2044.907
140,4236.642,2050.215,865.924,1755.833,947.155,2477.255,2600.373,2058.071,1942.236,2060.658
150,4263.86,2096.023,899.725,1687.328,952.373,2611.927,2569.867,1995.644,1857.844,1960.418
160,4381.438,2105.564,869.487,1740.568,971.646,2547.724,2491.093,2028.36,1914.951,1969.613
170,4368.338,2122.049,921.68,1741.503,964.335,2526.885,2537.88,2007.76,1936.191,1996.396
180,4284.421,2088.427,896.136,1726.336,947.747,2501.914,2588.982,1952.307,1917.084,1953.316
190,4283.06,2024.521,974.304,1746.128,978.405,2545.388,2570.893,1914.622,1911.516,1896.107
200,4199.527,2100.9,870.256,1648.987,958.237,2564.87,2569.547,2036.311,1866.191,2004.68
210,4162.072,1990.307,882.845,1717.336,985.32,2562.737,2635.04,1851.551,1880.698,1831.938
220,4245.685,2044.845,875.301,1697.878,927.443,2487.44,2660.338,1909.8,1830.449,1869.738
230,4172.585,2043.98,883.794,1680.964,905.358,2507.552,2531.076,1959.2,1845.129,1949.444
240,4153.054,2040.653,856.43,1726.081,941.934,2514.349,2628.996,1936.187,1820.267,1905.053
250,4237.246,2053.699,896.016,1846.961,961.722,2525.562,2635.4,1998.142,1847.373,1987.578
260,4159.338,2085.719,881.427,1737.055,892.965,2538.099,2676.244,1944.911,1827.569,1890.378
270,4152.957,2088.275,918.009,1747.721,968.959,2513.237,2607.422,1936.831,1770.356,1872.853
280,4144.372,2120.298,883.75,1784.854,928.468,2540.005,2649.96,1992.067,1723.356,1926.698
290,4192.117,2051.481,886.943,1748.719,961.332,2531.846,2648.018,1935.324,1808.511,1886.684
300,4268.043,2084.533,846.94,1741.667,915.769,2471.193,2638.991,2017.671,1742.307,1917.871
310,4257.066,2103.596,858.646,1743.021,921.158,2533.521,2647.609,2013.787,1769.129,1918.529
320,4353.788,2084.209,901.835,1747.424,947.769,2489.891,2628.102,2015.102,1740.738,1953.911
330,4205.33,2079.117,811.934,1763.133,962.554,2468.169,2636.662,2029.742,1768.831,1961.284
340,4201.765,2059.656,824.975,1698.352,968.826,2453.221,2612.489,1988.431,1714.787,1926.053
350,4208.573,2091.501,805.693,1733.865,926.614,2478.953,2766.111,2003.138,1788.2,1945.338
360,4279.553,2072.209,857.022,1741.221,910.57,2423.896,2711.627,1986.698,1774.276,1876.258
370,4264.917,2093.951,877.63,1727.87,958.386,2455.414,2731.876,1990.16,1840.502,1909.853
380,4290.074,2100.438,827.94,1722.82,929.244,2401.682,2698.751,1989.796,1772.773,1952.556
390,4392.438,2052.539,874.797,1731.859,925.532,2420.792,2649.813,2063.911,1841.698,1983.853
400,4325.072,2011.57,856.481,1720.859,942.218,2417.87,2698.356,2014.969,1821.56,1959.68
410,4257.026,2089.404,820.877,1708.424,942.623,2403.943,2660.12,2016.347,1808.4,1958.2
