time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9
0,1680.28,1792.928,1825.844,1978.616,1563.547,1130.387,742.63,2057.897,2160.455
10,1637.4,1718.667,1852.116,2049.812,1503.394,1115.227,724.649,2095.588,2134.641
20,1658.262,1762.957,1858.671,1964.839,1467.971,1165.922,674.087,2043.938,2177.532
30,1628.449,1729.928,1839.484,2075.67,1560.825,1152.988,707.048,2144.289,2183.199
40,1620.729,1594.319,1741.613,2044.732,1435.248,1098,671.736,2025.619,2082.679
50,1571.018,1653.188,1840.138,2048.938,1484.861,1249.887,736.25,2164.948,2112.083
60,1640.693,1691.13,1909.262,2046.589,1430.036,1220.98,623.788,2221.856,2167.647
70,1646.262,1653.725,1966.729,1986.955,1470.46,1249.215,703.49,2158.062,2138.09
80,1638.467,1493.507,1868.556,1978.83,1525.956,1261.762,666.159,2157.907,2228.167
90,1604.564,1624.623,1882.396,2088.598,1473.861,1141.391,712.399,2257.67,2143
100,1555.484,1550.362,1759.72,2009.821,1438.314,1163.727,726.245,2187.959,2155.974
110,1615.053,1726.391,1878.636,1992.795,1484.248,1227.859,721.25,2170.753,2143.122
120,1640.569,1611.841,1914.138,2077.857,1528.569,1211.121,696.601,2257.237,2105.635
130,1572.524,1767.986,1810.822,1931.045,1638.109,1212.898,690.399,2252.021,2103.109
140,1547.182,1718.232,1797.684,1954.875,1597.438,1135.262,667.279,2257.732,2116.301
150,1570.458,1703.246,1834.858,1904.045,1557.978,1143.453,688.697,2199.041,2112.199
160,1621.213,1740.652,1823.236,2016.161,1528.489,1178.957,717.812,2205.567,2201.494
170,1540.756,1737.594,1803.307,1994.929,1569.474,1136.625,674.942,2257.691,2219.981
180,1557.982,1669.449,1814.098,2024.661,1562.234,1141.977,697.337,2100.856,2111.109
190,1560.249,1703.884,1794.204,1956.679,1550.212,1166.793,622.034,2155.907,2131.353
200,1549.871,1777.507,1819.862,1922.884,1489.285,1168.977,647.966,2167.588,2126.038
210,1531.662,1730.87,1819.111,2020.116,1479.883,1177.398,685.471,2153.691,2087.41
220,1530.271,1791.551,1841.764,2008.67,1483.693,1165.645,665.947,2073.784,2132.878
230,1548.28,1854.232,1883.462,1991.089,1546.555,1130.738,622.654,2029.381,2154.205
240,1513.738,1669,1802.68,2000.518,1509.27,1130.02,653.716,2221.546,2074.776
250,1474.996,1742.043,1856.147,1893.67,1496.693,1175.211,655.837,2184.309,2105.378
260,1528.876,1749.188,1834.338,1952.929,1520.942,1096,622.096,2157.505,2042.59
270,1490.813,1700.42,1850.511,1885.67,1465.058,1112.598,609.5,2269.289,2082.372
280,1531.613,1738.391,1792.893,1910.134,1384.474,1149.781,611.317,2113.918,2082.212
290,1440.133,1721.899,1864.236,1917.607,1426.613,1147.508,685.101,2071.361,2081.936
300,1498.396,1679.406,1928.698,1949.857,1310.891,1087.164,654.99,2064.505,2026.827
310,1483.462,1648.304,1812.711,1875.625,1455.613,1053.746,624.918,2134.196,2045.333
320,1527.938,1825.072,1844.631,1896.223,1498.591,1099.883,617.524,2059.01,2158.744
330,1515.707,1742.348,1801.253,1788.964,1491.781,1121.824,654.341,2115.402,2095.532
340,1524.751,1648.623,1831.147,1782.33,1391.343,1132.859,657.534,2068.464,2115.019
350,1537.476,1715.58,1810.436,1831.295,1395.533,1159.883,644.216,2034.485,2145.333
360,1442.809,1564.841,1784.871,1848.964,1383.394,1126.754,630.192,2117.33,2119.904
370,1525.653,1625.072,1826.916,1731.884,1377.124,1074.336,647.019,2036.155,2149.397
380,1477.093,1607.681,1782.378,1771.232,1505.876,1124.453,619.312,2070.103,2095.545
390,1521.813,1709.812,1741.871,1843.812,1426.555,1118.074,660.76,2075.835,2170.353
400,1524.333,1675.681,1751.289,1799.482,1393.613,1025.527,629.812,1958.309,2174.75
410,1485.956,1522.362,1717.684,1844.589,1484.664,1121.426,718.861,1992.835,2143.417
420,1510.369,1613.261,1711.16,1858.875,1498.584,1115.562,666.659,2034.753,2184.571
430,1543.64,1523,1775.356,1860.393,1469.832,1104.852,621.832,2049.505,2131.974
440,1499.311,1668.232,1810.138,1874.795,1621.854,1091.867,618.49,1989.588,2126.256
450,1484.68,1641.29,1815.987,1918.205,1583.672,1106.891,622.394,1995.959,2215.423
460,1507.8,1644.478,1695,1855.857,1596.336,1071.395,628.5,2000.536,2191.006
470,1531.756,1731.522,1738.262,1837.527,1614.839,1105.398,633.62,2045.021,2289.436
480,1544.964,1575.449,1707.733,1716.402,1638.569,1055.781,630.49,2080,2203.045
490,1467.68,1611.362,1834.773,1846.83,1626.482,1096.551,650.216,2047.753,2166.679
500,1529.204,1608.058,1790.551,1723.196,1633.723,1036.488,615.01,2136.268,2212.321
510,1502.231,1580.362,1765.302,1794.312,1603.46,1107.266,631.423,1995.206,2190.506
520,1450.302,1628.058,1717.871,1700.625,1519.27,1100.027,595.226,2008.938,2144.865
530,1499.884,1569.696,1738.307,1706.661,1506.752,1066.906,660.385,2126.423,2151
540,1528.613,1715.594,1747.778,1705.768,1615.073,1139.676,653.558,2036.99,2170.41
550,1495.102,1669.493,1743.698,1818.25,1588.737,1157.477,631.404,2109.577,2182.936
560,1500.04,1732.232,1820.502,1704.607,1609.591,1071.16,623.111,2068.825,2106.667
570,1489.138,1651.71,1802.898,1795.777,1666.285,1097.445,614.058,2085.691,2139.205
580,1447.382,1670.841,1762.24,1747.259,1621.226,1037.395,639.779,2144.196,2214.583
590,1499.413,1686.014,1728.133,1789.58,1614.956,1072.633,645.519,2120.072,2237.186
600,1425.476,1756.58,1737.911,1779.259,1601.409,1083.32,630.668,2138.186,2095.378
610,1475.893,1611.652,1702.978,1686.768,1631.153,1061.453,634.154,2137.897,2105.269
620,1447.547,1639.812,1759.498,1658.625,1522.263,1070.902,629.856,2220.897,2174.372
630,1482.298,1653.884,1728.649,1686.598,1628.599,1125.371,603.942,2099.577,2223.513
640,1480.418,1536.957,1766.462,1743.634,1619.905,1056.754,599.938,2156.598,2095.045
650,1517.556,1605.725,1793.511,1739.946,1506.62,1083.613,600.019,2095.124,2156.212
