time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18
0,4320.462,7074.117,6717.884,5290.938,4210.02,6161.985,6609.639,4946.299,3077.776,7472.647,6889.876,4956.701,5980.258,4200,8985.887,5810.052,4814.45,5075.394
20,4284.275,7026.003,6750.898,5265.629,4277.312,6051.471,6613.825,4759.737,3157.705,7412.295,6800.839,5005.722,5903.928,4244.124,9025.31,5667.052,4717.85,5215.007
40,4252.018,7073.203,6737.205,5255.859,4225.637,5977.779,6477.619,4806.795,3222.513,7238.84,6847.671,4894.887,5984.526,4214.969,9212.763,5854.237,4700.163,5322.416
60,4621.987,6391.725,6457.849,4928.418,3994.977,5678.832,6096.649,4497.671,2860.378,6981.583,6676.81,4722.413,4974.691,3762.237,9245.072,5449.206,4631.013,5382.139
80,4378.009,6437.209,6454.529,4970.984,3983.664,5636.582,5970.897,4563.861,2862.359,6872.263,6680.08,4699.577,5051.052,3757.546,9412.547,5395.062,4770.538,5300.803
100,4227.516,6386.937,6379.991,4900.234,4081.121,5676.255,5779.876,4538.81,2888.308,7002.372,6762.022,4614.062,5093.258,3625.433,9826.217,5533.649,4715.987,5253.233
120,4310.596,6442.013,6345.693,4963.352,4081.863,5686.673,5790.423,4503.299,2813.987,6832.667,6799.949,4564.237,4966.505,3413.351,10056.804,5468.413,4931.475,5196.372
140,4321.364,6465.357,6575.32,4918.742,4042.66,5606.909,5658.052,4661.555,2862.603,6940.526,6703.891,4375.474,5100.701,3363.175,10047.928,5552.371,4825.688,5091.584
160,4365.88,6432.506,6462.449,5036.832,4041.652,5712.274,5707.814,4692.109,2775.744,6834.173,6836.905,4470.742,5017.711,3282.299,10254.186,5500.278,4830.975,5099
180,4401.293,6334.13,6587.782,5070.883,4043.234,5681.418,5781.175,4622.124,2727.622,7041.609,6751.832,4583.917,4910.887,3230.928,10151.64,5576.546,4964.175,5048.679
200,4362.795,6279.813,6567.24,5217.723,4032.82,5687.539,5874.021,4615.219,2705.564,7208.878,6706.073,4601.516,5143.402,3375.866,10075.701,5554.773,4871.438,4870.051
220,4445.222,6224.047,6656.04,5205.453,3966.781,5765.25,5833.546,4619.109,2745.353,7303.487,6761.854,4658.072,5047.155,3430.371,10177.773,5545.381,4871.013,4884.153
240,4470.093,6153.402,6773.125,5182.965,3921.73,5726.38,5982.587,4548.205,2684.769,7302.301,6678.621,4647.763,5023.66,3398.917,10276.052,5669.67,4810.212,4954.577
