time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17,cell 18
0,3853.422,5530.218,6486.414,5240.367,4561.316,5200.192,3862.113,4247.372,4691.154,5228.397,5522.394,3458.897,3905.917,3480.34,4858.103,5700.825,7108.3,5522.102
20,3884.853,5472.199,6463.431,5258.887,4473.172,5232.36,3869.763,4177.102,4862.455,5071.103,5361.357,3370.763,3962.433,3583.588,4953.639,5629.392,7076.913,5621.547
40,3903.338,5506.639,6378.009,5226.129,4590.84,5248.822,3891.68,4002.978,4865.737,5002.84,5425.343,3352.546,3944.701,3562.299,5131.413,5766.577,6994.987,5833.365
60,3551.684,3793.801,5548.924,4102.812,3149.098,4254.178,3040.196,3027.168,3220.942,2808.019,4289.066,1875.68,1784.32,1714.361,2641.959,4027.206,6459.538,4149.708
80,3494.125,3670.538,4985.529,3872.723,3185.242,4095.159,2729.381,2743.54,3027.673,2504.487,3928.036,1834.392,1745.113,1818.639,2362.948,3764.361,6370.425,4181.007
100,3547.72,3546.918,4850.462,3688.332,3267.098,4031.495,2612.144,2789.445,2927.365,2520.211,3893.839,1923.557,1656.124,1815.412,2407.577,3709.144,5777.263,3998.073
120,3628.724,3656.82,4652.586,3724.488,3395.406,4029.885,2543.639,2871.234,3028.539,2470.782,3796.051,1934.01,1781.165,1812.484,2427.371,3834.361,5874.35,4097.263
140,3689.173,3630.883,4694.809,3716.789,3323.637,3857.25,2432.505,2847.723,3165.545,2436.506,3871.73,1861.134,1712.35,1849.753,2444.247,3657.814,5823.225,4126.569
160,3623.635,3681.516,4609.48,3809.426,3447.516,3904.216,2467.093,2897.058,3081.846,2379.667,3789.088,1923.928,1672.68,1924.763,2365.402,3640.217,5977.5,4357.248
180,3739.595,3687.924,4697.32,3775.543,3508.824,3788.111,2535.093,2917.438,3124.058,2424.199,3751.752,2058.072,1808.608,1908.103,2413.732,3752.804,5956.087,4422.562
200,3581.458,3658.728,4659.333,3872.875,3453.75,3871.207,2474.866,2845.642,3153.628,2457.635,3661.131,2077.526,1742.505,1919.454,2315.794,3638.783,5749.775,4377.482
220,3562.925,3675.987,4623.747,3933.43,3482.969,3832.082,2352.68,2890.504,3085.045,2451.41,3684.832,2007.247,1679.083,1937.33,2337.217,3698.835,5858.6,4253.131
240,3511.609,3684.706,4679.311,3896.012,3502.203,3718.736,2546.454,2927.818,2952.013,2510.461,3706.453,1907.814,1791.484,1955.258,2407.062,3708.567,5614.337,4362.401
260,3461.258,3560.383,4789.52,3794.031,3491.625,3620.236,2452.907,2838.431,2963.519,2485.397,3618.321,1995.206,1565.938,2027.577,2401.258,3683.845,5608.212,4248.628
280,3400.044,3609.155,4851.538,3749.785,3429.578,3581.226,2589.062,2730.759,2886.295,2405.853,3643.365,1982.99,1679.062,2025.577,2403.536,3419.835,5242.425,4150.475
300,3485.058,3563.927,4929.773,3786.461,3587.457,3560.062,2691.113,2543.307,2848.289,2524.186,3654.825,2023.546,1670.691,1961.629,2463.515,3510.289,5192.3,4073.044
320,3325.151,3405.554,4880.84,3628.289,3465.664,3434.817,2640.083,2419.321,2917.923,2529.808,3576.927,1922.814,1622.186,2020.196,2359.093,3680.258,5094.225,3937.796
340,3342.791,3270.807,4954.88,3699.777,3486.59,3514.289,2533.454,2307.715,2835.436,2547.045,3613.073,1910.608,1635.804,1942.072,2337.32,3431.392,4968.538,3944.818
360,3256.582,3196.782,4983.235,3732.102,3434.414,3468.231,2675.227,2386.197,2790.763,2513.558,3647.431,2044.041,1632.711,2014.979,2242.866,3349.701,4890.362,3842.175
380,3195.142,3057.136,5027.84,3741.434,3319.508,3465.755,2841.052,2404.774,2806.096,2494.526,3629.847,1822.928,1816.474,1851.433,2251.258,3415.01,4747.075,3742.796
400,3232.173,3047.769,4877.685,3703.543,3385.953,3459.346,2736.763,2321.299,2865.519,2561.058,3644.81,1825.206,1780.124,1859.516,2105.206,3400.969,4570.975,3675.942
420,3248.511,2939.405,4788.556,3740.988,3309.191,3416.269,2829.206,2217.117,2964.141,2549.301,3683.029,1807.33,1805.299,1865.392,2186.495,3405.897,4525.513,3598.299
440,3254.538,2908.842,5118.84,3774.328,3287.906,3356.317,2667.722,2230.029,2936.539,2594.603,3575.635,1769.629,1771.763,1822.35,2353.134,3262.32,4389.638,3495.139
460,3106.098,2776.883,4970.093,3713.578,3305.426,3191.471,2812.66,2221.869,2902.385,2691.218,3482.533,1673.722,1624.083,1838.67,2311.495,3114.433,4338.425,3379.299
480,2986.964,2715.076,4934.275,3631.453,3219.023,3192.308,2666.619,2148.175,2907.263,2564.737,3558.161,1689.474,1786.928,1676.577,2157.299,3152.423,3948.188,3434.241
500,3071.818,2672.364,4995.564,3632.391,3269.027,3137.034,2751.165,2118.387,2910.237,2586.006,3578.759,1668.845,1837.165,1807.959,2338.856,3075.866,3801.3,3401.591
