time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13
0,1815.1,1688.333,1289.6,988.65,674.971,1217.458,2478.021,682.567,1944.547,1967.768,1801.905,1151.5,943.125
20,1762.075,1674.174,1407.037,1002.513,726.623,1203.407,2485.783,634.309,1852.139,1995.089,1818.745,1073.812,983.05
40,1803.375,1724.478,1318.5,1066.912,757.855,1224.723,2389.629,631.052,1887,1847.679,1817.226,1080.45,1026.725
60,1813.125,1455.536,1299.575,1077.762,748.232,1157.678,2556.753,739.814,1878.146,1870.464,1782.869,1109.338,1027.262
80,1779.637,1401.609,1232.312,974.688,756.435,1151.209,2564.804,793.598,1893.869,1903.232,1840.934,1107.137,950.075
100,1658.363,1501.464,1174.762,919.575,782.942,1199.418,2487.732,751.103,1958.803,1896.929,1770.693,1147.012,1047.25
120,1631.812,1420.855,1226.762,942.625,758.13,1167.831,2545.917,749.175,1974.504,1913.723,1835.423,1222.55,1048.637
140,1651.938,1344.319,1230.338,981.188,820.449,1175.831,2394.474,741.206,1921.058,1892.839,1880.372,1231.625,1021.675
160,1568.463,1507.319,1230.137,956.838,794.812,1123.441,2453.608,747.072,1946.577,1868.509,1872.073,1279.375,1096.488
180,1727.863,1499.638,1233.375,1028.725,826.246,1136.294,2337.01,726.01,1982.715,1875.321,1862.088,1300.675,1017.375
200,1643.188,1375.203,1242.625,1018.513,824.986,1165.299,2391.825,721.948,1828.526,1866.205,1830.905,1300.738,1067.575
220,1710.562,1462.667,1239.762,1039.95,827.812,1138.791,2448.608,788,1916.299,1870.491,1812.708,1324.325,1042.15
240,1635.475,1400.101,1203.012,1064.812,754.739,1109.282,2387,731.196,1871.964,1845.25,1809.314,1364.775,1009.25
260,1582.875,1463.406,1295.863,1008.625,759.159,1177.169,2338.165,715.711,1850.657,1767.884,1761.766,1315.35,1061.2
280,1592.1,1398.58,1269.2,1009.938,741.478,1173.282,2478.433,759.289,1923.591,1742,1745.737,1330.625,1036.312
300,1586.925,1469.435,1183.963,1053.488,770.739,1226.994,2487.763,739.031,1885.759,1865.42,1762.825,1264.025,994.487
320,1476.25,1315.246,1200.8,1050.475,795.594,1247.22,2515.588,714.402,2010.912,1791.277,1721.599,1314.162,1041
340,1527.35,1505.522,1206.812,995.588,772.957,1292.164,2504.639,723.227,1990.372,1842.875,1721.62,1255.475,1059.262
360,1433.375,1546.232,1214.238,1057.475,799.072,1286.96,2564.928,659.907,2061.066,1864.446,1645.416,1254.25,1008.912
380,1496.575,1644.101,1215.637,1039.162,824.826,1342.61,2567.804,679.01,2082.299,1864.009,1685.985,1284.675,1073.738
400,1512.312,1666.087,1189.65,1065.475,797.087,1316.893,2524.134,676.845,2079.642,1950.125,1685.686,1270.275,1116.262
420,1450.3,1559.884,1139.488,1043.588,761.638,1323.91,2555.402,719.412,2130.212,1925.982,1674.438,1263.412,1154.762
440,1576.188,1675.13,1177.725,1048.562,825.348,1334.847,2551.969,676.33,2066.635,1910.705,1665.964,1295.637,1096.287
460,1506.887,1722.725,1203.05,1022.737,846.739,1345.588,2656.474,689.144,2056.978,1843.92,1653.599,1289.963,1085.725
480,1668.775,1697.145,1240.412,1052.875,794.623,1336.073,2666.474,679.309,2115.861,1931.304,1649.423,1328.35,994.912
500,1598.688,1731.841,1223.325,1025.188,791.522,1365.576,2630.546,713.948,2086.307,1920.17,1636.401,1320.838,1104.387
520,1527.175,1653.391,1193.412,1030.262,794.783,1377.13,2610.866,665.082,2097.204,1984.795,1661.891,1345.45,1115.838
540,1573.287,1660.188,1207.762,1077.662,770.855,1440.13,2756.598,685.299,2099.599,2109.411,1634.635,1354.238,1062.775
560,1688.325,1694.42,1279,1066.363,770.652,1439.243,2723.928,700.103,2118.46,2144.527,1601.372,1267.925,1123.45
580,1600.787,1764.942,1297.488,1057.375,750.725,1437.237,2693.423,691.186,2012.839,2110.545,1578.401,1308.637,1152.738
600,1631.512,1778.565,1312.637,1094.5,801.899,1531.559,2569.897,676.124,2067.212,2193.277,1541.956,1306.05,1162.05
