time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15,cell 16,cell 17
0,3894.175,4268.853,5587.361,4954.928,1707.95,4437.015,2932.232,1780.737,3487.8,4117.84,2885.446,3883.577,2531.085,5142.294,3149.667,4410.468,4068.159
20,3748.959,4260.68,5440.979,4819.435,1734.387,4359.861,2768.447,1778.718,3581.275,4026.395,2902.389,3693.608,2398.096,5146.458,3191.258,4365.878,3861.275
40,3749.412,4248.353,5659.392,4804.464,1784.25,4455.752,2852.741,1696.532,3565,4106.844,2875.75,3709.381,2339.107,5154.079,3237.329,4442.391,3967.42
60,3368.567,3826.205,5148.67,4287.029,1721.45,3945.533,2716.607,1626.75,3241.775,4050.547,2593.478,3699.526,2420.186,3645.763,2912.556,3742.853,3507.928
80,3421.247,3829.141,5127.516,4292.333,1680.25,3773.686,2790.643,1645.244,3194.5,4197.223,2585.082,3673.742,2319.633,3723.034,2933.462,3568.045,3860.971
100,3371.103,3915.917,5227.876,4323.87,1653.175,3765.139,2878.178,1649.231,3172.7,4096.922,2552.462,3630.165,2295.65,3714.085,3022.653,3657.397,4190.029
120,3300.753,4005.865,5107.351,4393.015,1811.375,3910.942,2991.027,1664.167,3342.475,4180.887,2612.028,3703.711,2430.226,3653.429,3127.849,3577.615,4133.493
140,3320.124,3939.667,5183.835,4383.435,1803.575,3948.766,2943.518,1696,3153.375,4294.965,2578.513,3746.794,2448.141,3716.271,3181.916,3567.846,3932.449
160,3334.608,3925.84,5081.732,4285.797,1720.863,3991.759,2956.688,1681.077,3191.825,4320.867,2595.835,3600.536,2396.864,3742.994,3326.573,3523.673,3671.014
180,3410.526,3972.295,5005.072,4347.029,1757.363,3970.92,2896.688,1752.231,3110,4403.227,2576.864,3435.206,2407.435,3719.333,3472.391,3448.801,3508.913
200,3372.124,3967.66,5179.392,4381.87,1806.312,3935.394,2856.643,1682.378,3142.825,4342.512,2548.706,3535.577,2413.401,3737.429,3468.013,3372.846,3510.87
220,3298.969,3843.795,5196.722,4294.435,1711.137,4076.504,2870.607,1766.013,3227.688,4384.574,2570.487,3534.443,2426.554,3604.254,3485.604,3305.199,3769.768
240,3216.588,3795.25,5132.516,4189.841,1651.55,4017.599,2775.223,1746.141,3205.438,4369.387,2522.377,3331.649,2369.339,3580.994,3411.324,3362.346,3634.797
260,3212.443,3818.096,5125.99,4265,1611.4,3929.978,2811.991,1704.635,3210.95,4478.457,2522.472,3372.423,2410.768,3587.237,3506.969,3326.263,3654.667
280,3250.392,3770.058,5073.959,4197.594,1681.537,3935.978,2693.848,1696.481,3142.95,4529.219,2524.791,3425.196,2374.277,3536.175,3530.751,3322.885,3688.13
300,3228.433,3768.308,5054.887,4134.333,1589.6,3891.898,2638.634,1610.353,3160.95,4423.652,2499.715,3401.907,2345.797,3480.034,3580.947,3311.833,3816.29
320,3116.557,3741.269,4878.701,4197.261,1710.9,3740.73,2707.464,1652.776,3168.588,4442.785,2497.009,3435.701,2316.254,3559.712,3599.853,3330.737,3871.884
340,3130.381,3651.09,4881.392,4039.565,1644.5,3650.095,2714.866,1646.577,3091.4,4375.629,2440.873,3313.856,2342.52,3615.751,3552.644,3215.179,3993.522
360,3102.052,3620.994,4792.361,3985.725,1622.8,3696.036,2615.464,1680.968,3088.438,4462.473,2416.858,3368.907,2347.684,3430.22,3594.551,3270.397,4070.986
380,3134.887,3681.058,4804.33,4103,1660.363,3720.343,2648.107,1691.718,3076.475,4322.992,2418.117,3422.474,2307.96,3462.763,3644.92,3274.192,4127.623
400,3137.876,3624.096,4838.66,3544.043,1621.35,3826.628,2592.411,1700.308,3124.412,4330.668,2354.13,3355.381,2349.395,3442.525,3570.173,3203.327,4253.348
420,3165.237,3594.692,4928.134,3937.841,1664.325,3711.292,2679.938,1654.712,2996.575,4301.391,2372.149,3402.804,2280.949,3455.096,3619.369,3262.327,4152.188
440,3110.454,3576.827,5031.196,3956.507,1640.512,3654.832,2636.741,1673.141,2928.95,4295.672,2290.307,3303.371,2406.107,3370.915,3533.711,3298.513,4054.304
460,3218.01,3614.981,5207.959,3945.623,1604.512,3701.569,2631.214,1643.064,2904.412,4229.625,2282.864,3332.227,2389.605,3504.52,3585.671,3197.192,3943.652
480,3187.691,3621.385,4995.134,3953.058,1600.963,3683.635,2578.955,1713.321,2895.037,4228.215,2230.282,3165.381,2369.944,3507.271,3419.667,3193.962,3719.449
500,3276.443,3613.66,5117.887,4163.42,1618.762,3799.533,2620.518,1639.263,2809.45,4357.82,2266.734,3118.206,2326.853,3465.266,3467.689,3208.404,3966.812
520,3408.144,3588.231,5116,4235.493,1660.887,3819.898,2637.857,1607.532,2766.7,4406.875,2259.158,3209.041,2311.147,3478.181,3513.827,3273.795,3977.478
540,3391.052,3551.827,5038.505,4036.261,1597.488,3924.934,2507.723,1596.635,2728.262,4357.164,2231.282,3258.423,2339.073,3420.853,3373.56,3353.224,4049.681
560,3431.856,3604.833,5115.464,3995.087,1570.238,3883.562,2556.527,1568.641,2801.5,4278.852,2194.275,3135.01,2374.401,3423.684,3443.791,3418.115,4031.913
580,3313.639,3590.058,4953.351,4149.768,1690.425,3867.321,2531.322,1581.776,2670.675,4313.699,2164.361,3110.124,2277.452,3469.333,3423.782,3292.295,3951.855
600,3281.309,3528.096,5103.598,3976.217,1629.125,3959.825,2496.723,1658.359,2780.275,4205.605,2164.032,3043.505,2294.847,3404.452,3270.107,3303.115,3995.464
620,3340.639,3606.167,5076.474,4097.753,1595.775,4013.693,2487.312,1658.532,2807.188,4223.762,2206.848,3123.113,2282.226,3396.169,3357,3390.981,3715.435
640,3339.773,3602.077,5032.907,4402.377,1571.863,3876.672,2518.402,1710.327,2737.812,4284.445,2168.627,3271.072,2322.158,3452.056,3366.978,3354.103,3656.942
660,3412.299,3613.506,4932.258,4727.478,1525.2,3951.65,2542.616,1700.462,2651.1,4163.109,2173.858,3093.887,2286.932,3391.638,3303.124,3434.321,3732.609
680,3315.856,3654.442,5018.917,4504.435,1589.762,3863.292,2523.036,1661.949,2795.825,4213.457,2172.389,3247.577,2279.763,3346.672,3274.716,3468.782,3844.681
700,3310.072,3623.199,5237.577,4720.826,1556.488,3970.759,2595.125,1715.083,2812.637,4098.906,2219.972,3242.34,2276.158,3334.147,3176.88,3533.679,3696.449
720,3285.186,3598.487,5244.021,4657.58,1625.387,3805.832,2533.875,1641.788,2855.475,4112.273,2187.234,3051.505,2280.271,3313.305,3277.418,3543.673,3680.739
740,3430.67,3692.115,5169.567,4654.449,1580.175,3726.314,2511.866,1645.218,2807.812,4435.797,2181.396,3213.536,2363.395,3173.192,3105.711,3623.179,3469.087
760,3458.866,3747.487,5371.887,4854.652,1572.537,3825.803,2522.634,1697.75,2869.6,4529.035,2158.323,3181.691,2328.192,3258.633,3051.756,3733.353,3610.725
780,3468.711,3664.211,5482.01,4791.696,1598.812,3837.416,2587.411,1638.327,2798.588,4682.574,2171.829,3127.34,2287.87,3316.881,3015.693,3730.141,3620.188
800,3519.227,3609.833,5665.464,4426.304,1575.75,3888.438,2542.241,1624.564,2739.137,4567.484,2220.054,3174.216,2348.638,3393.435,2967.782,3672.84,3628.232
820,3584.495,3674.289,5412.299,4735.42,1625.6,3914.518,2469.661,1544.25,2931.225,4596.109,2191.975,3108.732,2268.853,3369.52,2979.133,3731.192,3605.841
840,3389.959,3716.551,5660.175,3863.725,1649.475,3983.328,2556.678,1506.224,2877.375,4543.969,2241.009,3184.227,2337.169,3427.079,3039.187,3787.109,3437
860,3534.196,3768.417,5318.639,4852.507,1662.338,3970.175,2627.42,1456.494,2737.463,4645.945,2176.82,3227.804,2366.548,3415.802,2929.147,3799.147,3320.217
880,3506.598,3602.686,5489.784,4605.58,1710.575,3971.555,2546.777,1461.404,2956.325,4590.977,2198,3177.804,2380.034,3300.96,2908.276,3659.936,3349.638
900,3370.217,3628.558,5498.484,4832.261,1677.162,3967.007,2547.973,1467.404,2911.45,4499.145,2207.513,3211.093,2350.232,3291.412,2971.951,3615.455,3305.493
920,3496.68,3642.929,5733.093,4812.985,1724.6,3983.949,2616.188,1470.019,2832.125,4532.891,2202.028,3243.577,2372.836,3220.701,3092.56,3555.923,3314.681
940,3529.041,3577.711,5618.454,4721.42,1641.475,3972.511,2467.777,1431.647,2773.475,4569.105,2170.377,3175.175,2367.588,3158.859,3009.093,3551.75,3505.464
960,3448.742,3666.333,5565.629,4508.13,1641.325,3994.036,2565.938,1439.006,2891.225,4596.477,2188.741,3215.072,2319.35,3318.949,3005.382,3517.353,3576.913
