time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13
0,7306.072,7830.231,7004.404,5620.4,5378.808,7468.721,5224.87,8101.32,5112.447,5107.509,7722.598,5928.435,3207.422
20,7342.159,7737.039,6931.707,5595.444,5344.506,7413.572,5339.471,8094.711,5041.711,5057.429,7657.794,6017.174,3103.73
40,7327.875,8014.159,6997.909,5569.267,5503.891,7388.49,5508.159,8293.955,5225.803,5051.625,7581.68,5998.681,3138.148
60,7118.356,7740.625,6830.995,5565.56,5440.654,7262.61,5481.606,8102.449,5062.755,4997.384,6984.289,5540.406,3141.922
80,7023.923,7746.226,6865.885,5540.347,5597.878,7532.985,5548.803,8176.18,4963.726,4947.357,7123.021,5669.768,3441.395
100,6977.99,8023.615,6895.644,5639.596,5444.096,7685.836,5621.312,8407.59,5129.048,4983.143,6983.784,5709.783,3343.992
120,7001.769,7980.971,7108.707,5638.404,5602.833,7732.933,5590.938,8670.948,5057.688,5015.036,6867.784,5684.855,3293.562
140,7128.981,7949.37,7184.952,5674.662,5436.846,7614.5,5476.25,8503.378,4891.428,5057.848,6854.484,5724.043,3242.594
160,7186.899,7959.51,7017.096,5586.991,5397.789,7658.933,5478.519,8467.186,4771.048,5173.152,6647.01,5889.029,3289.156
180,7201.346,8141.327,6969.856,5551.907,5407.923,7860.476,5468.952,8609.198,4781.961,5315.509,6618.526,5637.942,3257.758
200,7308.841,8202.837,6910.735,5510.609,5208.718,7617.735,5304.654,8597.673,4825.298,5564.821,6734.917,6052.797,3285.461
220,7249.938,8092.692,6871.25,5593.262,5185.013,7675.529,5384.25,8515.34,4806.298,5260.518,6519.794,5886.029,3304.801
240,7315.711,8222.385,6981.485,5653.542,5285.539,7631.625,5371.36,8477.68,4816.438,5304.679,6575.454,5809.217,3318.77
260,7118.856,8213.712,6853.015,5720.12,5233.289,7729.332,5547.534,8589.993,4796.938,5405.348,6451.062,5841.826,3251.625
280,7144.995,8246.505,6984.404,5729.298,5355.09,7699.64,5350.452,8502.75,4804.515,5353.491,6505.67,5765.928,3138.449
300,7080.471,8329.346,6821.933,5777.173,5290.859,7562.481,5527.37,8409.73,4950.159,5238.223,6560.969,5878.043,3054.664
320,7082.635,8215.745,6875.836,5732.049,5259.109,7482.774,5567.548,8284.225,5080.154,5176.768,6361.227,5738.855,3054.961
340,7140.164,8014.082,6931.207,5773.449,5136.308,7382.822,5562.885,8117.122,5012.524,5121.661,6358,5924.362,3126.883
360,7154.567,8010.024,6897.562,5655.351,5264.724,7601.327,5541.976,8137.397,4922.692,5125.786,6491.907,5645.667,3137.688
380,7147.442,8189.865,6862.36,5758.338,5111.34,7504.322,5404.529,8039.468,4984.716,4984.607,6174.021,5979.435,3117.277
400,7135.716,8228.197,6837.644,5619.2,5100.167,7646.735,5506.279,7847,4961.894,4953.018,6284.01,5848.232,3063.395
420,7017.005,8130.86,6888.303,5625.049,5104.128,7279.793,5439.981,8093.391,5098.558,4890.402,6255.165,5803.913,3002.641
440,6946.601,8271.837,6859.981,5625.84,5144.917,7376.664,5519.274,7970.994,5023.981,4717.464,6281.134,5716.232,3113.109
460,7018.048,8079.711,6800.356,5657.978,5071.923,7299.289,5407.043,7846.724,4884.216,4602.562,6235.186,5840.391,2941.629
480,6847.159,7907.385,6736.534,5614.658,4939.397,7329.399,5462.51,7825.43,5058.755,4622.143,6145,5806.406,3000.023
500,6809.567,8181.356,6717.88,5817.511,5054.808,7298.654,5428.981,7701.032,5012.14,4701.134,6139.814,5726.536,3030.453
520,6893.779,8264.452,6773,5782.418,5059.808,7269.192,5403.711,7728.199,5093.784,4794.777,5991.68,5728.435,3106.129
540,6788.375,7960.76,6743.961,5808.969,5144.981,7261.731,5306.966,7705.346,4800.745,4721.456,5867.268,5637.015,3067.594
560,6784.89,8002.485,6722.49,5819.311,5151.199,7232.37,5419.865,7615.487,4838.24,4580.268,5924.897,5667.884,3099.168
580,6799.442,8070.74,6593.668,5839.285,4932.314,7061.914,5281.106,7536.647,4653.298,4703,5927.784,5852.536,3056.828
600,6801.457,8032.457,6654.202,5743.209,4992.269,7173.423,5452.86,7625.936,4754.76,4816.634,5941.031,5704.841,3198.242
620,6723.211,7766.875,6716.923,5773.529,5076.506,7031.289,5560.394,7440.59,4773.765,4839.062,5958.752,5903.261,3097.641
640,6807.582,7958.485,6775.438,5825.511,5169.096,7146.293,5550.144,7705.487,4712.904,4816.214,5887.083,5837.464,3149.195
660,6981.75,8071.072,6579.091,5655.049,5068.173,7003.043,5502.332,7641.583,4858.346,4720.214,5740.629,5628.826,3106.234
680,6827.144,7838.702,6587.957,5651.173,4992.397,7072.711,5481.308,7626.359,4646.543,4870.929,5836.794,5566.884,3102.02
700,6831.495,8135.63,6581.529,5677.96,5043.506,7065.721,5612.14,7594.487,4639.091,4872.554,6106.577,5545.464,3122.023
720,6740.515,7718.418,6616.356,5652.898,4925.167,7152.524,5598.562,7647.654,4509.308,4944.384,5871.351,5578.275,3130.629
740,6839.284,7748.375,6670.673,5598.854,4940.481,7043.385,5749.211,7669.987,4625.015,4876.402,5904.587,5508.072,3107.324
