time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15
0,2073.498,1416.289,2164.491,2549.58,2264.604,1963.904,1832.098,1337.598,947.175,957.506,902.037,1351.541,1471.372,1122.058,1723.902
20,2015.36,1344.147,2143.989,2485.841,2299.734,1957.553,1757.125,1298.814,890.412,969.744,937.338,1318.865,1476.978,1055.638,1715.652
40,2047.578,1415.587,2132.582,2613.362,2298.452,1966.696,1768.857,1320.969,928.912,1007.25,891.675,1400.189,1510.08,1092.58,1685.268
60,2057.178,1062.733,1699.864,2055.406,1718.576,1447.737,1294.884,1098.979,955.4,827.885,802.1,1032.649,1368.847,943.884,1434.277
80,1970.88,1119.298,1663.927,2064.522,1678.864,1386.423,1325.107,1166.32,931.375,876.641,805.6,1085.676,1385.839,955.29,1469.607
100,2035.502,1137.982,1588.096,2071.102,1585.429,1377.061,1378.679,1175.031,852.4,815.186,864.662,1081.703,1425.467,889.159,1461.714
120,2075.875,1158.444,1601.175,2202.304,1574.345,1271.843,1392.098,1235.237,849.45,835.526,912.612,1022.513,1399.204,957.812,1478.786
140,2101.387,1173.827,1537.927,2218.464,1563.943,1262.597,1404.384,1152.433,847.575,854.051,828.162,1086.865,1431.058,965.928,1565.554
160,2032.102,1177.804,1562.689,2422.71,1504.672,1289.386,1361.652,1175.165,869.662,852.66,761.2,1042.541,1395.664,946.957,1513.312
180,2128.324,1158.84,1644.588,2493.507,1519.141,1330.611,1362.991,1188.247,848.263,845.942,735.987,1096.135,1381.92,918.435,1477
200,2144.973,1146.596,1567.458,2316.565,1511.876,1304.7,1376.955,1203.268,872.037,884.34,738.85,1038.703,1370.737,908.464,1454.259
220,2105.222,1173.52,1526.559,2277.623,1525.209,1357.167,1444.491,1219.258,823.312,848.058,722.1,1098.027,1378.285,947.638,1505.946
240,2228.938,1166.693,1521.452,2220.043,1540.966,1350.126,1420.768,1140.773,826.85,855.167,727.713,1014,1382.723,981.464,1478.446
260,2122.92,1167.893,1517.034,2241.464,1447.791,1408.86,1443.339,1170.67,835.925,840.981,754.362,1130.676,1295.321,982.29,1485.098
280,2189.747,1133.022,1518.655,2175.783,1521.593,1399.099,1423.402,1191,874.925,842.07,779.588,1111.811,1372.168,894.101,1439.134
300,2218.2,1142.329,1521.627,2078.536,1490.011,1388.406,1434.679,1201.175,888.275,856.212,797.487,1036.486,1360.708,882.986,1471.045
320,2234.653,1193.48,1517.927,2098.725,1494.028,1418.567,1382.509,1220.516,865.825,904.013,796.737,1078.73,1305.321,908.986,1472.268
340,2218.751,1169.147,1561.791,2056.449,1496.537,1434.392,1429.509,1183.381,833.763,887.808,777.675,1069.703,1355.891,882.609,1464.5
