time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14,cell 15
0,2752.089,4224.951,4770.192,4945.102,3360.61,4328.741,3411.366,1661.876,2107.913,2235.769,2052.337,3014.622,3882.285,3598.087,2298.027
20,2750.196,4205.133,4819.684,5033.377,3312.734,4292.389,3284.197,1658.65,2053.113,2306.91,2010.238,3065.811,3801.241,3675.362,2301.634
40,2802.902,4209.951,4846.068,5071.739,3398.921,4451.686,3197.018,1689.66,1965.35,2310.885,1946.262,3074.594,3823,3609.594,2098.955
60,2559.925,4175.68,4628.294,5297.145,3523.729,4397.123,3270.723,1648.454,2061.038,2033.782,1934.562,2872.622,3806.664,3627.826,2227.303
80,2662.978,4109,4586.52,5408.029,3448.22,4404.41,3164.893,1631.443,2057.613,2127.635,1860.025,3006.324,3881.044,3601.913,2176.366
100,2656.956,4104.2,4637.441,5447.812,3483.695,4392.215,3312.902,1656.186,1890.137,2030.596,1901.025,2920.973,3870.701,3655.623,2154.955
120,2671.556,4246.791,4629.271,5968.739,3471.491,4056.348,3282.848,1751.423,1933.95,2003.212,1882.125,2904.243,3967.964,3661.232,2251.259
140,2681.831,4190.165,4589.582,5544.42,3609.684,4076.461,3351.759,1674.526,1827.9,1973.019,1818.162,2777.784,3838.737,3728.507,2183.759
160,2630.925,4089.982,4605.904,5589,3493.164,4035.696,3376.902,1781.134,2022.2,2020.615,1511.375,2844.162,3846.146,3561.884,2234.268
180,2782.507,4123.022,4535.633,5410.971,3463.718,4141.785,3244.312,1743.134,1793.738,1930.84,1534.812,2810.189,3871.168,3374.073,2129.33
200,2771.4,4160.315,4452.684,5306.13,3534.695,4287.901,3283.366,1765.217,1893.9,1941.372,1478.988,3007.162,3673.825,3480.377,2082.268
220,2631.391,4007.822,4182.881,5096.435,3434.175,4281.041,3256.625,1660.701,1923.588,2050.885,1503.825,2843.297,3850.861,3496.797,2100.598
240,2774.36,3950.684,4267.769,4978.913,3481.446,4219.389,3152.223,1645.629,1909.45,1973.968,1476.275,2847.054,3822.029,3578.493,2166.509
260,2688.467,4039.591,4275.35,5082.42,3328.604,4223.345,3138.803,1611.217,1990.488,1991.179,1636.188,3002.811,3674.752,3616.898,2034.875
280,2642.68,3984.618,4360.571,5073.638,3385.051,4397.017,3108.839,1711.402,1954.488,2037.077,1632.55,2980.703,3807.109,3562.449,1921.089
300,2738.156,3967.925,4304.972,5259.507,3349.463,4257.515,3253.928,1533.227,1932.963,2059.667,1552.912,2917.594,3857.518,3635.073,2157.607
320,2730.471,3989.809,4342.514,5149.913,3283.09,4324.024,3145.42,1533.32,2015.275,2142.333,1630.725,2906.054,3765.219,3637.319,2151.911
340,2807.764,4003.885,4469.729,5326.971,3280.311,4345.205,3228.697,1501.917,1957.225,2067.853,1524.15,2710.919,3804.759,3613.986,2007.982
360,2857.542,3997.911,4555.751,5174.985,3312.661,4382.628,3272.045,1643.32,1853.1,2083.09,1682.463,2862.351,3994.934,3787.71,1975.438
380,2765.276,3960.996,4442.893,5129.522,3355.158,4350.942,3110.955,1545.34,1899.912,2043.481,1721.963,2905.757,3945.993,3583.13,2144.553
400,2878.284,3900.102,4456.644,5075.623,3258.655,4434.56,3195.322,1677.505,1965,1995.115,1751.075,2914,3884.453,3481.073,1964.188
420,2903.751,3904.493,4499.661,5239.464,3161.203,4336.966,3143.062,1569.619,1873.175,1991.91,1690.238,2987.541,3992.62,3713.797,2151.723
440,2814.8,3871.573,4480.339,4719.072,3169.243,4199.921,3135,1531.258,1833.213,1956.147,1567.5,2715.459,3921.723,3599.043,2135.384
460,2784.351,3882.889,4562.616,4987.797,3152.04,4398.782,3294.411,1576.948,1967.787,2091.327,1667.625,2719.216,3769.445,3460.797,2125.955
480,2801.444,3916.409,4575.418,5016.783,3138.401,4270.607,3185.402,1635.464,1905.725,2021.641,1637.925,3051,3712.19,3562.029,2199.339
500,2805,3889.56,4585.893,4829.232,3049.13,4207.478,3207.938,1422.835,1975.575,1991.641,1609.912,3094.162,3808.752,3682.551,2123.616
520,2837.693,3919.862,4699.316,4948.319,3117.813,4213.505,3276.009,1488.34,1999.812,2027.974,1561.787,2935.243,4000.606,3734.797,2085.955
540,2871.236,3908.951,4606.458,4882.043,3120.588,4235.345,3406.339,1608.299,2003.963,1999.673,1512.475,2824.919,3983.474,3740.261,2077.312
560,3022.925,3824.88,4626.299,4668.087,3137.045,4154.532,3397.875,1552.742,2001.387,2030.814,1657,3007.432,4038.058,3546.116,2246.902
580,2821.196,3917.738,4683.497,4526.406,3086.853,4100.201,3163.402,1628.619,1949.037,1997.622,1531.838,3003.73,3941.555,3451.841,2155.455
600,2879.382,3950.458,4790.757,4460.159,3197.915,4186.59,3367.241,1609.237,2103.413,2023.756,1444.363,2939.108,3900.861,3352.203,2190.947
620,2872.276,3944.831,4790.266,4608.145,3128.831,4184.324,3331.866,1478.206,2147.875,2021.942,1567.35,2953.406,3939.321,3247.42,2206.902
640,2899.075,3973.244,4770.198,4788.681,3044.22,4195.618,3359.786,1607.35,2033.675,1993.564,1569.125,3196.946,3974.044,3414.638,2324.928
660,2904.684,4058.347,4920.497,4275.043,3108.452,4227.611,3452.572,1645.969,2030.713,2016.058,1583.525,3023.513,3923.401,3238.841,2205.277
680,2933.151,3941.196,4954.418,4678.449,3145.763,4217.683,3259.107,1594.887,2033.25,1856.462,1558.85,2911.892,3891.898,3469.319,2173.384
700,2778.382,3810.253,4929.548,4541.71,3062.011,4119.068,3234.098,1598.093,2056.325,1836.378,1557.95,3046,3755.226,3333.043,2117.036
720,2821.467,3824.956,4950.565,4856.928,3155.729,3934.887,3331.161,1672.742,2056.325,1854.468,1507.812,3192.189,4040.146,3363.464,2314.982
740,2921.498,3919.942,4906.531,4799.333,3217.78,4069.454,3431.411,1615.01,2071.1,1881.231,1372.5,2942.568,4017.394,3204.116,2347.08
760,2868.813,3906.187,4966.791,4632.855,3082.831,4211.748,3216.25,1530.825,2188.25,1863.615,1640.05,2901.054,4067.547,3252.927,2361.67
780,2905.027,3874.373,4952.989,4625.753,3106.249,4179.614,3333.357,1573.268,2143.2,1910.788,1612.75,2920.027,4118.635,3154.42,2391.732
800,2966.764,4087.249,4812.559,4519.116,3226.853,4247.908,3187.902,1662.732,2132.613,1958.122,1639.412,2995.216,3973.007,3070.609,2322.5
820,2801.507,3842.889,4723.774,4554.928,3196.531,4013.311,3109.25,1522.443,2220.4,1756.474,1689.963,3272.973,3878.825,3057.073,2208.509
840,2818.564,3880.929,4815.949,4330.623,3144.966,4051.102,3198.125,1583.155,2099.887,1845.404,1713.45,3109.541,3939.599,3167.927,2248.866
860,2940.716,3832.507,4795.627,4663.623,3201.989,4107.311,3212.759,1634.32,2240.363,1870.91,1580.25,2970.216,3900.832,3143.261,2209.607
880,2900.067,3867.449,4697.994,4545.217,3173.847,4122.475,3254.455,1546.113,2250.587,1815.654,1699.975,3141.892,4044.168,3309.58,2339.482
900,2884.453,3932.467,4598.638,4694.768,3178.599,4059.191,3236.795,1529.928,2187.15,1866.949,1726.037,3389.676,4031.109,3012.797,2240.312
920,2806.084,3906.333,4671.277,4451.058,3171.667,3979.969,3229.714,1627.454,2369.938,1800.917,1623.125,3166.568,4008.015,3244.841,2095.598
940,2776.96,4056.489,4637.435,4628.493,3128.243,4104.679,3289.616,1589.083,2330.538,1867.077,1894.512,3104.811,3906.635,3107.58,2206.33
960,2756.671,4162.444,4578.875,4796.71,3169.141,4213.198,3232.875,1652.783,2244.425,1794.885,1797.475,2901.243,3953.891,3025.942,2181.348
