time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10
0,5212.981,6891.995,6603.921,5637.949,5992.832,5088.856,4605.899,4500.107,5374.707,7789.223
20,5324.673,6908.096,6472.887,5519.004,6013.777,5151.587,4730.707,4457.42,5466.371,7819.857
40,5182.577,7075.389,6451.576,5530.715,5839.793,4869.933,4516.226,4291.027,5460.305,7811.866
60,4606.615,5656.433,5746.52,4311.473,4817.434,4249.803,3934.976,3618.009,5041.168,6574.741
80,4957.788,5642.288,5832.655,4348.781,4855.086,4361.135,3921.514,3606.214,5071.871,6707.205
100,4946.942,5338.514,5713.198,4380.641,4879.535,4436.798,4154.649,3616.982,5137.543,6699.134
120,4875.25,5288.755,5743.288,4392.504,4882.012,4333.899,4160.942,3587.375,5142.984,6743.607
140,4920.865,5257,5857.633,4407.305,4828.008,4278.062,4121.5,3584.161,5267.637,6970.196
160,4881.827,5251.327,5769.282,4411.074,4719.016,4307.784,4180.12,3576.991,5228.32,7049.214
180,4581.038,5166.721,5680.316,4427.809,4685.719,4228.976,4190.798,3436.866,5213.664,7012.866
200,4738.115,5192.178,5686.887,4567.234,4612.129,4244.322,4210.423,3493.438,5191.098,7198.786
220,4836.096,5241.125,5651.87,4487.617,4564.383,4306.865,4141.149,3376.616,5274.219,7312.821
240,4898.5,5136.76,5675.661,4254.539,4501.242,4181.601,4339.346,3416.045,5260.719,7247.714
260,4625.885,5209.236,5553.621,4303.027,4473.621,4216.072,4350.163,3362.304,5161.152,7344.598
280,4587.519,5297.087,5657.627,4194.484,4561.023,4299.457,4201.308,3320.17,5172.727,7252.768
300,4356.462,5380.341,5564.989,4221.207,4515.637,4270.072,4227.125,3103.946,5122.965,7234.223
320,4247.288,5384.755,5459.463,4191.223,4569.863,4146.644,4208.197,3303.732,5204.188,7074.357
340,4257.788,5492.558,5577.723,4142.633,4557.188,4101.385,4199.692,3238.009,5204.734,7044.152
360,4161.231,5476.962,5527.78,4202.379,4424.746,4093.476,4085.409,3292.259,5147.113,7008.357
380,4226.173,5587.288,5569.548,4222.391,4529.492,4105.707,4058.462,3250.384,5107.816,7062.312
400,4285.462,5720.269,5662.938,4224.605,4510.336,4062.716,4136.548,3224.964,5093.914,7242.509
420,4237.692,5646.226,5607.729,4139.734,4498.043,4032.188,4203.135,3225.036,5124.664,7018.339
440,4283.827,5708.827,5704.113,4113.938,4476.375,4036.635,4243.668,3163.286,4991.586,7051.643
460,4327.962,5594,5546.87,4284.43,4519.309,3932.885,4239.558,3168.67,5084.246,6955.973
480,4475.635,5625.365,5651.288,4299.387,4521.426,4097.207,4296.029,3166.509,5162.496,6905.929
500,4294.769,5640.692,5611.085,4215.441,4482.902,3988.375,4245.231,3170.223,5047.223,6844.545
520,4403.904,5580.125,5619.446,4129.617,4555.781,4023.495,4200.409,3138.312,5071.059,6844.884
540,4541.769,5633.707,5633.294,4315.805,4527.82,4046.327,4221.683,3204.223,4993.531,6847.83
560,4558.192,5691.404,5644.983,4213.238,4572.277,3934.865,4137.731,3140.134,5044.855,6952.259
580,4574.038,5627.779,5657.605,4312.594,4600.273,3902.462,4156.154,3164.518,5065.277,6975.205
600,4579.096,5666.418,5575.627,4207.789,4616.609,3933.726,4002.755,3063.545,5052.539,6874.429
620,4482.942,5747.433,5757.65,4302.812,4658.473,3902.986,3978.851,3168.357,5043.398,6909.982
640,4565.731,5905.207,5754.525,4386.258,4747.16,4035.784,4051.779,3107.214,5035.703,6848.196
660,4469,5848.322,5762.61,4389.074,4647.402,4087.279,3930.413,3151.562,4962.113,6963.92
680,4954.038,5779.865,5779.605,4340.719,4636.535,4014.683,3904.938,3157.58,4994.113,6726.554
700,4632.673,5726.788,5751.339,4270.586,4632.621,4112.572,3945.606,3157.875,4980.551,6847.223
720,4514.962,5781.029,5703.706,4432.387,4654.977,3993.327,4079.678,3232.5,4919.066,6806.134
740,4594.654,5800.981,5692.661,4158.172,4732.223,3899.399,4043.029,3226.679,4886.973,6832.348
760,4623.808,5755.428,5712.763,4330.152,4783.496,3924.702,3978.678,3185.58,4943.957,6756.946
780,4667.25,5676.913,5751.695,4382.547,4907.801,3950.577,3972.385,3154.411,4967.371,6930.973
800,4510.865,5719.611,5787.424,4395.922,4855.867,3922.476,3939.399,3115.866,5088.137,7071.741
820,4724.365,5768.865,5960.864,4433.559,4818.016,3912.567,3883.178,3131.911,4977.305,6950.045
840,4738.115,5802.774,5977.751,4475.852,4729.582,3962.423,3857.736,3044.295,4950.691,6934.616
860,4683.212,5761.683,5987.565,4650.828,4797.746,3843.389,3933.139,3123.607,5025.309,6931.429
880,4781.404,5842.659,5980.972,4517.727,4787.777,3931.827,3850.817,3100.277,4947.102,6900.982
900,4374.577,5980.149,6018.164,4340.504,4755.941,4057.606,3846.096,3118.911,4909.012,7021.143
920,4312.519,5920.918,5975.814,4173.742,4825.586,4068.029,3906.168,3066.446,4896.242,7001.893
940,4483.462,5834.255,5893.305,4239.566,4891.512,4080.913,3763.755,3021.884,4964.191,6983.634
960,4548.346,5945.159,5758.78,4131.207,4867.051,3926.159,3991.135,3028.223,4917.699,7118.973
