time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10
0,1838.203,4554.828,3083.177,2376.929,1446.527,3913.777,3185.652,2701.322,1860.095,1844.263
20,1807.507,4613.435,3029.836,2313.311,1382.141,3843.035,3037.852,2711.056,1859.895,1882.818
40,1823.145,4586.044,2960.997,2335.036,1395.254,3648.562,3001.734,2555.627,1816.544,1884.613
60,1715.145,4561.938,3063.754,2369.489,1325.371,3633.895,2774.832,2484.412,1817.48,1861.635
80,1854.145,4515.094,3138.829,2327.622,1364.375,3638.254,2798.598,2473.023,1865.817,1929.533
100,1846.942,4473.591,3208.119,2421.533,1325.656,3693.883,2956.531,2508.22,1895.169,1945.438
120,1932.217,4497.557,3302.819,2469.098,1372.238,3690.816,3064.633,2477.356,1966.703,2108.613
140,2062.058,4415.656,3357.379,2534.582,1517.68,3729.25,2979.719,2509.124,1979.247,2090.241
160,2037.971,4377.581,3268.259,2457.036,1349.527,3744.586,2927.066,2586.91,1997.846,2080.292
180,2056.652,4433.229,3307.003,2538.004,1395.402,3739.262,3040.34,2535.938,1997.418,2041.197
200,2123.913,4401.68,3251.485,2509.76,1313.742,3734.398,3104.91,2540.441,2004.724,1991.109
220,2255.478,4291.596,3301.184,2371.236,1316.609,3785.445,3105.332,2480.175,1986,2072.095
240,2185.812,4243.672,3302.324,2254.173,1268.938,3722.789,3111.445,2510.955,1898.247,2058.314
260,2258.232,4336.464,3209.846,2419.769,1336.637,3851.348,3192.172,2467.153,2016.796,2021.606
280,2194.043,4341.958,3215.15,2350.498,1325.203,3855.387,3038.637,2449.379,1965.461,1860.117
300,1858.188,4398.299,3200.761,2408.644,1333.621,3887.824,3156.277,2440.831,1992.302,1926.905
320,2070.159,4281.081,3242.143,2393.751,1323.57,3779.5,3302.949,2443.169,2002.793,1907.759
340,1907.13,4368.078,3224.922,2352.004,1262.395,3781.223,3318.426,2494.418,2009.366,1843.277
360,1893.696,4347.13,3180.693,2309.511,1299.234,3717.57,3311.234,2458.356,2010.181,1910.219
380,2018.406,4325.169,3239.505,2381.613,1218.047,3822.992,3325.555,2515.554,1936.007,1867.263
400,2015.13,4206.69,3143.614,2381.542,1214.047,3879.211,3265.152,2445.938,1909.798,1869.62
420,1987.478,4200.526,2999.464,2348.662,1273.027,3779.836,3453.211,2500.531,1932.385,1811.533
440,2087.609,4310.849,3049.85,2296.938,1300.695,3868.465,3379.395,2481.605,1923.088,1994.81
460,2182.087,4307.591,3071.003,2368.378,1245.41,3779.359,3408.461,2517.729,1919.881,1985.474
480,2076.246,4284.852,3076.546,2494.72,1327.766,3821.809,3423.539,2520.288,1906.976,1940.547
500,2000.493,4367.268,3101.147,2444.938,1270.418,3861.234,3396.5,2520.831,1909.392,1863.606
520,2091.203,4263.091,3076.433,2420.276,1299.156,3860.484,3444.371,2509.023,1941.789,1767.562
540,2023.768,4272.958,3043.41,2529.858,1277.629,3899.883,3337.906,2435.542,1971.903,1885.993
560,2060.174,4200.818,2992.799,2415.547,1284.25,3985.77,3403.766,2427.565,1874.964,1895.19
580,1966.652,4226.849,3074.604,2447.391,1243.246,3840.215,3377.324,2497.887,1922.416,1984.92
600,2025.304,4230.237,3036.761,2371.876,1284.5,3829.098,3302.254,2573.475,1941.663,1914.854
620,2019.087,4192.266,3109.01,2428.933,1225.012,3817.254,3282.508,2341.034,1976.686,1948.139
640,2179.232,4319.992,3150.642,2449.369,1340.656,3918.848,3277.922,2540.525,1992.838,1949.818
660,2194.942,4254.508,3092.706,2482.902,1310.297,3874.324,3174.27,2484.565,2037.815,1957.394
680,2108.957,4191.927,3104.727,2475.84,1245.012,3831.449,3205.539,2434.48,1978.558,1924.482
700,2166.304,4122.604,3076.15,2321.942,1232.57,3843.676,3156.172,2402.254,2018.618,1880.029
720,2206.203,4201.815,3040.171,2216.609,1333.328,3905.969,3251.328,2408.814,2043.166,1866.599
740,2245.739,4274.01,3097.399,2184.142,1244.105,3821.066,3388.055,2499.955,2009.995,1899.066
760,2188.768,4238.258,3121.362,2159.311,1306.004,3767.586,3226.051,2447.113,2060.518,1963.774
780,2225.13,4223.049,3137.44,2222.991,1263.457,3850.727,3425.449,2568.548,1992.228,1843.825
800,2202.522,4305.456,3249.584,2152.24,1220.375,3740.188,3430.648,2547.023,2016.677,1863.088
820,2297.71,4403.375,3187.724,2110.293,1408.461,3708.082,3399.605,2526.876,2023.447,1932.555
840,2239.101,4278.617,3283.072,2166.929,1371.031,3815.785,3479.594,2538.113,2043.715,1854.409
860,2253.159,4311.078,3250.235,2204.96,1362.316,3778.273,3526.785,2454.729,1964.406,1817.584
880,2375.71,4252.172,3204.491,2299.418,1336.707,3702.113,3422.684,2538.768,1996.698,1810.708
900,2255.986,4140.979,3125.567,2130.978,1264.305,3661.801,3388.133,2477.429,1983.311,1775.182
920,2336.217,4268.279,3217.369,2271.116,1335.73,3706.848,3485.863,2453.661,2012.171,1852.737
940,2477.565,4232.771,3141.809,2222.604,1293.078,3806.855,3496.16,2509.864,1993.608,1887.628
960,2259.319,4223.312,3224.007,2232.667,1363.578,3692.562,3475.438,2524.915,2040.42,1889.263
