time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11,cell 12,cell 13,cell 14
0,3514.423,4472.289,1713.577,1999.511,2662.144,4926.098,2394.507,4098.269,6903.217,6286.701,5217.891,6831.891,7635.241,5136.571
10,3482.333,4491.711,1744.533,1834.095,2563.175,4808.509,2267.072,4146.212,6639.551,6127.66,5044.378,6520.769,7477.35,4886.518
20,3444.263,4532.598,1750.781,1878.036,2633.68,4762.152,2275.13,4147.904,6721.188,6092.897,5004.718,6649.083,7589.489,4866.375
30,3545.763,4335.856,1707.555,1946.788,2574.124,4827.018,2259.855,4301.385,6653.899,6200.495,5040.135,6657.051,7633.628,4908.839
40,3549.821,4444.474,1821.409,1815.489,2575.206,4791.607,2334.681,4083.712,6651.623,5982.278,4828.603,6741.083,7538.117,5057.973
50,3471.154,4560.835,1788.38,1846.358,2535.206,4874.705,2299.217,4274.942,6636.884,5995.423,4907.244,6679.115,7583.051,4930.696
60,3350.391,4142.371,1656.745,1699.73,2041.979,4548.25,2149.884,3769.135,6119.014,5733.784,4958.577,6798.404,7260.292,4154.5
70,3281.442,4060.649,1643.102,1509.591,1977.196,4491.411,2153.058,3903.75,5837.594,5586.784,4851.359,6523.205,6934.759,3979.893
80,3144.853,3975.68,1604.044,1416.109,1736.691,4314.616,2091.159,3849.923,5985.971,5478.753,4763.378,6520.699,6958.036,3657.562
90,3119.244,3856.124,1644.978,1479.058,1767.639,4210.991,2130.623,3806.269,5624.449,5503.093,4675.782,6469.949,6785.022,3672.518
100,3330.705,4037.247,1650.708,1482.832,1735.887,4233.768,2209.493,4060.885,5307.058,5335.299,4612.058,6415.308,6614.898,3568
110,3180.295,3963.103,1547.869,1468.555,1785.34,4282.295,2049.072,3871.154,5412.174,5346.577,4575.712,6294.865,6470.577,3780.625
120,3228.962,3905.773,1604.358,1471.19,1636.804,4376.241,1989.348,4019.731,5489.768,5349.268,4603.558,6112.904,6447.263,3778.777
130,3226.103,3933.381,1558.372,1377.073,1725.062,4234.527,1989.029,4103.904,5387.71,5321.742,4547.897,6224.147,6360.752,3712.312
140,3258.231,3847.979,1628.854,1461.182,1624.423,4187.616,2047.319,4266,5378.58,5291.093,4583.372,6092.795,6419.577,3645.089
150,3266.968,3818.969,1480.818,1320.35,1670.959,4098.804,1870.681,4260.212,5163.217,5259.536,4421.801,6244.34,6540.248,3684.089
160,3306.571,3752.567,1480.927,1432.92,1668.649,4243.562,1883.174,4425.846,4947.188,5206.412,4373.244,6234.84,6455.365,3784.616
170,3191.808,3750.464,1352.285,1413.182,1667.876,4330.571,1771.072,4231.231,4972.406,5089.588,4393.103,6195.641,6252.788,3701.973
180,3352.494,3824.536,1460.044,1371.088,1696.732,4324.625,1866.406,4270.096,4962.493,5153.701,4210.282,6085.987,6274.942,3658.223
190,3173.16,3747.588,1471.482,1314.584,1664.557,4269.027,1711.275,4277.654,4913.304,5020.639,4327.103,5912.923,6219.854,3626.196
200,3257.859,3658.753,1310.299,1343.73,1591.99,4179.545,1857.188,4056.096,4827.435,4869.371,4347.756,6035.494,6223.365,3650.857
210,3122.237,3777.515,1435.394,1319.007,1638.753,4171.768,1801.362,4054.385,4659.957,4918.959,4281.782,5905.545,6000.161,3492.902
220,3020.564,3632.515,1398.774,1284.489,1599.835,4210.562,1755.855,4107.885,4517.652,4834.546,4301.5,5912.474,5907.73,3508.134
230,2879.071,3748.557,1371.241,1346.533,1606,4213.455,1656.493,3847.154,4467.783,4895.825,4341,5937.013,5924.372,3541.991
240,2633.827,3519.577,1264.796,1293.978,1608.216,4148.929,1526.58,3989.327,4303.884,4940.804,4323.494,5744.276,5899.496,3670.375
250,2516.186,3625.402,1336.861,1324.839,1666.948,4119,1728.246,3785.288,4406.435,4813.742,4234.397,5841.064,5798.876,3640.714
260,2496.474,3531.814,1375.241,1218.095,1499.381,3983.473,1804.406,3912.346,4241.609,4835.381,4352.365,5801.673,5894.387,3675.795
270,2576.718,3619.598,1372.569,1296.657,1453.979,4155.455,1715.913,3726.288,4024.319,4830.577,4217.59,5678.923,5897.015,3663.018
280,2530.103,3483.34,1432.628,1256.693,1591.402,4078.634,1555.768,3741.923,4048.319,4868.969,4321.878,5641.731,5660.219,3531.339
290,2352.058,3506.113,1335.832,1186.971,1567.299,3993.741,1576.275,3663.596,3716.42,4621.918,4144.756,5452.949,5642.058,3381.455
300,2330.096,3532.773,1322.489,1252.533,1654.711,4082.643,1704.319,3713.577,3956.493,4648.134,4231.071,5447.179,5514.197,3440.393
310,2365.128,3417.32,1311.73,1126.401,1477.608,3879.875,1593.449,3493.058,3912.377,4620.258,4303.91,5506.744,5554.066,3401.491
320,2295.635,3305.113,1303.343,1198.277,1555.351,3872.67,1579.014,3414.558,3804.725,4541.722,4131.064,5343.429,5610.175,3425.286
330,2337.679,3331.062,1308.277,1194.708,1581.536,4025.67,1574.449,3376.288,3838.507,4483.196,4110.692,5480.622,5559.62,3443.759
340,2225.269,3272.062,1346.839,1196.723,1602.763,3906.009,1545.942,3195.192,3619.275,4484.608,4116.462,5394.147,5417.015,3410.58
350,2204.013,3444.567,1324.095,1271.657,1515.268,3869.875,1394.522,3331.673,3658.493,4479.619,4132.577,5300.821,5466.891,3332.232
360,2289.006,3378.536,1351.672,1186.234,1383.361,3958.304,1347.029,3361.635,3375.899,4462.32,4108.231,5163.064,5345.759,3171.134
370,2251.769,3318.155,1324.058,1193.387,1497.381,3819.902,1413.058,3381,3465.609,4316.247,4031.013,5034.487,5294.431,3241.116
380,2174.032,3354.082,1305.591,1150.328,1515.526,3913.839,1331.797,3160.327,3338.739,4371.66,4072.904,5188.224,5396.241,3109.339
390,2158.487,3360.258,1226.985,1095.839,1509.32,3924.321,1449.377,3006.808,3393.565,4286.979,4004.308,5038.327,5261.737,3079.982
400,2269.545,3391.237,1208.599,1161.526,1424.515,3842.518,1407.739,2967.077,3183.783,4387.897,3954.526,5145.769,5190.372,3109.009
410,2092.423,3405.608,1272.263,1097.146,1358.155,3871.866,1407.116,3095.173,3295.246,4300.227,4061.167,4977.474,5150.161,3137.804
420,2230.5,3127.526,1195.774,1100.058,1434.742,3847.196,1416.638,3101.365,3213.159,4283.052,3976.494,4925.545,5056.036,3119.804
430,2208.256,3347.082,1342.234,1132.774,1432.959,3887.027,1315.725,2986.577,3146.217,4200.299,3903.814,4937.776,5054.212,3098.866
440,2103.596,3318.371,1207.591,1133.438,1670.155,3648.134,1162.174,3049.096,3184.623,4295.082,3939.955,4937.391,4948.27,3054.196
450,2158.218,3183.515,1196.657,1183.029,1435.216,3753.018,1269.783,3060.962,2987.623,4141.907,3952.436,4805.026,4879.029,3132.509
460,2138.994,3166.557,1251.168,1048.701,1541.278,3677.946,1276.203,2839.192,2988.957,4081.454,3938.186,4672.724,5011.423,3111.348
470,2191.583,3212.969,1255.46,1029.577,1456.165,3714.75,1106.478,2744.096,2963.406,4021.454,3998.705,4559.994,4998.277,2905.973
480,2172.878,3236.577,1133.307,1078.978,1520.866,3742.616,1268.638,2783.365,3075.841,4008.835,3996.474,4580.449,4891.336,3023.884
490,2071.34,3166.979,1202.555,1151.321,1620.206,3740.304,1154.377,2766.904,3040.754,4039.175,3914.929,4590.333,4873.752,3008.152
500,2137.25,3114.381,1203.139,1087.577,1554.062,3688.875,1136.493,2744.25,3086.333,3981.536,3909.462,4538.41,4750.197,3013.018
510,2123.058,3119.907,1123.044,1115.511,1520.577,3617,1203.087,2648.962,3160.565,3929.216,3969.083,4516.032,4723.591,3086.232
520,2156.263,3066.423,1162.978,1065.898,1509.866,3640.348,1164.928,2762.885,3125.377,3817.753,3982.34,4504.564,4830.204,2965.411
530,2136.34,3032.32,1132.533,1112.409,1439.268,3645.009,1077.464,2802.404,3114.609,3942.062,4028.385,4495.359,4790.737,2850.83
540,2055.679,3064.742,1201.365,1103.664,1538.753,3596.375,1065.754,2813.846,3020.986,3845.577,4010.705,4494.346,4785.066,2892.348
550,2232.295,2966.299,1114.036,1125.387,1511,3601.598,1153.725,2762.404,2919.884,3828.907,4047.571,4589.91,4742.547,2908.536
560,2114.41,3067.072,1062.672,1048.416,1661.196,3587.429,1131.29,2822.154,3017.826,3883.866,4012.269,4488.013,4668.679,2908.955
570,2123.301,3061.557,1086.788,1168.927,1505.619,3614.321,1230.797,2687.096,3085.391,3827.093,4134.91,4499.032,4737.109,2888.821
