time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11
0,3514.255,4151.012,2635.5,7799.249,5889.92,5363.041,3710.865,4265.321,2959.07,4430.763,1974.536
10,3593.409,4303.012,2865.875,8144.254,5883.307,5620.072,3798.959,4284.854,2888.141,4442.907,1989.922
20,3546.854,4315.837,2720.491,8079.294,5814.124,5510.773,3786.323,4242.095,2852.824,4485.959,2028.256
30,3674.905,4213.025,2690.339,8003.198,5745.38,5548.206,3781.54,4245.942,2914.473,4525.794,2062.703
40,3646.788,4275.387,2658.625,7950.746,5721.832,5461.619,3709.513,4260.686,2860.91,4321.598,2042.201
50,3562.102,4210.85,2645.08,7980.525,5790.007,5446.289,3779.732,4349.051,2932.246,4342.784,2022.464
60,3303.161,4071.925,2571.196,7470.469,5621.285,5414.247,3307.93,4026.19,2399.98,3880.082,1834.802
70,3329.788,3933.3,2470.634,7461.571,5655.912,5394.866,3211.319,4033.35,2053.809,3897.608,1807.304
80,3350.847,3889.7,2471.259,7484.977,5679.219,5474.845,3147.585,3834.839,1893.516,3747.165,1741.775
90,3306.314,3887.975,2377.741,7347.859,5856.62,5321.093,3100.806,3821.423,1853.848,3702.907,1784.246
100,3168.934,3815.175,2207.821,7295.904,5644.212,5261.742,3075.587,3790.847,1809.449,3572.206,1763.13
110,3249.679,3904.825,2349.696,7102.853,5683.124,5184.711,2966.695,3680.387,1696.742,3531.515,1641.3
120,3125.511,3763.175,2096.571,7045.797,5628.197,5166.866,3001.157,3736.007,1758.105,3580.711,1665.433
130,3195.533,3681.1,2297.562,6630.757,5594.022,5043.402,2859.949,3643.058,1677.121,3494.175,1690.106
140,3179.117,3659.338,2166.411,6682.271,5418,5157.134,2883.423,3739.263,1731.406,3436.041,1558.683
150,3089.46,3376.7,2166.464,6240.113,5423.212,5272.258,2907.691,3437.511,1660.781,3323.526,1560.355
160,3067.007,3555.1,1969.098,6176.621,5119.219,5095.567,2846.736,3515.051,1696.289,3318.113,1582.225
170,2902.131,3326.338,2033.009,5908.893,5122,5145.588,2779.622,3360.547,1611.035,3196.216,1464.396
180,3018.635,3164.238,2009.071,5821.503,5001.869,5065.278,2816.81,3354.803,1664.438,3377.021,1455.529
190,2924.343,3151.9,1877.964,5654.542,4860.861,5028.351,2783.35,3254.102,1581.223,3087.247,1425.904
200,2844.328,3102.1,1901.625,5538.181,4657.474,5173.701,2818.542,3283.701,1609.656,3205.557,1469.57
210,2873.65,3069.2,1906.893,5407.486,4809.401,4892.557,2776.916,3294.883,1577.348,2993.866,1392.823
220,2822.679,3067.75,1830.946,5160.559,4664.562,4905.124,2687.004,3162.015,1501.012,2877.371,1395.891
230,2875.599,3037.925,1857.741,5021.373,4601.847,4933.103,2699.096,3221.547,1564.008,2945.134,1356.669
240,2778.015,2908.8,1754.438,4922.559,4601.343,4876.113,2654.859,3251.321,1496.145,2860.392,1329.41
250,2804.336,2907.988,1733.732,4715.718,4605.708,4878.103,2654.947,3057.358,1480.184,2817.969,1366.399
260,2728.08,2749.387,1883.232,4610.39,4463.248,4846.237,2600.971,3052.46,1513.434,2763.175,1417.403
270,2565.555,2659.912,1667.17,4555.729,4516.81,4841.588,2459.538,3098.533,1360.617,2538.804,1260.7
280,2483.759,2638.537,1781.473,4369.48,4447.839,4768.546,2389.307,2972.029,1342.207,2401.309,1270.273
290,2546.482,2699.9,1713.143,4234.723,4460.102,4600.433,2368.037,3178.058,1323.949,2397.794,1172.683
300,2587.248,2658.488,1666.098,4170.017,4513.299,4575.546,2285.18,2826.964,1309.785,2361.433,1194.703
310,2436.109,2453.175,1733.786,3985.972,4547.19,4729.34,2203.91,2922.328,1235.09,2210.526,1225.246
320,2401.358,2463.4,1651.652,4021.017,4339.036,4546.804,2188.695,2789.409,1177.895,2105.536,1156.355
330,2471.117,2349.675,1674.938,3912.847,4296.723,4686.144,2116.491,2844.131,1161.504,2009.814,1208.966
340,2324.832,2367.088,1588.777,3876.13,4469.073,4730.938,2103.994,2737.139,1095.855,1979.289,1278.232
350,2264.022,2321.162,1584.277,3826.096,4227.745,4621.381,2065.051,2622.839,1107.98,1911.856,1277.539
360,2279.168,2333.125,1604.473,3643.836,4238.898,4559.412,2031.673,2806.715,1103.621,1770.742,1260.549
370,2308.803,2273.35,1576.348,4025.056,4230.65,4677.938,2002.342,2626.942,1081.125,1781.165,1376.823
380,2213.095,2257.262,1567.134,4145.571,4215.664,4479.649,1963.45,2676.781,1076.941,1816.907,1327.096
390,2241.599,2187.938,1587.232,4059.531,4194.737,4371.299,1890.137,2634.409,1020.336,1698.598,1425.471
400,2202.759,2256.775,1621.839,4075.927,4246.161,4381.464,1892.217,2626.248,959.91,1651.742,1366.546
410,2204.985,1993.65,1676.429,3997.972,4164.321,4367.464,1932.697,2583.394,960.004,1663.711,1388.949
420,2225.153,2074.537,1645.973,3988.429,4002.036,4296.165,1879.327,2590.766,982.195,1673.103,1328.014
430,2217.547,2072.438,1574.259,3822.209,4080.204,4221.474,1929.025,2581.555,902.945,1646.361,1390.307
440,2244.409,2159.713,1519.643,3933.667,3968.927,4348.701,1874.99,2603.81,884.188,1635.402,1420.468
450,2181.044,1967.875,1590.821,3772.593,3762.861,4321.629,1860.622,2495.839,923.594,1533.082,1423.686
460,2112.489,2019.662,1543.973,3809.723,3907.708,4158.031,1893.787,2522.876,948.086,1638.639,1430.717
470,1973.292,1971.787,1645.464,3824.266,3801.445,4116.289,1857.323,2490.328,885.668,1377.474,1393.741
480,2056.416,1872.162,1550.839,3759.424,3856.825,4089.763,1952.558,2515.635,939.977,1482.526,1405.068
490,2181.781,1940.375,1552.25,3782.819,3818.693,4040.278,1955.411,2449.394,890.621,1454.804,1365.99
500,2161.81,1907.675,1653.777,3777.452,3850.693,4134.433,1968.127,2519.898,850.137,1493.289,1353.526
