time,cell 1,cell 2,cell 3,cell 4
0,318.316,255.308,119.94,134.27
20,320.473,260.332,135.245,151.973
40,309.094,260.707,126.479,147.84
60,367.191,289.659,137.586,147.961
80,382.926,313.976,130.682,159.059
100,352.062,296.577,138.065,146.945
120,347.051,305.659,130.417,160.418
140,355.152,269.995,121.779,171.883
160,386.246,236.803,143.573,171
180,455.324,267.928,149.688,175.098
200,388.492,281.01,133.974,164.598
220,382.234,278.673,151.081,149.699
240,385.516,280.894,114.534,139.09
260,300.992,289.957,126.451,131.758
280,322.879,265.067,111.841,142.832
300,350.91,288.322,111.799,127.934
320,342.012,290.697,140.104,105.367
340,363.191,333.841,168.023,124.789
360,322.973,298.404,136.344,156.844
380,329.375,314.005,160.115,150.668
400,335.016,293.913,197.089,133.684
420,332.441,299.913,186.232,116.52
440,335.766,272.841,183.648,132.352
460,320.363,271.106,132.674,117.188
480,337.262,296.87,130.458,114.156
500,293.453,283.697,119.409,120.672
520,290.844,276.707,121.565,142
540,302.711,273.572,117.346,141.453
560,308.637,302.159,140.56,128.246
580,319.242,287.005,137.432,126.738
600,307.895,274.596,140.234,109.551
620,320.891,283.236,125.503,91.918
640,329.16,296.159,131.63,104.688
660,302.207,260.548,131.927,88.504
680,338.938,266.115,136.333,110.703
700,288.258,271.01,119.708,115.523
720,302.465,280.043,121.099,131.301
740,276.18,266.332,121.456,109.945
760,306.066,265.918,,
780,342.156,272.207,,
800,335.605,246.298,,
820,360.348,234.284,,
840,339.742,256.678,,
860,330.027,248.832,,
880,319.672,252.558,,
