time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10
0,22.596,17.964,94.753,56.396,126.443,135.472,77.908,116.693,58.055,58.974
20,26.224,19.672,95.722,52.165,126.316,135.247,84.392,118.666,61.602,56.289
40,28.37,24.594,102.095,54.633,128.94,129.472,83.301,119.055,63.794,65.865
60,23.367,19.719,91.456,58.399,126.722,141.266,85.291,123.956,62.25,60.341
80,26.482,19.964,102.829,58.392,129.427,137.611,86.737,122.13,58.367,65.638
100,28.177,19.221,99.506,60.677,120.623,129.737,91.82,122.672,61.773,70.362
120,22.38,18.664,101.006,53.139,119.981,132.854,92.038,122.655,54.518,68.615
140,27.737,18.557,96.297,55.519,121.37,128.722,93.025,118.618,60.143,72.432
160,22.906,17.159,100.222,48.032,124.009,124.722,97.639,118.618,55.307,63.745
180,27.247,18.083,104.82,48.924,120.718,122.177,90.915,109.259,52.172,66.414
200,23.12,12.641,101.187,52.37,109.044,124.085,78.753,114.683,57.299,70.266
220,22.432,19.242,93.953,49.225,112.684,116.316,102,111.734,58.24,63.021
240,26.18,15.818,91.775,46.959,115.544,110.715,76.715,121.314,49.901,66.227
260,22.88,15.805,95.579,53.576,113.31,111.041,81.019,121.881,53.198,62.648
280,23.599,16.562,90.706,42.962,114.348,115.997,76.057,121.911,52.031,55.651
300,25.297,17.419,95.266,47.585,109.335,113.348,72.816,126.137,56.648,65.854
320,25.482,18.068,86.339,53.908,113.427,107.158,77.68,112.212,49.703,60.333
340,24.167,15.479,84.715,46.19,105.956,108.256,77.199,110.106,55.305,57.609
360,25.375,17.727,78.057,47.579,106.212,116.791,70.816,109.372,58.432,54.383
380,20.258,16.427,82.861,47.009,102.63,106.715,83.089,111.225,55.323,58.594
400,19.195,15.19,84.481,49.731,108.184,107.741,72.108,110.164,50.237,52.336
420,21.768,18.146,84.528,41.972,108.772,109.361,69.025,102.703,51.276,57.604
440,19.326,16.352,84.32,49.696,108.953,101.734,87.56,102.164,51.724,53.211
460,21.049,16.398,73.329,45.19,95.816,107.367,81.911,101.754,47.143,53.453
480,22.445,14.703,75.329,46.737,107.095,107.927,68.171,100.495,43.594,63.747
500,21.031,17.091,74.712,44.418,102.642,104.165,67.089,99.024,49.594,58.927
520,23.419,17.305,71.968,42.256,99.158,102.93,66.712,98.075,52.232,60.557
540,21.273,15.068,74.263,40.06,107.044,100.772,72.991,101.744,48.318,51.883
560,22.393,16,69.975,40.75,102.155,98.823,70.991,101.945,48.229,55.516
580,22.784,14.518,67.927,44.766,96.377,107.873,66.778,107.365,48.495,53.724
600,21.453,14.216,66.335,44.123,101.294,102.218,73.722,99.106,54.414,55.643
620,23.477,12.789,61.241,44.506,95.56,96.003,63.215,101.915,51.057,56.578
640,35.216,14.328,63.573,41.43,102.405,101.37,68,101.195,48.37,59.312
660,32.091,14.857,61.446,39.709,96.551,98.335,69.19,97.167,50.849,54.414
680,22.708,15.159,67.057,43.111,101.07,105.636,67.972,96.451,52.932,56.169
700,33.836,17.172,63.389,41.509,92.215,89.32,65.937,93.823,43.76,55.854
