time,cell 1,cell 2,cell 3,cell 4,cell 5,cell 6,cell 7,cell 8,cell 9,cell 10,cell 11
0,39.71,29.918,20.791,22.464,56.18,24.658,39.864,46.853,46.41,67.582,50.636
20,41.778,24.867,18.316,21.31,63.263,23.918,41.975,45.917,48.404,64.725,52.358
40,36.471,24.487,15.041,21.276,48.43,28.497,38.009,38.442,44.269,61.771,51.831
60,33.672,21.07,17.791,18.378,42.583,25.693,37.788,31.314,49.814,68.387,63.112
80,35.218,17.665,17.234,17.568,36.904,21.07,28.614,26.353,37.244,53.656,49.092
100,31.577,19.168,19.911,14.669,37.807,16.535,22.351,26.173,39.013,51.441,49.501
120,29.191,17.633,14.943,17.237,34.693,18.965,24.481,27.827,37.032,50.413,41.029
140,28.392,17.68,17.513,17.404,35.802,15.934,23.753,31.391,43.622,53.553,47.215
160,29.099,19.054,19.908,18.635,36.339,18.5,24.75,32.795,40.417,51.797,39.438
180,33.369,18.12,20.19,34.258,37.253,17.652,25.582,33.205,37.083,53.16,44.587
200,32.491,22.13,20.858,28.805,39.198,21.285,29.291,31.212,31.468,51.742,41.894
220,27.918,22.047,19.826,22.547,44.151,21.5,29.038,27.122,33.487,55.126,39.96
240,31.416,22.354,20.171,31.599,44.969,22.237,29.854,32.571,45.506,56.201,46.828
260,29.167,20.411,19.785,31.917,46.06,21.585,33.187,27.974,56.256,58.372,46.619
280,31.635,24.025,20.009,22.448,45.505,21.984,32.335,34.968,46.16,57.963,40.51
300,34.051,22.339,20.225,25.081,45.224,23.946,37.627,32.731,39.397,53.742,43.977
320,30.846,21.256,20.538,25.68,45.76,24.184,40.839,40.192,47.115,60.453,43.244
340,29.287,20.158,16.921,26.74,42.352,23.022,39.373,36.859,47.122,56.203,44.891
360,34.348,25.152,20.253,29.581,47.805,25.231,35.43,40.429,43.391,66.461,43.183
380,32.365,25.373,18.728,23.383,44.068,25.731,44.864,43.718,47.5,61.112,43.516
400,30.993,20.503,18.165,19.784,44.445,21.652,39.696,37.782,43.769,63.479,43.92
420,35.802,24.5,20.984,20.591,49.336,21.737,38.237,35.801,43.423,59.152,41.375
440,34.662,27.07,17.066,19.914,46.706,22.446,42.32,33.801,37.654,59.172,45.668
460,35.502,21.225,16.699,20.091,47.219,21.108,36.715,36.115,41.654,64.636,43.748
480,34.201,26.174,23.513,22.576,46.279,21.082,42.285,32.359,42.808,63.393,44.576
500,40.061,24.975,17.943,18.906,48.888,19.753,39.949,33.782,40.801,67.312,53.458
520,36.294,25.82,16.744,19.604,45.198,25.367,44.196,31.327,49.673,64.556,45.731
540,37.007,25.402,17.797,19.341,48.065,24.864,44.174,36.417,36.442,62.415,43.06
560,40.038,26.396,18.585,20.234,49.26,20.668,37.481,35.051,43.949,63.292,45.708
580,37,23.854,20.367,20.458,45.685,21.275,41.94,36.609,40.872,62.779,46.98
600,39.857,24.07,14.266,19.453,47.336,23.396,41.617,33.795,45.801,57.814,48.12
620,34.297,24.104,15.12,22.159,44.628,22.041,35.263,35.032,49.692,63.51,45.619
640,37.294,24.687,17.886,19.638,42.833,22.228,39.924,35.199,41.295,60.92,50.138
660,33.945,24.475,20.62,22.378,41.128,21.886,41.389,29.955,39.321,58.61,49.98
